mw_L	root_iast	k1_slp1	verb_type	genuine	classes	dcs_freq	dcs_rank	n_dicts	whitney_anchor	westergaard
9	aṃś	aMS	genuineroot	1	10P,10Ā	0		4		
87	aṃs	aMs	genuineroot	1		0		3		
107	aṃh	aMh	genuineroot	1	1Ā,10P	0		2		
114	aṃh	aMh	genuineroot	1		0		2	aMh,1	
134	ak	ak	genuineroot	1	1P	0		1		
423	akṣ	akz	genuineroot	1	1,5	4	5127	5	akz1,1;akz2,1	
762	ag	ag	genuineroot	1	1P	0		0		
1348	agh	aG	genuineroot	1	10P	0		2		
1408	aṅk	aNk	genuineroot	1	1Ā,10P	0		3		
1491	aṅkh	aNK	genuineroot	1	10P	0		1		
1492	aṅg	aNg	genuineroot	1	1P,10P	4	5210	4	aNg,1	
1752	aṅgh	aNG	genuineroot	1	1Ā	0		0		
1767	ac	ac	genuineroot	1	1P,1Ā	0		2	ac,1	
1927	aj	aj	genuineroot	1	1P	55	1741	7	aj,2	
2250	añc	aYc	genuineroot	1	1P,1Ā,10P,10Ā	0		4	ac,1	
2267	añj	aYj	genuineroot	1	7P,7Ā	708	231	4	aYj,2	
2337	aṭ	aw	genuineroot	1	1P,1Ā	60	1660	5	aw,2	
2358	aṭṭ	aww	genuineroot	1	1Ā,10P	0		3		
2383	aṭh	aW	genuineroot	1	1P,1Ā	0		0		
2386	aḍ	aq	genuineroot	1	1P	0		2		
2388	aḍḍ	aqq	genuineroot	1	1P	0		0		
2390	aṇ	aR	genuineroot	1	1P,4Ā	0		0		
2447	aṇṭh	aRW	genuineroot	1	1Ā	0		0	aRW,3	
2490	at	at	genuineroot	1	1P,1Ā	8	3959	4	at,3	
3575	ad	ad	genuineroot	1	2P	699	233	5	ad,3	
4782	an	an	genuineroot	1	2P	10	3646	5	an,3	
7900	ant	ant	genuineroot	1	1P	0		3		
8399	and	and	genuineroot	1	1P	0		0		
8411	andh	anD	genuineroot	1	10P	0		3		
8656	anyathaya	anyaTaya	root	0	0P	0		0		
13687	abhr	aBr	genuineroot	1	1P	0		2		
13748	am	am	genuineroot	1	0Ā	14	3186	5	am,3	
14390	amb	amb	genuineroot	1	1P,1Ā	0		0		
14564	ambh	amB	genuineroot	1		0		0		
14662	ay	ay	root	0	0	0		5		
15571	ark	ark	genuineroot	1		0		2		
15682.1	argh	arG	root	0	1P	0		1		
15701	arc	arc	genuineroot	1	1P,1Ā	413	413	3	arc,4	
15739	arj	arj	genuineroot	1	1P,1Ā	0		3	fj,14	
15839	arth	arT	genuineroot	1	10Ā,1Ā	0		5		
16095	ard	ard	genuineroot	1	6P,1P,7	0		4	fd,15	
16336	arpaya	arpaya	root	0	0	0		0		
16352	arb	arb	genuineroot	1	1P	0		0		
16408	arv	arv	genuineroot	1	1P	0		1		
16483	arh	arh	genuineroot	1	1P,1Ā	2380	54	4	arh,4	
16510	al	al	genuineroot	1	1P	0		3		
16938	av	av	genuineroot	1	1P	867	191	3	av,4	
19412	aś	aS	genuineroot	1	0Ā,0P	1948	72	6	aS1,4	
19416	aś	aS	genuineroot	1		1948	72	6	aS2,5	
20163	aṣ	az	genuineroot	1	1P,1Ā	0		0		
20353	as	as	genuineroot	1	2P,2Ā	35753	3	6	as1,5	
20354	as	as	genuineroot	1	4P,4Ā	35753	3	6	as2,5	
21629	ah	ah	genuineroot	1		9447	11	3	ah,6	
21630	ah	ah	genuineroot	1	5P	9447	11	3		
23212	āñch	AYC	root	0	0	5	5080	1	AYC,6	
24743	āp	Ap	genuineroot	1	5P,5Ā	2314	56	5	Ap,6	
25983	ār	Ar	genuineroot	1	4P	6	4675	0	Ar,6	
27851	ās	As	genuineroot	1	2Ā	1955	70	5	As,6	
28539	i	i	genuineroot	1	2P,2Ā	3673	33	5	i1,7	
28635	ikh	iK	genuineroot	1	1P	0		1		1
28637	iṅkh	iNK	genuineroot	1	1P	0		1		1
28638	iṅg	iNg	genuineroot	1	1P,1Ā	15	3111	3	iNg,8	1
28677	iṭ	iw	genuineroot	1	1P	0		0	iw,8	1
28830	in	in	root	0		0		3		
28841	inakṣ	inakz	root	0		11	3530	1		
28845	ind	ind	genuineroot	1	1P	0		0		1
29258	indh	inD	genuineroot	1	7Ā	0		7	iD,8	
29294	inv	inv	genuineroot	1	6P,8P,9P,9Ā	0		3	i2,7	
29328	iyakṣ	iyakz	root	0	0P,0Ā	27	2452	1		
29338	iyasya	iyasya	root	0	0Ā	0		0		
29342	ir	ir	genuineroot	1	6P	0		1		
29343	irajya	irajya	root	0	0P,0Ā	0		0		
29347	iradh	iraD	root	0	0Ā,0P	1	8685	0		
29396	il	il	genuineroot	1	6P,10P	0		2	il,9	1
29439	iṣ	iz	genuineroot	1	1P,1Ā,4P,4Ā	4842	23	6	iz1,9;iz2,9	
29516	iṣ	iz	genuineroot	1	6P,6Ā	4842	23	6	iz1,9	
29546	iṣūya	izUya	genuineroot	1	0P	0		0		
29694	ī	I	root	0	0	192	794	3		
29695	īkṣ	Ikz	genuineroot	1	1Ā	473	360	5	Ikz,9	
29713	īkh	IK	genuineroot	1	1P	0		0		1
29714	īṅkh	INK	genuineroot	1	1P	1	11044	2	INK,9	1
29717	īj	Ij	genuineroot	1	1P	0		2		1
29721	īḍ	Iq	genuineroot	1	2Ā,2P	352	477	2	Iq,9	
29747	īnt	Int	genuineroot	1	1P	0		0		1
29761	īr	Ir	genuineroot	1	2Ā,2P	87	1339	6	Ir,9	
29784	īrkṣy	Irkzy	root	0	0	0		0		
29785	īrts	Irts	root	0	0P	0		0		
29797	īrṣy	Irzy	genuineroot	1	1P	4	5592	1	Irzy,10	
29820	īl	Il	genuineroot	1	0P	0		0		
29827	īś	IS	genuineroot	1	2Ā	425	401	4	IS,11	
29921	īṣ	Iz	genuineroot	1	1Ā,1P	24	2611	4	Iz,11	
29985	īh	Ih	genuineroot	1	1Ā,1P	101	1220	4	Ih,11	
30001	u	u	genuineroot	1	5P,2Ā,1Ā	1	10284	2		
30072	ukṣ	ukz	genuineroot	1	1P,1Ā	191	796	5	ukz1,11	
30098	ukh	uK	genuineroot	1	1P	0		0		
30208	uṅkh	uNK	genuineroot	1	1P	0		0		
30209	uc	uc	genuineroot	1	4P,4Ā	51	1825	4	uc,12	
30535	uch	uC	genuineroot	1	1P	0		0		
30536	uch	uC	genuineroot	1	1P	0		0		
30600	ujjh	ujJ	genuineroot	1	6P	0		4	uJ,12	
30615	uñch	uYC	genuineroot	1	1,6P	9	3900	3	uYC,12	
30626	uṭh	uW	genuineroot	1	1P	0		0		1
32059	ud	ud	genuineroot	1	7P,6P,6Ā	0		3	ud,12	1
33764	udhras	uDras	genuineroot	1	9P	0		1		
33765	udhras	uDras	genuineroot	1	10P,10Ā	0		1		
37050	ubj	ubj	genuineroot	1	6P	15	3156	2	ubj,12	1
37051	ubh	uB	genuineroot	1	9P,6P	4	5474	3	uB,13	1
37051.1	ubh	uB	root	0	7	4	5474	3		
37196	umbh	umB	root	0	0	0		1		
37403	urj	urj	root	0		0		0		
37406	urd	urd	root	0	0	0		0		
37410	urv	urv	root	0	0	0		0		
37434	ul	ul	root	0	0P	0		2		
37438	ulaḍ	ulaq	genuineroot	1	10P	0		0		1
37688	uṣ	uz	genuineroot	1	1P,9P	33	2262	4		1
37931	uh	uh	genuineroot	1	1P	0		1		
37966	ūṭh	UW	root	0		0		0		
38000	ūy	Uy	genuineroot	1	1Ā	0		0		1
38037	ūrj	Urj	genuineroot	1	0P,0Ā	0		1		
38079	ūrṇu	UrRu	genuineroot	1	2P,2Ā	0		2		
38104	ūrd	Urd	genuineroot	1	1Ā	0		0		1
38324	ūrv	Urv	genuineroot	1	1P	0		0		1
38333	ūṣ	Uz	genuineroot	1	1P	0		2		1
38375	ūh	Uh	genuineroot	1	1P,1Ā	98	1236	5	Uh1,13	
38392	ūh	Uh	genuineroot	1	1P,1Ā	98	1236	5	Uh2,13	
38410	ṛ	f	genuineroot	1	1,3,5P,5Ā	0		5	f,14	
38546	ṛtīya	ftIya	root	0		0		0		
38696	ṛc	fc	genuineroot	1	6P	0		2		1
38773	ṛch	fC	genuineroot	1	6P	0		1	f,14	1
38776	ṛj	fj	genuineroot	1	1P,1Ā	44	1982	1		1
38847	ṛñj	fYj	genuineroot	1	1Ā	0		1		1
38849	ṛñj	fYj	genuineroot	1	6P,6Ā,4P,4Ā,7Ā	0		1	fj,14	
38854	ṛṇ	fR	genuineroot	1	8P,8Ā	0		1		1
38911	ṛt	ft	genuineroot	1	0Ā	0		1	ft,15	
38930	ṛdh	fD	genuineroot	1	6,2,4,5,7P	392	442	5	fD,15	
38955	ṛph	fP	genuineroot	1	6P	0		0		1
39001	ṛṣ	fz	genuineroot	1	1P	147	957	3	fz,16	
39039	ṛṣ	fz	genuineroot	1	6P	147	957	3	fz,16	1
39144	ṝ	F	root	0	0	0		1		
39975	ej	ej	genuineroot	1	1P,1Ā	85	1352	2	ej,16	1
39986	eṭh	eW	genuineroot	1	1Ā	0		0		1
40096	edh	eD	genuineroot	1	1Ā,1P	172	859	3	eD,16	
40241	eṣ	ez	genuineroot	1	1P,1Ā	0		4	Iz,11	1
40606	okh	oK	genuineroot	1	1P	0		0		1
40621	oj	oj	genuineroot	1	1,10P	0		0		
40663	oṇ	oR	genuineroot	1	1P	0		1		1
40721	olaṇḍ	olaRq	genuineroot	1	1,8,10P	0		0		1
40722	olaj	olaj	root	0		0		0		
40723	olj	olj	root	0		0		0		
41369	kaṃs	kaMs	genuineroot	1	2Ā	0		0		1
41405	kak	kak	genuineroot	1	1Ā	0		0		1
41500	kakk	kakk	root	0	0	0		0		
41510	kakkh	kakK	root	0	0	0		0		
41598	kakh	kaK	genuineroot	1	1P	0		0		1
41600	kag	kag	genuineroot	1	1P	0		0		1
41602	kaṅk	kaNk	genuineroot	1	1Ā	0		0		1
41710	kac	kac	genuineroot	1	1P,1Ā	0		5		1
41817	kaj	kaj	genuineroot	1	1P	0		0		1
41835	kañc	kaYc	genuineroot	1	1Ā	0		1		1
41893	kaṭ	kaw	genuineroot	1	1P	0		3		1
41894	kaṭ	kaw	genuineroot	1	1P	0		3		1
42169	kaṭṭ	kaww	genuineroot	1	10P	0		0		
42177	kaṭh	kaW	genuineroot	1	1P	0		1		1
42258	kaḍ	kaq	genuineroot	1	1P,6P	0		2		1
42287	kaḍḍ	kaqq	genuineroot	1	1P	0		0		1
42288	kaṇ	kaR	genuineroot	1	1P,10P	0		2		1
42355	kaṇṭ	kaRw	genuineroot	1	1P	0		0		
42456	kaṇṭh	kaRW	genuineroot	1	1P,1Ā,10P	0		0		1
42560	kaṇḍ	kaRq	genuineroot	1	1P,1Ā,10P	0		0		
42681	katth	katT	genuineroot	1	1Ā	28	2414	3	katT,16	1
42690	katr	katr	genuineroot	1	10P	0		0		1
42692	kath	kaT	genuineroot	1	10P,10Ā	57	1715	3		
42779	kad	kad	genuineroot	1	1Ā	0		4	kad,16	1
42917	kan	kan	genuineroot	1	1P,1Ā	56	1731	3		1
43192	kand	kand	genuineroot	1	1P,1Ā	0		0		1
43323	kap	kap	root	0		0		1		1
43736	kab	kab	genuineroot	1	1Ā	0		0		1
43768	kam	kam	genuineroot	1	1Ā,1P	82	1384	6	kam,17	1
43913	kamp	kamp	genuineroot	1	1Ā,1P	237	661	3	kamp,17	1
43959	kamb	kamb	genuineroot	1	1P	0		1		
44620	kark	kark	root	0		0		1		
44777	karj	karj	genuineroot	1	1P	0		0		1
44778	karṇ	karR	genuineroot	1	10P	0		4		1
45074	kart	kart	root	0	0	0		2		
45145	kartr	kartr	root	0	10P	0		0		1
45146	kard	kard	root	0	1P	0		1		1
45237	karb	karb	root	0	1P	0		0		1
45522	karv	karv	root	0	1P	0		0		1
45579	kal	kal	root	0	1Ā	1	8719	5		1
45580	kal	kal	genuineroot	1	10P,10Ā	1	8719	5	kal,17	
45581	kal	kal	genuineroot	1	0P,0Ā	1	8719	5		
46383	kall	kall	root	0	1Ā	0		1		1
46409	kav	kav	root	0	1Ā,10P,10Ā	0		2		
46631	kaś	kaS	root	0	1P	0		4		1
46728	kaṣ	kaz	genuineroot	1	1P,1Ā	10	3664	4	kaz,17	1
46861	kas	kas	genuineroot	1	1P	0		4	kas,18	1
46909	kā	kA	root	0	0	0		2	kan,17	
46911	kāṃs	kAMs	root	0	1Ā	0		0		1
47271	kāṅkṣ	kANkz	genuineroot	1	1P,1Ā	202	757	3	kANkz,18	1
47345	kāñc	kAYc	root	0	1Ā	0		0		1
49812	kāś	kAS	genuineroot	1	1Ā,4P,4Ā	45	1943	5	kAS,18	1
50091	kās	kAs	genuineroot	1	1Ā,1P	10	3666	2	kAs,19	
50170	ki	ki	root	0	3P	0		3		
50237	kiṭ	kiw	root	0	1P	0		0		
50271	kit	kit	root	0	3	0		4		
50585	kil	kil	root	0	6P,10P	0		1		1
50650	kiṣk	kizk	root	0	10Ā	0		0		1
50708	kīṭ	kIw	root	0	10P	0		1		1
50788	kīrt	kIrt	genuineroot	1	10P,10Ā	0		1		
50841	kīl	kIl	root	0	1	0		5		1
51269	ku	ku	root	0	0	0		4		
51270	kuṃś	kuMS	root	0	1,10P	0		0		1
51273	kuṃs	kuMs	root	0	0	0		0		
51275	kuk	kuk	root	0	1Ā	0		0		1
51417	kuc	kuc	genuineroot	1	1P,6P	0		5	kuc,19	1
51442	kuj	kuj	root	0	1P,6P	0		1		1
51450	kuñc	kuYc	genuineroot	1	1P	0		3	kuc,19	
51471	kuñj	kuYj	genuineroot	1	1P	0		0	kuYj,19	
51515	kuṭ	kuw	genuineroot	1	6P,4P,10Ā	0		5		1
51676	kuṭṭ	kuww	genuineroot	1	10	4	5240	2	kuww,19	1
51746	kuḍ	kuq	root	0	6P	0		0		1
51782	kuṇ	kuR	root	0	6P,10P	0		5		1
51822	kuṇṭ	kuRw	root	0	0	0		0		
51824	kuṇṭh	kuRW	root	0	1P,10	0		4	kuRW,19	1
51842	kuṇḍ	kuRq	root	0	1P,1Ā,10	0		0		1
51978	kut	kut	root	0		0		0		
52017	kuts	kuts	genuineroot	1	10P,10Ā,1P,4P	0		4		
52041	kuth	kuT	genuineroot	1	4P	0		3	kuT,19	1
52050	kud	kud	root	0	10P	0		0		1
52143	kunth	kunT	root	0	1,9	0		0		1
52180	kundr	kundr	root	0	10P	0		0		1
52181	kup	kup	genuineroot	1	4P,4Ā	521	321	6	kup,20	
52197	kup	kup	root	0	10P	521	321	6		1
52469	kump	kump	root	0		0		0		
52471	kumb	kumb	root	0	6,10P	0		1		
52478	kumbh	kumB	root	0	0	0		4		
52645	kur	kur	root	0	6P	0		1		1
52799	kurd	kurd	root	0	0	0		1		
52809	kul	kul	root	0	1	0		5		1
53294	kuś	kuS	root	0	4P	0		4		1
53477	kuṣ	kuz	genuineroot	1	9P,6	5	4811	4	kuz,20	
53560	kus	kus	root	0	0	0		1		
53700	kuh	kuh	root	0	10Ā	0		2		1
53778	kū	kU	root	0	2P,1Ā,6,9P,9Ā,1P	1	8783	2	kU,20	1
53796	kūj	kUj	genuineroot	1	1P	101	1214	4	kUj,20	
53811	kūṭ	kUw	root	0	10P,10Ā	0		2		1
53916	kūḍ	kUq	root	0	6P	0		1		1
53917	kūḍ	kUq	genuineroot	1	10P	0		1	kUq,20	
53919	kūṇ	kUR	genuineroot	1	1P,1Ā	0		2	kUR,21	1
53936	kūp	kUp	root	0	10P	0		2		1
54039	kūrd	kUrd	genuineroot	1	1P,1Ā	4	5242	2	kUrd,21	1
54091	kūl	kUl	root	0	1P	0		4		1
54148	kṛ	kf	genuineroot	1	2P,2Ā,1P,1Ā,5P,5Ā,8P,8Ā	40799	1	7	kf1,21	
54683	kṛ	kf	genuineroot	1	3P,3Ā	40799	1	7	kf3,22	
54684	kṛ	kf	root	0	0	40799	1	7		
54772	kṛḍ	kfq	root	0	0	0		1		
54777	kṛt	kft	genuineroot	1	6P,6Ā,1P	220	711	7	kft1,22	
54810	kṛt	kft	genuineroot	1	7P	220	711	7	kft2,23	1
54858	kṛp	kfp	genuineroot	1	6Ā,10P	14	3212	3	kfp,23	1
55008	kṛv	kfv	root	0	0	0		0		1
55010	kṛś	kfS	genuineroot	1	4P	8	3989	4	kfS,23	1
55083	kṛṣ	kfz	genuineroot	1	1P,1Ā,6P,6Ā	360	467	4	kfz,23	
55567	kṝ	kF	genuineroot	1	6P,6Ā	0		7	kf2,22	
55568	kṝ	kF	root	0	5,9P,9Ā	0		7		
55569	kṝ	kF	root	0	10Ā	0		7		1
55570	kṝt	kFt	root	0	0	0		2		
55571	kḷp	kxp	root	0	1Ā,1P	0		2	kxp,24	
55760	kep	kep	root	0	1Ā	0		0		1
55793	kel	kel	root	0	1P	0		1		1
55854	kev	kev	root	0	1Ā	0		0		1
56166	kai	kE	root	0	1P	0		2		1
56457	koṭāya	kowAya	root	0	0Ā	0		0		
57601	knaṃs	knaMs	root	0	1,10P	0		0		1
57602	knath	knaT	root	0	1P	0		0		1
57603	knas	knas	root	0	4P	0		2		1
57605	knu	knu	root	0	9P,9Ā	0		0		1
57606	knūy	knUy	root	0	1Ā,1P	0		2	knU,24	1
57613	kmar	kmar	root	0	1P	0		1		1
57618	kraṃś	kraMS	root	0	1P	0		0		
57647	krakṣ	krakz	root	0	0	0		1	krakz,24	
57713	krath	kraT	genuineroot	1	1P	0		1	kraT,24	1
57727	krad	krad	root	0	0	0		1		
57730	krand	krand	genuineroot	1	1P,1Ā	183	824	4	krand,24	
57748	krap	krap	root	0	1Ā	0		1		1
57749	kram	kram	genuineroot	1	1P,1Ā,4P,4Ā	414	412	5	kram,25	
58088	krī	krI	genuineroot	1	9P,9Ā	439	388	7	krI,25	
58135	krīḍ	krIq	genuineroot	1	1P,1Ā	494	340	5	krIq,25	
58218	kruñc	kruYc	root	0	1P	0		0		1
58229	kruḍ	kruq	root	0	6P,10P	0		0	krUq,26	1
58231	krudh	kruD	genuineroot	1	4P,4Ā	1659	83	5	kruD,26	
58295	krunth	krunT	root	0	0	0		0		
58298	kruś	kruS	genuineroot	1	1P,1Ā	238	657	5	kruS,26	
58345	krūḍ	krUq	root	0		0		1		
58417.1	kroñc	kroYc	root	0	0P	0		0		
58538	klath	klaT	genuineroot	1	1P	0		0	klaT,26	1
58540	klad	klad	root	0		0		1		
58542	kland	kland	genuineroot	1	1P,1Ā	0		0	krand,24	1
58543.1	klap	klap	root	0	0	0		0		
58545	klam	klam	genuineroot	1	1,4	90	1303	3	klam,26	
58562	klav	klav	root	0	1Ā	0		1	klav,27	1
58564	klid	klid	genuineroot	1	4Ā,4P	125	1069	5	klid,27	
58598	klind	klind	root	0	1P,1Ā	0		0		1
58603	kliś	kliS	root	0	9P,4P,4Ā	213	730	3	kliS,27	
58650	klīb	klIb	root	0	1Ā,10Ā	0		1		1
58670	klīv	klIv	root	0	0	0		1		
58671	klu	klu	root	0	1Ā	0		0		1
58673	kleś	kleS	root	0	1Ā	0		0		1
58692	kvaṇ	kvaR	genuineroot	1	1P	28	2415	4	kvaR,27	
58702	kvath	kvaT	genuineroot	1	1Ā	91	1293	4	kvaT,27	
58728	kvel	kvel	root	0	0	0		0		
58729	kśā	kSA	root	0	0Ā	0		0		
58737	kṣaj	kzaj	root	0	1Ā,10P	0		0		1
58738	kṣaṇ	kzaR	root	0	0	0		3		
58898	kṣad	kzad	genuineroot	1	1Ā	7	4208	1	kzad,27	
58916	kṣan	kzan	root	0	8P,8Ā	276	589	2	kzan,28	
58968	kṣap	kzap	genuineroot	1	1P,1Ā	16	3044	4	kzap,28	
58981	kṣap	kzap	root	0	10P	16	3044	4		
58983	kṣap	kzap	root	0	0	16	3044	4		
59030	kṣam	kzam	genuineroot	1	1Ā,1P,2P,4P,4Ā	439	389	5	kzam,28	
59133	kṣamp	kzamp	root	0	1,10P	0		0		1
59141	kṣar	kzar	genuineroot	1	1P,1Ā,2P	220	712	7	kzar,28	
59234	kṣal	kzal	genuineroot	1	10P	0		6	kzal,28	
59256	kṣāpaya	kzApaya	root	0	0	0		0		
59266	kṣi	kzi	genuineroot	1	1P	1181	131	7	kzi1,29	
59272	kṣi	kzi	genuineroot	1	2,6P	1181	131	7		
59376	kṣi	kzi	genuineroot	1	1P,5P,9P,9Ā	1181	131	7	kzi2,29	
59488	kṣiṇ	kziR	root	0	8P,8Ā	0		0		1
59502	kṣip	kzip	genuineroot	1	6P,6Ā,4P,4Ā	2461	51	6	kzip,29	
59649	kṣiv	kziv	root	0	1,4P	0		0		1
59650	kṣī	kzI	root	0	0	0		0		1
59651	kṣīj	kzIj	root	0	1P	0		5		1
59654	kṣīb	kzIb	root	0	1P	0		1		1
59840	kṣīv	kzIv	root	0	0	0		1		
59841	kṣu	kzu	genuineroot	1	2P	20	2779	4	kzu,30	
59877	kṣud	kzud	genuineroot	1	1P,1Ā,7P,7Ā	60	1663	4	kzud,30	
60072	kṣudh	kzuD	genuineroot	1	4P	98	1233	4	kzuD,30	
60118	kṣup	kzup	genuineroot	1	6P	0		1	kzup,30	
60128	kṣubh	kzuB	genuineroot	1	1Ā,4P,4Ā,5P,9P,9Ā	236	662	4	kzuB,30	
60155	kṣump	kzump	root	0	1P	0		0		
60157	kṣur	kzur	root	0	6P	0		1		1
60468	kṣev	kzev	root	0	0	0		0		
60470	kṣai	kzE	genuineroot	1	1P	0		6	kzA,29	1
60516	kṣoṭ	kzow	root	0	10P	0		0		1
60596	kṣṇu	kzRu	genuineroot	1	2P	9	3814	4	kzRu,31	1
60625	kṣmāy	kzmAy	root	0	1Ā,1P	0		2		
60629	kṣmīl	kzmIl	root	0	1P	0		0		1
60633	kṣviḍ	kzviq	root	0	1P	17	2980	3	kzviq,31	
60652	kṣviḍ	kzviq	root	0	1Ā,4P	17	2980	3		1
60655	kṣvid	kzvid	root	0	0	17	2980	1		
60659	kṣvel	kzvel	genuineroot	1	1P	0		1	kzvel,31	1
60850	khakkh	KakK	root	0	0	0		0		1
60863	khac	Kac	genuineroot	1	1P,9P,10P	18	2905	1	Kac,31	1
60867	khaj	Kaj	root	0	1P	0		3		1
60884	khañj	KaYj	genuineroot	1	1P	5	4809	1	KaYj,31	
60912	khaṭ	Kaw	root	0	1P	0		1		
60942	khaṭakhaṭāya	KawaKawAya	root	0	0Ā	0		0		
60947	khaṭṭ	Kaww	root	0	10P	0		0		1
60982	khaḍ	Kaq	root	0	10P	0		4		1
61069	khaṇakhaṇāya	KaRaKaRAya	root	0	0Ā	0		0		
61072	khaṇḍ	KaRq	genuineroot	1	1Ā,10P	0		1		1
61228	khad	Kad	root	0	6P	369	459	3	Kad,31	1
61265	khan	Kan	genuineroot	1	1P,1Ā	352	476	5	Kan,32	
61339	khamb	Kamb	root	0	1P	0		0		1
61509	kharj	Karj	genuineroot	1	1P	1	8746	2	Karj,32	1
61544	khard	Kard	root	0	1P	0		0		1
61559	kharb	Karb	root	0	1P	0		0		1
61565	kharv	Karv	root	0	1P	0		1		1
61581	khal	Kal	root	0	1P	0		2		1
61640	khalakhalāya	KalaKalAya	root	0	0Ā	0		0		
61663	khall	Kall	genuineroot	1	1Ā	0		0	Kall,32	
61690	khav	Kav	root	0	9P	0		0		1
61698	khaṣ	Kaz	root	0	1P	0		0		1
61789	khād	KAd	genuineroot	1	1P,1Ā	369	459	4	KAd,32	
61901	khiṭ	Kiw	root	0	1P	0		1		1
61905	khid	Kid	genuineroot	1	6,7Ā,4Ā,4P	141	988	5	Kid,32	
61963	khu	Ku	root	0	1Ā	0		0		1
61966	khuj	Kuj	root	0	1	0		0		
61968	khuḍ	Kuq	root	0		0		0		
61976	khuṇḍ	KuRq	root	0	1Ā,10P	0		0		1
61977	khud	Kud	genuineroot	1	6P	1	8752	1	Kud,33	
61981	khur	Kur	root	0	6P	0		1		1
62011	khurd	Kurd	root	0	1Ā	0		0		1
62018	khūrd	KUrd	root	0	0	0		0		
62022	kheṭ	Kew	root	0	10	0		1		1
62044	kheḍ	Keq	root	0	0	0		0		
62053	khel	Kel	root	0	1P	7	4204	3	Kel,33	
62075	khev	Kev	root	0	0	0		0		1
62077	khai	KE	genuineroot	1	1P	0		2		1
62084	khoṭ	Kow	root	0	1P,10P	0		1		1
62089	khoḍ	Koq	root	0	1P,10P	0		0		1
62093	khor	Kor	root	0	1P	0		0		1
62098	khol	Kol	root	0	0	0		0		1
62110	khyā	KyA	root	0	2P,2Ā	777	215	8	KyA,33	1
62214	gaggh	gagG	root	0	0	0		0		1
62299	gaṅgūya	gaNgUya	root	0	0P	0		0		
62305	gaj	gaj	root	0	1P,10P	0		2		1
62459	gañj	gaYj	root	0	1P	0		0		
62478	gaḍ	gaq	root	0	1P,10P	0		1		1
62523	gaṇ	gaR	genuineroot	1	10P,10Ā	0		6		
62749	gaṇḍ	gaRq	root	0	1P	0		0		1
62868	gad	gad	genuineroot	1	1P,10P	466	366	3	gad,33	1
62957	gadh	gaD	root	0	4	0		1	gaD,34	
62967	gandh	ganD	root	0	10Ā	0		1		1
63409	gam	gam	genuineroot	1	1P,2P,3P,1Ā	18341	5	8	gam,34	
63674	gamb	gamb	root	0	1P	0		0		
63862	garj	garj	genuineroot	1	1P	179	837	6	garj,34	
63914	gard	gard	genuineroot	1	1P,10	1	8645	0	gard,35	
63962	garb	garb	root	0	1P	0		0		1
64168	garv	garv	root	0	1P,10Ā	0		4		
64179	garh	garh	genuineroot	1	1,10P,10Ā	185	816	2	garh,35	
64198	gal	gal	genuineroot	1	1P,1Ā	212	732	6	gal,35	1
64241	gal	gal	root	0	1P	212	732	6		1
64303	galbh	galB	root	0	1Ā	0		2	galB,35	1
64317	galh	galh	root	0	0	0		0		
64327	gaveṣ	gavez	root	0	1Ā,10	0		4		
64460	gah	gah	root	0	10P	0		2		
64493	gā	gA	genuineroot	1	3P,3Ā,2P,2Ā	1911	74	3	gA1,35	1
64759	gādh	gAD	root	0	1Ā	0		0		1
65006	gāloḍaya	gAloqaya	root	0	0P,0Ā	0		0		
65024	gāh	gAh	genuineroot	1	1Ā,1P	69	1541	4	gAh,36	
65339	gu	gu	root	0	1Ā	0		3		
65341	gu	gu	genuineroot	1	1Ā,1P	0		3	gu,36	1
65342	gu	gu	root	0	6P	0		3		1
65390	guj	guj	root	0	1,6P	0		0		1
