mw_L	root_iast	k1_slp1	verb_type	genuine	classes	dcs_freq	dcs_rank	n_dicts	whitney_anchor	westergaard
164438	mid	mid	genuineroot	1	1Ā,4P,10P	0		2	med,127	1
164441	midh	miD	root	0	1P,1Ā	0		0		1
164446	minv	minv	root	0	0	0		0		1
164465	mil	mil	genuineroot	1	6P,6Ā	346	482	3	mil,121	1
164482	miś	miS	root	0	1P	0		2		1
164487	miśr	miSr	root	0	10P	0		2		1
164547	miṣ	miz	genuineroot	1	6P	83	1370	5	miz,121	1
164551	miṣ	miz	root	0	1P	83	1370	5		1
164568	mis	mis	root	0	4P	0		0		
164575	misr	misr	root	0	0	0		0		
164576	mih	mih	genuineroot	1	1P,1Ā	70	1524	3	mih,121	1
164607	mī	mI	genuineroot	1	9P,9Ā	103	1197	8	mI,121	1
164610	mī	mI	root	0	1,10P	103	1197	8		1
164661	mīm	mIm	root	0	1P	0		0		1
164715	mīl	mIl	genuineroot	1	1P,1Ā	6	4489	4	mIl,122	1
164724	mīv	mIv	genuineroot	1	1P	0		2	mIv,122	
164726	mīv	mIv	root	0	1P	0		2		1
165081	muc	muc	root	0	1Ā	3850	32	5		1
165082	muc	muc	genuineroot	1	6P,6Ā	3850	32	5	muc,122	1
165300	much	muC	root	0	1P	0		0		1
165301	muj	muj	root	0	1P,10P	0		0		1
165302	muñc	muYc	root	0	1P,1Ā	0		0		1
165355	muṭ	muw	root	0	1,6,10P	0		2	muw,123	1
165358	muḍ	muq	root	0	1P	0		0		1
165359	muṇ	muR	root	0	6P	0		0		1
165360	muṇṭ	muRw	root	0	1P	0		0		1
165361	muṇṭh	muRW	root	0	1Ā	0		0		1
165362	muṇḍ	muRq	root	0	1P,1Ā	0		0		1
165449	mud	mud	root	0	10P	612	264	5		1
165450	mud	mud	genuineroot	1	1Ā,1P	612	264	5	mud,123	1
165697	mur	mur	root	0	6P	0		4		1
165763	murch	murC	genuineroot	1	1P	0		1	mUrC,124	1
165852	murv	murv	root	0	1P	0		0		1
165853	mul	mul	root	0	0	0		0		1
165858	muṣ	muz	root	0	1P	162	888	3		
165859	muṣ	muz	genuineroot	1	9,1P,6P	162	888	3	muz,123	1
165966	mus	mus	root	0	4P	0		0		1
165997	must	must	root	0	10P	0		0		1
166006	muh	muh	genuineroot	1	4P,4Ā	1103	150	4	muh,123	1
166164	mū	mU	root	0	1Ā	0		2		1
166323	mūl	mUl	root	0	1P,1Ā	0		3		1
166549	mūṣ	mUz	root	0	1P	0		1		1
166607	mṛ	mf	genuineroot	1	6Ā,6P,1P,1Ā	2615	48	5	mf1,124	1
166787	mṛkṣ	mfkz	root	0	0	1	8873	1		
166791	mṛg	mfg	genuineroot	1	4P,10Ā,10P	0		4		
167114	mṛc	mfc	root	0	10P,4P	1	8870	0	mfc,125	
167120	mṛch	mfC	root	0	6Ā	2	6819	0	mfC,125	
167121	mṛj	mfj	genuineroot	1	2P,2Ā,6P,6Ā,1P,1Ā,10	298	553	3	mfj,125	
167161	mṛḍ	mfq	genuineroot	1	6P,6Ā,9P,10	131	1030	1	mfq,125	1
167184	mṛṇ	mfR	root	0	6P	28	2416	1	mf2,124	1
167219	mṛd	mfd	genuineroot	1	9P,1P,1Ā	692	236	5	mfd,126	
167410	mṛdh	mfD	genuineroot	1	1P,1Ā,6P,6Ā	22	2677	0	mfD,126	1
167423	mṛś	mfS	genuineroot	1	6P,6Ā	33	2247	3	mfS,126	1
167430	mṛṣ	mfz	genuineroot	1	4P,4Ā,1P,1Ā,10	150	937	2	mfz,126	1
167454	mṛṣ	mfz	root	0	1P,1Ā	150	937	2		1
167459	mṝ	mF	root	0	9P	0		2	mf2,124	1
167462	me	me	root	0	1Ā,1P	0		1		1
167749	meṭ	mew	root	0	1P	0		0		1
167756	meḍ	meq	root	0	1P	0		0		1
167781	meth	meT	root	0	0	0		1		
167792	med	med	root	0	0	0		0		
167870	medh	meD	root	0	0	0		1		
167980	mep	mep	root	0	1P	0		0		1
167981	meb	meb	root	0	0	0		0		
168064	mev	mev	root	0	1Ā	0		0		1
168176	maitrāya	mEtrAya	root	0	0P	0		0		
168318	mokṣ	mokz	genuineroot	1	1Ā,10P,10Ā	3	5849	4		1
168870	mnā	mnA	genuineroot	1	1P	2	6810	7	mnA,127	1
168872	myakṣ	myakz	genuineroot	1	1P	13	3306	3	myakz,127	
168873	mrakṣ	mrakz	genuineroot	1	1P,10	0		6	mfkz,124	1
168881	mrad	mrad	genuineroot	1	1Ā	1	8851	2		
168890	mrit	mrit	root	0	4P	1	8853	1	mrit,127	
168891	mruc	mruc	genuineroot	1	1P	3	5850	2		1
168894	mruñc	mruYc	root	0	1P	0		0		1
168895	mreṭ	mrew	root	0	0	0		0		
168896	mreḍ	mreq	root	0	1P	0		1	mreq,128	1
168898	mlakṣ	mlakz	root	0	10P	0		0		1
168901	mluc	mluc	genuineroot	1	1P	0		2	mruc,128	1
168903	mluñc	mluYc	root	0	1P	0		0		1
168904	mlup	mlup	root	0		0		1		
168905	mlech	mleC	genuineroot	1	1P,10P	2	6809	1	mleC,128	1
168936	mleṭ	mlew	root	0	1P	0		0		1
168937	mlev	mlev	root	0	1Ā	0		0		1
168938	mlai	mlE	genuineroot	1	1P	0		3	mlA,128	1
169014	yakṣ	yakz	root	0	1P,1Ā,10Ā	1	10920	3	yakz,128	1
169114	yaj	yaj	genuineroot	1	1P,1Ā	6755	16	6	yaj,129	1
169552	yat	yat	genuineroot	1	1Ā,1P,10Ā,10P	548	298	4	yat,129	1
170247	yantr	yantr	root	0	10P,1P	0		1		1
170253	yabh	yaB	genuineroot	1	1P,1Ā	1	10918	2	yaB,129	1
170258	yam	yam	genuineroot	1	1P,1Ā	1093	153	5	yam,130	1
171002	yas	yas	genuineroot	1	4P	2	7603	4	yas,130	1
171018	yā	yA	genuineroot	1	2P	5649	20	7	yA,131	1
171236	yāc	yAc	genuineroot	1	1P,1Ā	755	222	3	yAc,131	1
171383	yād	yAd	root	0	0Ā	5	5069	1	yAd,131	
171682	yu	yu	genuineroot	1	3P,3Ā	199	771	7	yu2,132	
171694	yu	yu	genuineroot	1	2P,2Ā,6,9	199	771	7	yu1,131	1
171727	yuṅg	yuNg	root	0	1P	0		0		1
171730	yuch	yuC	root	0	1P	0		1		1
171731	yuj	yuj	genuineroot	1	7P,7Ā	5933	19	5	yuj,132	1
172009	yut	yut	root	0	1Ā	0		1		1
172012	yudh	yuD	genuineroot	1	4Ā,4P,1P	1267	118	5	yuD,133	1
172138	yunth	yunT	root	0		0		0		
172139	yup	yup	genuineroot	1	4P	11	3622	2	yup,133	1
172309	yūṣ	yUz	root	0	1P	0		1		1
172319	yeṣ	yez	root	0	1P,1Ā	2	7604	1	yas,130	1
172935	yauṭ	yOw	root	0	1P	0		0		1
172935.1	yauḍ	yOq	root	0		0		0		
173028	raṃh	raMh	genuineroot	1	1P,1Ā,10P	11	3577	0	raMh,133	1
173043	rak	rak	root	0	10P	0		0		1
173050	rakṣ	rakz	genuineroot	1	1P,1Ā	1929	73	5	rakz,134	1
173179	rakh	raK	root	0	1P	0		0		1
173180	rag	rag	root	0	1P,10P	0		0		1
173181	ragh	raG	root	0	0	0		0		
173260	raṅkh	raNK	root	0	1P	0		0		1
173261	raṅg	raNg	root	0	1P	0		1	raNg,134	1
173263	raṅgh	raNG	root	0	1Ā,10	0		0		1
173266	rac	rac	genuineroot	1	10P	1	9715	2	rac,134	1
173342	rañj	raYj	genuineroot	1	1,4P,4Ā	0		5	raj2,134	1
174063	raṭ	raw	genuineroot	1	1P	10	3702	4	raw,135	1
174066	raṭaraṭāya	rawarawAya	root	0	0Ā	0		0		
174071	raṭh	raW	root	0	1P	0		0		1
174075	raṇ	raR	genuineroot	1	1,4P	0		3	ran1,135	
174197	raṇ	raR	genuineroot	1	1P	0		3	ran2,136	1
174208	raṇ	raR	root	0	10P	0		3		1
174222	raṇv	raRv	root	0	1P	7	4291	0	raRv,135	1
174789	rad	rad	genuineroot	1	1P,1Ā	34	2226	3	rad,135	1
174809	radh	raD	genuineroot	1	4P	45	1950	2	raD,135	1
174860	rap	rap	genuineroot	1	1P	11	3576	3	rap,136	1
174863	rapś	rapS	genuineroot	1		5	4910	2	rapS,136	
174867	raph	raP	genuineroot	1	1P	0		0	raP,136	1
174870	rabh	raB	genuineroot	1	1Ā	67	1566	5	raB,136	1
174928	ram	ram	genuineroot	1	1Ā,1P	1553	93	8	ram,137	1
175238	ramph	ramP	root	0	1P	0		0		1
175239	ramb	ramb	root	0	1Ā	0		1	ramb,137	
175240	ramb	ramb	root	0	1Ā,1P	0		1		1
175244	rambh	ramB	root	0	1Ā	0		2	ramB,137	1
175250	ray	ray	root	0	1Ā	0		0		1
175297	rarph	rarP	root	0	1P	0		0		1
175478	ras	ras	genuineroot	1	1P,1Ā	51	1822	4	ras,137	1
175485	ras	ras	genuineroot	1	10P,10Ā	51	1822	4		
175925	rah	rah	genuineroot	1	1P,10P	15	3140	3	rah,138	1
176008	rā	rA	genuineroot	1	2P,2Ā	214	728	7	rA1,138	1
176087	rākh	rAK	root	0	1P	0		0		1
176194	rāgh	rAG	root	0	1Ā	0		0		1
176246	rāj	rAj	genuineroot	1	1P,1Ā	405	428	5	rAj,138	1
177153	rādh	rAD	genuineroot	1	5,4P	240	653	5	rAD,138	1
177749	rāś	rAS	root	0	0	0		0		
177844	rās	rAs	genuineroot	1	1Ā	0		1	rAs1,139	1
177944	ri	ri	root	0	0	60	1665	3		
177953	rikh	riK	genuineroot	1	1P,6P	0		2	riK,139	1
177954	riṅkh	riNK	genuineroot	1	1P	0		1	riNK,139	1
177968	riṅg	riNg	genuineroot	1	1P	0		1	riNK,139	1
177975	ric	ric	genuineroot	1	7P,7Ā,1P,4Ā,10	206	750	4	ric,139	1
178029	rij	rij	root	0	1Ā	0		0		1
178034	riṇv	riRv	root	0	1P	0		0		1
178040	rip	rip	genuineroot	1		3	6039	2	rip,140	
178088	riph	riP	genuineroot	1	6P	1	9726	2	riP,140	1
178103	ribh	riB	genuineroot	1	1P,1Ā	26	2510	2	riB,140	1
178117	rimph	rimP	root	0	6P	0		0		1
178119	rimb	rimb	root	0		0		0		
178131	riś	riS	genuineroot	1	6P	2	7163	2	riS,140	1
178139	riṣ	riz	genuineroot	1	1,4P	257	622	4	riz,140	1
178173	rih	rih	genuineroot	1	6,2P,2Ā	47	1902	2	rih,141	1
178179	rī	rI	genuineroot	1	9P,4P,4Ā	60	1665	3	ri,139	1
178212	rīv	rIv	root	0	1P,1Ā	0		0		1
178213	ru	ru	genuineroot	1	2P	86	1345	6	ru1,141	1
178231	ru	ru	genuineroot	1	1Ā	86	1345	6	ru2,141	1
178234	ruṃś	ruMS	root	0	1,10P	0		0		1
178235	ruṃṣ	ruMz	root	0		0		0		
178244	ruc	ruc	genuineroot	1	1Ā,1P	501	336	5	ruc,141	1
178446	ruj	ruj	genuineroot	1	6P,10	129	1054	4	ruj,142	1
178488	ruṭ	ruw	root	0	1Ā,10P	0		0		1
178489	ruṭh	ruW	genuineroot	1	1P,1Ā	0		0	ruW,142	1
178492	ruṇṭ	ruRw	root	0	1P	0		0		1
178493	ruṇṭh	ruRW	root	0	1P	0		0		1
178494	ruṇḍ	ruRq	root	0	0	0		0		
178506	rud	rud	genuineroot	1	2P	669	247	5	rud,142	1
178751	rudh	ruD	genuineroot	1	1P	892	184	5	ruD1,142	
178755	rudh	ruD	genuineroot	1	7P,7Ā	892	184	5	ruD2,143	1
178856	rup	rup	genuineroot	1	4P	6	4568	1	rup,143	1
178902	ruś	ruS	genuineroot	1	6P	0		0		1
178916	ruṣ	ruz	genuineroot	1	1,4P,4,10	102	1208	2	ruz,143	1
178960	ruh	ruh	genuineroot	1	1P	487	344	7	ruh,143	
179012	rūkṣ	rUkz	root	0	10P	0		1		1
179061	rūp	rUp	root	0	10P,10Ā	0		4		1
179276	rūṣ	rUz	genuineroot	1	1P,10P	0		2	rUz,144	1
179292	rek	rek	root	0	1Ā	0		0		1
179363	rej	rej	genuineroot	1	1P,1Ā	40	2071	2	rej,144	1
179367	reṭ	rew	root	0	1P,1Ā	0		2		1
179371	reḍ	req	root	0	1Ā	0		0	req,144	
179467	rep	rep	root	0	1Ā	0		0		1
179482	rev	rev	root	0	0	0		0		1
179514	reṣ	rez	root	0	1Ā	0		0		1
179533	rai	rE	root	0	1P	0		3	rA2,138	1
179805	roḍ	roq	root	0	1P	0		0		1
180194	rauṭ	rOw	root	0	1P	0		0		1
180316	lak	lak	root	0	10P	0		0		1
180331	lakṣ	lakz	genuineroot	1	1Ā,1P,10P,10Ā	39	2091	5	lakz,144	1
180702	lakh	laK	root	0	1P	0		0		1
180704	lag	lag	genuineroot	1	1P,10	236	663	3	lag,144	1
181104	laṅkh	laNK	root	0		0		0		1
181106	laṅg	laNg	root	0	1P	0		0		1
181121	laṅgh	laNG	genuineroot	1	1P,1Ā,10P	32	2273	3	laNG,145	1
181150	lach	laC	root	0	1P	0		0		1
181152	laj	laj	root	0	6Ā	0		1		1
181154	laj	laj	root	0	1P	0		1		1
181155	laj	laj	root	0	10P	0		1		1
181156	lajj	lajj	genuineroot	1	6Ā	109	1155	2	lajj,145	1
181192	lañj	laYj	root	0	1P	0		0		1
181193	lañj	laYj	root	0	10P	0		0		1
181202	laṭ	law	root	0	1P	0		1		1
181234	laḍ	laq	root	0	1P,10P	7	4212	1	laq,145	1
181246	laṇḍ	laRq	root	0	10P	0		0		1
181338	lap	lap	genuineroot	1	1P	26	2499	7	lap,145	1
181359	labh	laB	genuineroot	1	1Ā	3345	35	6	laB,145	1
181467	lam	lam	root	0	0	0		0	lam,146	
181488	lamb	lamb	genuineroot	1	1Ā	130	1041	4	lamb,146	1
181580	lamb	lamb	root	0	1Ā	130	1041	4		1
181581	lambh	lamB	root	0	1Ā	0		2		1
181583	lay	lay	root	0	1Ā	0		0		1
181585	lard	lard	root	0	10P	0		0		
181586	larb	larb	root	0	1P	0		0		1
181587	lal	lal	genuineroot	1	1P,1Ā	101	1215	5	lal,146	1
181980	laś	laS	root	0	10P	0		0		1
181985	laṣ	laz	genuineroot	1	1,4P,4Ā,10P	0		5	laz,146	1
181992	las	las	genuineroot	1	1P,10	59	1680	4	las,147	1
182048	lahalahāya	lahalahAya	root	0		0		0		
182054	lā	lA	genuineroot	1	2P	0		2	lA,147	1
182095	lākh	lAK	root	0	1P	0		0		1
182098	lāgh	lAG	root	0	1Ā	0		2		1
182174	lāj	lAj	root	0	1P	0		0		1
182184	lāñch	lAYC	genuineroot	1	1P	0		1	lAYC,147	1
182191	lāñj	lAYj	root	0	1P	0		0		1
182220	lāḍ	lAq	root	0	10P	0		0		1
182248	lābh	lAB	root	0	10P	0		1		1
182337	likh	liK	genuineroot	1	6P,6Ā	509	328	8	liK,147	1
182475	liṅkh	liNK	root	0	1P	0		0		1
182476	liṅg	liNg	root	0	1P,10P	0		1		1
182615	lip	lip	genuineroot	1	6,1P,1Ā	778	214	6	lip,147	1
182704	liś	liS	genuineroot	1	4Ā,6P	7	4213	3	liS,148	1
182726	lih	lih	genuineroot	1	2P,2Ā	405	426	6	lih,148	1
182753	lī	lI	genuineroot	1	9P,1P,4Ā,4P	268	603	6	lI1,148	1
182888	luñc	luYc	genuineroot	1	1P	11	3535	2	luYc,149	1
182900	luñj	luYj	root	0	0	0		0		
182901	luṭ	luw	root	0	1Ā,10P	0		2		1
182902	luṭ	luw	genuineroot	1	1,4P,1Ā,10P	0		2		1
182907	luṭh	luW	genuineroot	1	1P,1Ā,10P	26	2500	3	luW2,149	1
182908	luṭh	luW	genuineroot	1	6P	26	2500	3	luW1,149	1
182922	luḍ	luq	genuineroot	1	1P,6P	1	8818	3	luq,149	1
182926	luṇṭ	luRw	genuineroot	1	1P,10P	0		2		1
182935	luṇṭh	luRW	root	0	0	0		2		1
182948	luṇḍ	luRq	root	0		0		0		
182955	lunth	lunT	root	0	1P	0		0		1
182956	lup	lup	genuineroot	1	6P,6Ā,4P,4Ā	117	1122	3	lup,149	1
183010	lubh	luB	genuineroot	1	6P,4P	325	508	6	luB,150	1
183054	lumb	lumb	root	0	1P,10P	0		0		1
183058	lul	lul	genuineroot	1	1P,1Ā	42	2016	1	lul,150	1
183120	luṣ	luz	root	0	1P	0		0		1
183124	luh	luh	root	0	1P	0		0		1
183125	lū	lU	genuineroot	1	9P,9Ā	81	1396	7	lU,150	1
183181	lūṣ	lUz	root	0	1P,10P	0		0		1
183198	lep	lep	root	0	1Ā	0		0		1
183225	laiṇ	lER	root	0	1P	0		0		1
183229	lok	lok	genuineroot	1	1Ā,10	0		5	lok,150	1
183561	loc	loc	genuineroot	1	1Ā,10P	0		4	loc,151	1
183604	loṭ	low	root	0	1P	0		0		1
183612	loḍ	loq	root	0	0	0		0		
183747	loṣṭ	lozw	root	0	1Ā	0		1		1
184086	lauḍ	lOq	root	0	1P	0		0		1
184149	lpī	lpI	root	0	9P	0		0		1
184152	lvī	lvI	root	0	9P	0		0		1
184344	vaṃh	vaMh	root	0		0		1		
184348	vak	vak	root	0	1Ā	0		1	vaYc,152	1
184508	vakk	vakk	root	0	1Ā	0		0		1
184521	vakṣ	vakz	genuineroot	1	1P	45	1963	1	vakz,151	1
184556	vakh	vaK	root	0	1P	0		0		1
184576	vaṅkh	vaNK	root	0	1P	0		0		1
184580	vaṅg	vaNg	root	0	1P	0		0		1
184613	vaṅgh	vaNG	root	0	1Ā	0		0		1
184615	vac	vac	genuineroot	1	2P,3P,3Ā	33948	4	7	vac,151	1
184793	vaj	vaj	root	0	1P,10P	0		1	vaj,152	1
185127	vañc	vaYc	genuineroot	1	1P,1Ā	24	2601	4	vaYc,152	1
185175	vaṭ	vaw	root	0	1P,10P	0		1		1
185252	vaṭṭ	vaww	root	0	1P	0		0		
185255	vaṭh	vaW	root	0	1P	0		0		1
185298	vaḍḍh	vaqQ	root	0	1P	0		0		
185300	vaṇ	vaR	root	0	1P	0		1		1
185343	vaṇṭ	vaRw	genuineroot	1	1,10P	1	10588	1	vaRw,152	1
185356	vaṇṭh	vaRW	root	0	1Ā	0		0		1
185370	vaṇḍ	vaRq	root	0	1Ā,10P	0		0		1
185375	vat	vat	root	0		4	5519	2		
185521	vad	vad	genuineroot	1	1P,1Ā	3914	31	6	vad,152	1
185579	vadh	vaD	genuineroot	1		1236	121	2	vaD,153	1
185710	van	van	genuineroot	1	1P,8P,8Ā	220	714	5	van,153	1
186179	vand	vand	genuineroot	1	1Ā	632	258	4	vand,153	1
186277	vap	vap	genuineroot	1	1P,1Ā	320	520	8	vap2,154	
186291	vap	vap	genuineroot	1	1P,1Ā	320	520	8	vap1,154	1
186415	vabhr	vaBr	root	0	1P	0		0		1
186417	vam	vam	genuineroot	1	1P	223	703	5	vam,154	1
186460	vay	vay	root	0	1Ā,1P	0		0		1
187248	varc	varc	root	0	1Ā	0		0		1
187289	varṇ	varR	genuineroot	1	10P	0		5		1
187679	vardh	varD	genuineroot	1	10P	0		3		1
187798	varph	varP	root	0	1P	0		0		
188073	varh	varh	root	0	0	0		1		
188075	val	val	genuineroot	1	1Ā,1P	54	1770	6	val,155	1
188173	valk	valk	root	0	10P	0		1		1
188205	valg	valg	genuineroot	1	1P,1Ā	42	2030	4	valg,155	1
188244	valbh	valB	root	0	1Ā	0		1		1
188271	vall	vall	root	0	1P	0		1		1
188380	valh	valh	root	0	1Ā,10P	0		2	valh,155	1
188380.1	balh	balh	root	0	1Ā,10P	0		0		
188394	vaś	vaS	genuineroot	1	2P,1,3	302	548	6	vaS,155	1
188545	vaṣ	vaz	root	0	1P	0		0		1
188557	vaṣk	vazk	root	0	1Ā	0		0		1
188560	vas	vas	genuineroot	1	6P	2538	49	6	vas1,155	
188997	vas	vas	genuineroot	1	10P	2538	49	6		1
188998	vas	vas	genuineroot	1	2Ā	2538	49	6	vas2,156	1
189096	vas	vas	genuineroot	1	1P,10P	2538	49	6	vas3,156	1
189186	vas	vas	root	0	4P	2538	49	6		1
189201	vask	vask	root	0	1Ā	0		1		1
189206	vast	vast	root	0	10Ā	0		1		1
189238	vah	vah	genuineroot	1	1P,1Ā	1845	75	7	vah,157	1
189436	vā	vA	genuineroot	1	2P	298	554	6	vA1,157	1
189801	vāṅkṣ	vANkz	root	0	1P	0		0		1
190461	vāñch	vAYC	genuineroot	1	1P	180	836	2	vAYC,158	1
190529	vāḍ	vAq	root	0	0	0		0		
190607	vāt	vAt	root	0	10P	0		2		1
190802	vādh	vAD	root	0	0	0		1		
191295	vāyuputrāya	vAyuputrAya	root	0		0		0		
192244	vāvṛt	vAvft	root	0	4Ā	0		0		1
192249	vāś	vAS	genuineroot	1	4Ā	73	1496	3	vAS,158	1
192285	vās	vAs	genuineroot	1	10P	0		4		1
192697	vāh	vAh	genuineroot	1	1Ā	1845	75	2	vAh,158	1
194682	vic	vic	genuineroot	1	7P,7Ā,3	8	4090	4	vic1,158	1
194915	vicchāy	vicCAy	root	0		0		0		
194955	vich	viC	root	0	10P	0		3		1
194956	vij	vij	genuineroot	1	6Ā,1P,3P,3Ā	27	2483	4	vij,159	1
195337	viṭ	viw	root	0	1P	0		1		1
195395	viḍ	viq	root	0	1P	0		0		1
195444	viṇṭ	viRw	root	0	10P	0		0		1
195602	vitt	vitt	root	0	10P	0		1		1
195619	vith	viT	root	0	1Ā	0		0		1
195619.1	veth	veT	root	0	1Ā	0		0		
195626	vid	vid	genuineroot	1	2P	11314	8	5	vid1,159	1
195939	vid	vid	genuineroot	1	6P,6Ā	11314	8	5	vid2,159	1
196016	vid	vid	root	0	7Ā	11314	8	5		1
196453	vidh	viD	root	0	6P	209	741	4	viD1,160	
196455	vidh	viD	root	0	6Ā	209	741	4		
196473	vidh	viD	root	0	1Ā	209	741	4		
197327	vind	vind	root	0	0P	0		1		
197339	vindh	vinD	root	0	0Ā	0		0	vinD,160	
197416	vip	vip	genuineroot	1	1Ā	156	913	3	vip,160	1
199553	vil	vil	root	0	6P,10P	0		0		1
200376	viś	viS	genuineroot	1	6P,6Ā	1053	160	5	viS,160	1
201614	viṣ	viz	genuineroot	1	3P,1P,3	29	2397	4	viz,161	1
201878	viṣ	viz	genuineroot	1	9P	29	2397	4		1
202269	viṣk	vizk	root	0	10P	0		0		1
202319	viṣṭ	vizw	root	0		2	7550	1		
202690	vis	vis	root	0	0	0		1		
203329	vī	vI	genuineroot	1	2P,2Ā	770	220	3	vI1,161	1
203453	vīj	vIj	genuineroot	1	1P,1Ā,10	5	5068	3	vIj,162	1
203469	vīḍ	vIq	genuineroot	1	0P,0Ā	0		0	vIq,162	
203556	vīps	vIps	root	0	0P	0		0		
203561	vībh	vIB	root	0	0	0		0		
203564	vīr	vIr	root	0	10Ā,10P	0		2		1
203969	vuṅg	vuNg	root	0	0	0		0		
203972	vuṇṭ	vuRw	root	0	10P	0		0		1
203973	vundh	vunD	root	0	0	0		0		
203978	vṛ	vf	genuineroot	1	5,9,1P,1Ā	2083	65	3	vf1,162	1
204040	vṛ	vf	genuineroot	1	5,9P,9Ā	2083	65	3	vf2,163	1
204094	vṛṃh	vfMh	root	0	0	0		1		
204095	vṛk	vfk	root	0	1Ā	0		1		1
204178	vṛkṣ	vfkz	root	0	1Ā	0		2		1
204309	vṛj	vfj	genuineroot	1	1,7P,2Ā	283	574	2	vfj,163	1
204339	vṛṇ	vfR	root	0	8P,8Ā,6P	0		1		1
204340	vṛt	vft	genuineroot	1	1Ā	2479	50	6	vft,164	1
204573	vṛdh	vfD	genuineroot	1	1Ā,1P,10	1619	89	5	vfD,164	1
204827	vṛś	vfS	root	0	4P	0		2		1
204858	vṛṣ	vfz	genuineroot	1	1P,1Ā	580	280	7	vfz,165	1
205267	vṛh	vfh	root	0	0	54	1774	1		
205270	vṝ	vF	root	0	0	0		1		1
205271	ve	ve	genuineroot	1	1P,1Ā	0		3	vA2,157	1
205298	vekṣ	vekz	root	0	10P	0		0		1
205421	veṭy	vewy	root	0	1P	0		0		
205425	veṇ	veR	root	0	0	0		0		1
206155	vedy	vedy	root	0		0		0		
206156	vedh	veD	root	0	1Ā	0		0		
206222	ven	ven	genuineroot	1	1P	19	2880	2	ven,165	1
206235	vep	vep	root	0	0	0		3	vip,160	
206262	vel	vel	root	0	1P	0		0		1
206270	vel	vel	root	0	10P	0		0		1
206315	vell	vell	genuineroot	1	1P	11	3611	5	vell,166	1
206348	vevī	vevI	root	0	2Ā	0		1		1
206478	veṣṭ	vezw	genuineroot	1	1Ā	43	2000	4	vizw,161	1
206532	ves	ves	root	0	1P	0		0		1
206538	veh	veh	root	0	1Ā,1P	0		0		1
206538.1	beh	beh	root	0	1Ā,1P	0		0		
206543	vehl	vehl	root	0	1P	0		0		1
206544	vai	vE	genuineroot	1	1P,1Ā	0		2		1
208354	vyac	vyac	genuineroot	1	6P,3	20	2821	2	vyac,166	1
208364	vyaj	vyaj	root	0		0		1		
208633	vyath	vyaT	genuineroot	1	1Ā	397	436	4	vyaT,166	1
208671	vyadh	vyaD	genuineroot	1	4P,4Ā	1636	88	4	vyaD,166	1
208713	vyap	vyap	root	0	10P	0		0		1
208870	vyay	vyay	root	0	1P,1Ā,10P	0		1	vyay,167	1
