book	surface_slp1	lemma_slp1	method	first_lesson	rank_all	pos
buhler	yajati	yajati	surface	1	35949	m
buhler	caraTaH	caraTa	suffix-strip	1	15149	m
buhler	kutaH	kuta	suffix-strip	1	35949	m
buhler	putraH	putra	suffix-strip	2	42	m
buhler	PalAni	Pala	suffix-strip	2	70	n
buhler	devAH	deva	suffix-strip	2	26	m
buhler	grAme	grAma	suffix-strip	2	887	mn
buhler	naraH	nara	suffix-strip	2	83	m
buhler	gfhe	gfha	suffix-strip	2	205	mn
buhler	dAnAni	dAna	suffix-strip	2	298	n
buhler	nfpAH	nfpa	suffix-strip	2	153	m
buhler	DanAni	Dana	suffix-strip	3	287	n
buhler	gfhezu	gfha	suffix-strip	3	205	mn
buhler	nfpAya	nfpa	suffix-strip	3	153	m
buhler	meGaH	meGa	suffix-strip	3	870	m
buhler	Danena	Dana	suffix-strip	3	287	n
buhler	narAH	nara	suffix-strip	3	83	m
buhler	hastayoH	hasta	suffix-strip	3	278	mn
buhler	Pale	Pala	suffix-strip	3	70	n
buhler	hastena	hasta	suffix-strip	3	278	mn
buhler	kawe	kawa	suffix-strip	3	7790	m
buhler	lANgalEH	lANgala	suffix-strip	3	7094	mn
buhler	devaH	deva	suffix-strip	3	26	m
buhler	k	k	surface	3	6664	m
buhler	devA	devA	surface	4	35949	f
buhler	pApAt	pApa	suffix-strip	4	125	n
buhler	nfpasya	nfpa	suffix-strip	4	153	m
buhler	mArge	mArga	suffix-strip	4	489	m
buhler	vasati	vasati	surface	4	4256	f
buhler	nfpA	nfpA	surface	4	26474	f
buhler	yajataH	yajata	suffix-strip	4	7094	adj
buhler	sUktAni	sUkta	suffix-strip	4	2455	n
buhler	SizyayoH	Sizya	suffix-strip	4	679	m
buhler	jalasya	jala	suffix-strip	4	188	n
buhler	kzetrezu	kzetra	suffix-strip	4	815	mn
buhler	n	n	surface	4	17217	m
buhler	pa	pa	surface	4	19118	m
buhler	tata	tata	surface	4	15149	m
buhler	udakam	udaka	suffix-strip	4	419	n
buhler	p	p	surface	4	20365	m
buhler	r	r	surface	4	12205	m
buhler	agni	agni	surface	4	45	m
buhler	ma	ma	surface	4	12205	m
buhler	nara	nara	surface	4	83	m
buhler	ti	ti	surface	4	16413	mn
buhler	hati	hati	surface	4	16413	f
buhler	gam	ga	suffix-strip	4	581	adj
buhler	maDu	maDu	surface	6	253	n
buhler	rAmaH	rAma	suffix-strip	6	134	m
buhler	bAlasya	bAla	suffix-strip	6	388	m
buhler	Sizyasya	Sizya	suffix-strip	6	679	m
buhler	nagare	nagara	suffix-strip	6	808	mn
buhler	bAlAH	bAla	suffix-strip	6	388	m
buhler	t	t	surface	6	2644	m
buhler	jan	ja	suffix-strip	6	116	adj
buhler	s	s	surface	6	14114	m
buhler	am	am	surface	6	10649	m
buhler	ram	ra	suffix-strip	6	9529	m
buhler	stenaH	stena	suffix-strip	7	3908	m
buhler	daRqaH	daRqa	suffix-strip	7	376	mn
buhler	rAmasya	rAma	suffix-strip	7	134	m
buhler	janakaH	janaka	suffix-strip	7	1828	m
buhler	puRyena	puRya	suffix-strip	7	191	adj
buhler	lokaH	loka	suffix-strip	7	44	m
buhler	d	d	surface	7	20365	m
buhler	c	c	surface	7	4022	m
buhler	jalam	jala	suffix-strip	7	188	n
buhler	j	j	surface	7	35949	m
buhler	lokam	loka	suffix-strip	7	44	m
buhler	l	l	surface	7	5660	m
buhler	h	h	surface	7	21838	m
buhler	SAstre	SAstra	suffix-strip	8	381	n
buhler	pattre	pattra	suffix-strip	8	313	mn
buhler	vinaya	vinaya	surface	8	2099	m
buhler	aDarmAya	aDarma	suffix-strip	8	775	m
buhler	DarmAya	Darma	suffix-strip	8	36	mn
buhler	sUkte	sUkta	suffix-strip	8	2455	n
buhler	bAlaH	bAla	suffix-strip	8	388	m
buhler	yajYAya	yajYa	suffix-strip	8	123	m
buhler	manuzyasya	manuzya	suffix-strip	8	426	m
buhler	kzatriyA	kzatriyA	surface	8	5613	f
buhler	uktam	ukta	suffix-strip	8	8661	n
buhler	ju	ju	surface	8	30141	m
buhler	gir	gir	surface	8	848	f
buhler	m	m	surface	8	11898	m
buhler	ratnena	ratna	suffix-strip	9	309	mn
buhler	vihagA	vihagA	surface	9	35949	f
buhler	hfdayezu	hfdaya	suffix-strip	9	370	n
buhler	BArye	BArya	suffix-strip	9	26474	m
buhler	BikzayA	BikzA	suffix-strip	9	2437	f
buhler	vana	vana	surface	9	132	n
buhler	vyADAH	vyADa	suffix-strip	9	3929	m
buhler	SUdrA	SUdrA	surface	9	5157	f
buhler	SizyA	SizyA	surface	9	13704	f
buhler	nagarasya	nagara	suffix-strip	9	808	mn
buhler	raTyAsu	raTyA	suffix-strip	9	5091	f
buhler	kzatriyasya	kzatriya	suffix-strip	9	511	m
buhler	y	y	surface	9	11591	m
buhler	v	v	surface	9	18073	m
buhler	pad	pad	surface	9	1761	m
buhler	Gftena	Gfta	suffix-strip	10	269	n
buhler	vihagAH	vihaga	suffix-strip	10	5198	m
buhler	narEH	nara	suffix-strip	10	83	m
buhler	kawAH	kawa	suffix-strip	10	7790	m
buhler	BikzA	BikzA	surface	10	2437	f
buhler	gfhasTasya	gfhasTa	suffix-strip	10	2369	m
buhler	BAryayA	BAryA	suffix-strip	10	402	f
buhler	vasu	vasu	surface	10	458	mn
buhler	raRe	raRa	suffix-strip	10	252	m
buhler	praBUtaH	praBUta	suffix-strip	10	3446	adj
buhler	aSvena	aSva	suffix-strip	10	249	m
buhler	da	da	surface	10	367	adj
buhler	nagara	nagara	surface	11	808	mn
buhler	kawayoH	kawa	suffix-strip	11	7790	m
buhler	naya	naya	surface	11	2795	m
buhler	makzikA	makzikA	surface	12	5559	f
buhler	pArTivAH	pArTiva	suffix-strip	12	399	m
buhler	nIcAH	nIca	suffix-strip	12	3181	adj
buhler	sADavaH	sADava	suffix-strip	12	47379	n
buhler	Darma	Darma	surface	12	36	mn
buhler	muKyAH	muKya	suffix-strip	12	757	adj
buhler	kalpate	kalpatA	suffix-strip	12	47379	f
buhler	aSvA	aSvA	surface	12	13286	f
buhler	loBaH	loBa	suffix-strip	13	1139	m
buhler	pApasya	pApa	suffix-strip	13	125	n
buhler	kAraRam	kAraRa	suffix-strip	13	259	n
buhler	SriyA	SriyA	surface	13	47379	f
buhler	balena	bala	suffix-strip	13	63	mn
buhler	duHKAni	duHKa	suffix-strip	13	165	n
buhler	pustakAni	pustaka	suffix-strip	13	5464	mn
buhler	nis	nis	surface	13	21838	m
buhler	paSyata	paSyata	surface	14	47379	adj
buhler	suKena	suKa	suffix-strip	14	141	n
buhler	vakre	vakra	suffix-strip	14	2795	adj
buhler	Asane	Asana	suffix-strip	14	531	n
buhler	SizyAH	Sizya	suffix-strip	14	679	m
buhler	kalahaH	kalaha	suffix-strip	14	3603	mn
buhler	kzatriyAH	kzatriya	suffix-strip	14	511	m
buhler	snuze	snuzA	suffix-strip	14	3145	f
buhler	vaDu	vaDu	surface	14	26474	f
buhler	durjanasya	durjana	suffix-strip	15	5130	m
buhler	sarpasya	sarpa	suffix-strip	15	934	m
buhler	durjanaH	durjana	suffix-strip	15	5130	m
buhler	kAlena	kAla	suffix-strip	15	59	m
buhler	pade	pada	suffix-strip	15	192	mn
buhler	kAvyAni	kAvya	suffix-strip	15	2009	mn
buhler	kanye	kanyA	suffix-strip	15	358	f
buhler	nfpe	nfpa	suffix-strip	15	153	m
buhler	prajA	prajA	surface	15	293	f
buhler	arTAya	arTa	suffix-strip	15	33	mn
buhler	saBAsu	saBA	suffix-strip	15	1086	f
buhler	paRqitEH	paRqita	suffix-strip	15	1743	m
buhler	brAhmaRasya	brAhmaRa	suffix-strip	15	87	m
buhler	ISvaraH	ISvara	suffix-strip	15	228	m
buhler	sevyatAm	sevyatA	suffix-strip	15	35949	f
buhler	SAstrasya	SAstra	suffix-strip	15	381	n
buhler	kartre	kartra	suffix-strip	15	35949	n
buhler	namaH	nama	suffix-strip	15	35949	m
buhler	lokasya	loka	suffix-strip	15	44	m
buhler	N	N	surface	15	8280	m
buhler	kAmaduGA	kAmaduGA	surface	16	11317	f
buhler	buDEH	buDa	suffix-strip	16	788	adj
buhler	patnI	patnI	surface	16	768	f
buhler	rakzaRena	rakzaRa	suffix-strip	16	2335	n
buhler	mAse	mAsa	suffix-strip	16	335	mn
buhler	ta	ta	surface	16	8823	m
buhler	taram	tara	suffix-strip	16	10649	m
buhler	tre	tra	suffix-strip	16	23796	m
buhler	pitu	pitu	surface	16	10858	mn
buhler	tari	tari	surface	16	35949	f
buhler	man	ma	suffix-strip	16	12205	m
buhler	jIvitam	jIvita	suffix-strip	17	611	n
buhler	stenAH	stena	suffix-strip	17	3908	m
buhler	vESyAH	vESya	suffix-strip	17	1082	m
buhler	vARijyena	vARijya	suffix-strip	17	6402	n
buhler	pASupAlyena	pASupAlya	suffix-strip	17	14614	n
buhler	sUta	sUta	surface	18	144	mn
buhler	raTam	raTa	suffix-strip	18	66	m
buhler	kAlidAsasya	kAlidAsa	suffix-strip	18	47379	m
buhler	upanayane	upanayana	suffix-strip	18	6336	n
buhler	yudDe	yudDa	suffix-strip	18	248	n
buhler	prayAge	prayAga	suffix-strip	18	3569	mn
buhler	yaH	ya	suffix-strip	19	7019	m
buhler	me	ma	suffix-strip	19	12205	m
buhler	yena	ya	suffix-strip	19	7019	m
buhler	vAtena	vAta	suffix-strip	19	133	m
buhler	vAri	vAri	surface	19	973	n
buhler	tena	ta	suffix-strip	19	8823	m
buhler	vahati	vahati	surface	19	35949	m
buhler	paRqitaH	paRqita	suffix-strip	19	1743	m
buhler	pArTiva	pArTiva	surface	19	399	m
buhler	tA	tA	surface	19	78	f
buhler	Bavati	Bavati	surface	19	35949	m
buhler	puRyEH	puRya	suffix-strip	19	191	adj
buhler	janAH	jana	suffix-strip	19	140	m
buhler	devakI	devakI	surface	19	3390	f
buhler	vasudevasya	vasudeva	suffix-strip	19	3498	m
buhler	jalena	jala	suffix-strip	19	188	n
buhler	viSve	viSvA	suffix-strip	19	9699	f
buhler	va	va	surface	19	11317	m
buhler	vam	va	suffix-strip	19	11317	m
buhler	ki	ki	surface	19	35949	m
buhler	sahAyena	sahAya	suffix-strip	20	1656	m
buhler	te	ta	suffix-strip	20	8823	m
buhler	ye	ya	suffix-strip	20	7019	m
buhler	pozakaH	pozaka	suffix-strip	20	10449	adj
buhler	viSvAsaH	viSvAsa	suffix-strip	20	3156	m
buhler	BAryA	BAryA	surface	20	402	f
buhler	Sizya	Sizya	surface	20	679	m
buhler	pApA	pApA	surface	20	47379	f
buhler	jagatI	jagatI	surface	20	3354	f
buhler	jIva	jIva	surface	20	942	mn
buhler	Satam	Sata	suffix-strip	20	85	mn
buhler	BaktAH	Bakta	suffix-strip	20	718	m
buhler	padmAni	padma	suffix-strip	20	526	mn
buhler	kOnteya	kOnteya	surface	21	1041	m
buhler	Danam	Dana	suffix-strip	21	287	n
buhler	marutaH	maruta	suffix-strip	21	20365	m
buhler	kAlidAsa	kAlidAsa	surface	21	47379	m
buhler	D	D	surface	21	35949	m
buhler	ganDena	ganDa	suffix-strip	22	238	mn
buhler	vedEH	veda	suffix-strip	22	245	m
buhler	dvijAH	dvija	suffix-strip	22	205	m
buhler	cArEH	cAra	suffix-strip	22	2376	m
buhler	yajYezu	yajYa	suffix-strip	22	123	m
buhler	ya	ya	surface	22	7019	m
buhler	BuvaH	Buva	suffix-strip	22	19118	m
buhler	kAmasya	kAma	suffix-strip	22	80	m
buhler	jyAyAH	jyA	suffix-strip	22	2312	f
buhler	sTAne	sTAna	suffix-strip	22	302	n
buhler	layaH	laya	suffix-strip	22	2734	m
buhler	jIvite	jIvita	suffix-strip	22	611	n
buhler	puri	puri	surface	22	35949	f
buhler	suman	suma	suffix-strip	22	21838	n
buhler	sumana	sumana	surface	22	35949	m
buhler	guRAH	guRa	suffix-strip	23	72	mn
buhler	Aditya	Aditya	surface	23	416	m
buhler	Sreyase	Sreyasa	suffix-strip	23	35949	n
buhler	putrasya	putra	suffix-strip	23	42	m
buhler	udyAne	udyAna	suffix-strip	23	1978	n
buhler	kanyA	kanyA	surface	23	358	f
buhler	apaSyam	apaSya	suffix-strip	23	30141	adj
buhler	mAtA	mAtA	surface	23	2936	f
buhler	rUkzayA	rUkzA	suffix-strip	24	35949	f
buhler	sevyate	sevyatA	suffix-strip	24	35949	f
buhler	hatasya	hata	suffix-strip	24	30141	n
buhler	lomAni	loma	suffix-strip	24	21838	n
buhler	narake	naraka	suffix-strip	24	965	mn
buhler	BftyA	BftyA	surface	24	30141	f
buhler	dine	dina	suffix-strip	24	268	mn
buhler	dvitIye	dvitIya	suffix-strip	24	550	adj
buhler	vedezu	veda	suffix-strip	24	245	m
buhler	loke	loka	suffix-strip	25	44	m
buhler	gOravam	gOrava	suffix-strip	25	1450	n
buhler	vidyayA	vidyA	suffix-strip	25	373	f
buhler	vidyA	vidyA	surface	25	373	f
buhler	kASyA	kASyA	surface	25	35949	f
buhler	pApAH	pApa	suffix-strip	25	125	n
buhler	vipAkena	vipAka	suffix-strip	25	1436	m
buhler	samAgamAya	samAgama	suffix-strip	25	2029	m
buhler	kASyAH	kASya	suffix-strip	25	9223	m
buhler	deSe	deSa	suffix-strip	25	241	m
buhler	takzaSilA	takzaSilA	surface	25	19118	f
buhler	BfgukacCam	BfgukacCa	suffix-strip	25	18073	mfn
buhler	van	va	suffix-strip	25	11317	m
buhler	aha	aha	surface	25	580	mn
buhler	vratam	vrata	suffix-strip	26	277	n
buhler	brahma	brahma	surface	26	15149	m
buhler	strI	strI	surface	26	124	f
buhler	patye	patya	suffix-strip	26	47379	n
buhler	pfTivI	pfTivI	surface	26	251	f
buhler	ete	eta	suffix-strip	26	18073	m
buhler	G	G	surface	26	35949	m
buhler	yam	ya	suffix-strip	26	7019	m
buhler	ap	ap	surface	26	230	m
buhler	ana	ana	surface	26	35949	m
buhler	pum	pum	surface	26	30141	m
buhler	anas	anas	surface	26	8416	n
buhler	yAni	ya	suffix-strip	27	7019	m
buhler	santaH	santa	suffix-strip	27	35949	m
buhler	kzuDA	kzuDA	surface	27	3556	f
buhler	BagnaH	Bagna	suffix-strip	27	6789	n
buhler	paSya	paSya	surface	27	20365	adj
buhler	ApaH	Apa	suffix-strip	27	10027	m
buhler	maDuparka	maDuparka	surface	27	6864	mn
buhler	anena	anena	surface	27	47379	adj
buhler	tam	ta	suffix-strip	27	8823	m
buhler	ena	ena	surface	27	23796	adj
buhler	kara	kara	surface	27	148	adj
buhler	gata	gata	surface	27	7176	n
buhler	rAjYaH	rAjYa	suffix-strip	28	35949	m
buhler	sTitaH	sTita	suffix-strip	28	30141	n
buhler	pfzwaH	pfzwa	suffix-strip	28	26474	n
buhler	mUQaH	mUQa	suffix-strip	28	12205	adj
buhler	KaraH	Kara	suffix-strip	28	1108	m
buhler	siMhasya	siMha	suffix-strip	28	607	m
buhler	hataH	hata	suffix-strip	28	30141	n
buhler	vAcA	vAcA	surface	28	11898	f
buhler	Buktam	Bukta	suffix-strip	28	4845	n
buhler	paTi	paTi	surface	28	26474	m
buhler	gate	gata	suffix-strip	29	7176	n
buhler	paNke	paNka	suffix-strip	29	2607	mn
buhler	nityAni	nitya	suffix-strip	29	513	adj
buhler	yajYAni	yajYa	suffix-strip	29	123	m
buhler	lokAt	loka	suffix-strip	29	44	m
buhler	suptAH	supta	suffix-strip	29	14614	n
buhler	nivedya	nivedya	surface	29	35949	n
buhler	SAntaH	SAnta	suffix-strip	29	12526	m
buhler	maruta	maruta	surface	29	20365	m
buhler	AdAya	AdAya	surface	29	30141	adj
buhler	yajamAnena	yajamAna	suffix-strip	29	3053	m
buhler	dattam	datta	suffix-strip	29	13704	m
buhler	sEnya	sEnya	surface	29	469	n
buhler	yudDAya	yudDa	suffix-strip	29	248	n
buhler	pOrAH	pOra	suffix-strip	30	1547	m
buhler	kAlidAsena	kAlidAsa	suffix-strip	30	47379	m
buhler	samarTa	samarTa	surface	30	1621	adj
buhler	sAmAni	sAma	suffix-strip	30	8940	adj
buhler	geyAni	geya	suffix-strip	30	9079	n
buhler	SrAntasya	SrAnta	suffix-strip	30	21838	m
buhler	brAhmaRaH	brAhmaRa	suffix-strip	30	87	m
buhler	Sakawe	Sakawa	suffix-strip	30	4256	n
buhler	kfzIvala	kfzIvala	surface	30	11317	m
buhler	manaH	mana	suffix-strip	30	23796	m
buhler	kftam	kfta	suffix-strip	30	1333	n
buhler	um	um	surface	30	35949	m
buhler	rava	rava	surface	30	2324	m
buhler	cora	cora	surface	30	4140	m
buhler	deya	deya	surface	30	6436	n
buhler	jya	jya	surface	30	30141	m
buhler	divi	divi	surface	31	19118	m
buhler	purARAni	purARa	suffix-strip	31	870	n
buhler	matam	mata	suffix-strip	31	1685	n
buhler	SAKA	SAKA	surface	31	1421	f
buhler	fgvedasya	fgveda	suffix-strip	31	6041	m
buhler	paYca	paYca	surface	31	47379	adj
buhler	yajurvedasya	yajurveda	suffix-strip	31	6336	m
buhler	sAmavedasya	sAmaveda	suffix-strip	31	6591	m
buhler	nava	nava	surface	31	1016	adj
buhler	SatAni	Sata	suffix-strip	31	85	mn
buhler	Satatame	Satatama	suffix-strip	31	4037	adj
buhler	saMvatsare	saMvatsara	suffix-strip	31	902	mn
buhler	gatAni	gata	suffix-strip	31	7176	n
buhler	zoqaSa	zoqaSa	surface	31	2115	adj
buhler	dattAni	datta	suffix-strip	31	13704	m
buhler	varze	varza	suffix-strip	31	186	mn
buhler	traya	traya	surface	31	443	n
buhler	ra	ra	surface	31	9529	m
buhler	catura	catura	surface	31	6270	adj
buhler	Darme	Darma	suffix-strip	32	36	mn
buhler	mokzAya	mokza	suffix-strip	32	631	m
buhler	yajYeByaH	yajYa	suffix-strip	32	123	m
buhler	trayaH	traya	suffix-strip	32	443	n
buhler	kanizWaH	kanizWa	suffix-strip	32	5559	adj
buhler	Danasya	Dana	suffix-strip	32	287	n
buhler	saMgataH	saMgata	suffix-strip	32	8065	n
buhler	rohiRI	rohiRI	surface	32	2455	f
buhler	steneByaH	stena	suffix-strip	32	3908	m
buhler	surApAH	surApa	suffix-strip	32	7353	adj
buhler	bahu	bahu	surface	32	89	adj
buhler	yas	yas	surface	32	35949	m
buhler	yuvan	yuvan	surface	32	1505	m
buhler	prajAH	praja	suffix-strip	33	21838	adj
buhler	viSrutaH	viSruta	suffix-strip	33	18073	adj
buhler	kaRvasya	kaRva	suffix-strip	33	3156	m
buhler	kaRve	kaRva	suffix-strip	33	3156	m
buhler	tasya	ta	suffix-strip	33	8823	m
buhler	kftrimA	kftrimA	surface	33	47379	f
buhler	duhitA	duhitA	surface	33	26474	f
buhler	SakuntalA	SakuntalA	surface	33	5864	f
buhler	dau	da	suffix-strip	33	367	adj
buhler	hita	hita	surface	33	212	adj
buhler	puru	puru	surface	33	1743	adj
buhler	pakva	pakva	surface	33	875	adj
buhler	yasya	ya	suffix-strip	33	7019	m
buhler	devam	deva	suffix-strip	33	26	m
buhler	padmam	padma	suffix-strip	33	526	mn
buhler	cUqA	cUqA	surface	34	8940	f
buhler	mastake	mastaka	suffix-strip	34	3242	mn
buhler	pulindaH	pulinda	suffix-strip	34	9079	m
buhler	mahAvarAhaH	mahAvarAha	suffix-strip	34	17217	m
buhler	mftaH	mfta	suffix-strip	34	9529	n
buhler	SfgAla	SfgAla	surface	34	6200	m
buhler	prARayAtrA	prARayAtrA	surface	34	15765	f
buhler	muKe	muKa	suffix-strip	34	110	n
buhler	mah	mah	surface	34	1614	adj
buhler	odanam	odana	suffix-strip	34	2089	mn
buhler	devasya	deva	suffix-strip	34	26	m
buhler	asi	asi	surface	34	1656	m
buhler	bala	bala	surface	34	63	mn
buhler	putre	putra	suffix-strip	34	42	m
buhler	sahita	sahita	surface	34	387	adj
buhler	go	go	surface	34	99	mf
buhler	saMyuktaH	saMyukta	suffix-strip	35	35949	m
buhler	vAnaprasTaH	vAnaprasTa	suffix-strip	35	4578	mn
buhler	maGavan	maGavan	surface	35	1355	m
buhler	mftAH	mfta	suffix-strip	35	9529	n
buhler	janmAntare	janmAntara	suffix-strip	35	10649	n
buhler	maDyAhne	maDyAhna	suffix-strip	35	3790	m
buhler	SizyeByaH	Sizya	suffix-strip	35	679	m
buhler	Sramam	Srama	suffix-strip	36	1053	m
buhler	sattama	sattama	surface	36	438	adj
buhler	tra	tra	surface	36	23796	m
buhler	saMSayaH	saMSaya	suffix-strip	36	322	m
buhler	vyalIkAni	vyalIka	suffix-strip	36	8536	n
buhler	priyaH	priya	suffix-strip	36	113	adj
buhler	priya	priya	surface	36	113	adj
buhler	kAyaH	kAya	suffix-strip	36	542	m
buhler	vallaBaH	vallaBa	suffix-strip	36	2972	adj
buhler	rAjan	rAjan	surface	36	23	m
buhler	mahAnase	mahAnasa	suffix-strip	36	7517	mn
buhler	jyam	jya	suffix-strip	36	30141	m
buhler	kzaRe	kzaRa	suffix-strip	37	401	m
buhler	yUpezu	yUpa	suffix-strip	37	3689	m
buhler	prasannA	prasannA	surface	37	11591	f
buhler	sUrya	sUrya	surface	37	236	m
buhler	udaye	udaya	suffix-strip	37	857	m
buhler	BAti	BAti	surface	37	30141	f
buhler	pu	pu	surface	37	18073	m
buhler	anavAptezu	anavApta	suffix-strip	38	16413	adj
buhler	kAmezu	kAma	suffix-strip	38	80	m
buhler	mAnavam	mAnava	suffix-strip	38	840	m
buhler	darSanAni	darSana	suffix-strip	38	272	n
buhler	jihvA	jihvA	surface	38	1004	f
buhler	stOti	stOti	surface	38	35949	m
buhler	ratam	rata	suffix-strip	38	4550	n
buhler	AcAryAH	AcArya	suffix-strip	38	744	m
buhler	sArasAH	sArasa	suffix-strip	38	4006	m
buhler	paRqitAH	paRqita	suffix-strip	38	1743	m
buhler	yanti	yanti	surface	38	47379	f
buhler	karoti	karoti	surface	38	35949	m
buhler	kzayam	kzaya	suffix-strip	38	270	m
buhler	vAcyatAm	vAcyatA	suffix-strip	38	23796	f
buhler	hanti	hanti	surface	38	26474	f
buhler	daSa	daSa	surface	38	30141	m
buhler	gavAnfte	gavAnfta	suffix-strip	38	20365	n
buhler	Sarva	Sarva	surface	38	2825	m
buhler	Bava	Bava	surface	38	562	m
buhler	jagat	jagat	surface	38	13704	adj
buhler	purARezu	purARa	suffix-strip	38	870	n
buhler	mfdA	mfdA	surface	38	23796	f
buhler	iy	iy	surface	38	35949	m
buhler	garam	gara	suffix-strip	38	4116	m
buhler	yaTezwam	yaTezwa	suffix-strip	40	3556	adj
buhler	yugAntare	yugAntara	suffix-strip	40	35949	n
buhler	DIrAH	DIra	suffix-strip	40	1167	adj
buhler	skanDe	skanDa	suffix-strip	40	1214	m
buhler	pApezu	pApa	suffix-strip	40	125	n
buhler	yaSaH	yaSa	suffix-strip	40	23796	n
buhler	manye	manya	suffix-strip	41	35949	m
buhler	mfgaH	mfga	suffix-strip	41	487	m
buhler	mahatI	mahatI	surface	41	11591	f
buhler	Sivasya	Siva	suffix-strip	41	185	m
buhler	rujA	rujA	surface	41	1812	f
buhler	dadAti	dadAti	surface	41	30141	m
buhler	vivAha	vivAha	surface	41	1698	m
buhler	dUta	dUta	surface	42	1243	m
buhler	saMhatAn	saMhata	suffix-strip	42	23796	adj
buhler	SUraH	SUra	suffix-strip	42	421	m
buhler	BUtAni	BUta	suffix-strip	42	103	mn
buhler	raTe	raTa	suffix-strip	42	66	m
buhler	syAt	sya	suffix-strip	42	21838	m
buhler	ja	ja	surface	43	116	adj
buhler	je	ja	suffix-strip	43	116	adj
buhler	cakre	cakra	suffix-strip	43	392	n
buhler	svapnam	svapna	suffix-strip	45	935	mn
buhler	akza	akza	surface	48	456	n
buhler	ukti	ukti	surface	48	3210	f
buhler	UrDva	UrDva	surface	48	630	adj
buhler	Ca	Ca	surface	48	8940	m
buhler	qa	qa	surface	48	21838	m
buhler	pakza	pakza	surface	48	501	m
buhler	ba	ba	surface	48	35949	m
buhler	Ba	Ba	surface	48	8160	n
buhler	Bakta	Bakta	surface	48	718	m
buhler	yakza	yakza	surface	48	790	m
buhler	la	la	surface	48	15765	m
buhler	lakza	lakza	surface	48	1596	mn
buhler	Sa	Sa	surface	48	12205	m
buhler	za	za	surface	48	12205	m
buhler	zawtriMSat	zawtriMSat	surface	48	5509	f
buhler	saMyukta	saMyukta	surface	48	35949	m
buhler	prajan	praja	suffix-strip	48	21838	adj
buhler	ga	ga	surface	48	581	adj
buhler	cam	cam	surface	48	35949	m
buhler	jye	jya	suffix-strip	48	30141	m
buhler	ara	ara	surface	48	5559	n
knauer	prayAge	prayAga	suffix-strip	1	3569	mn
knauer	gaNgA	gaNgA	surface	1	737	f
knauer	yamunayA	yamunA	suffix-strip	1	2520	f
knauer	SizyAH	Sizya	suffix-strip	1	679	m
knauer	masya	ma	suffix-strip	1	12205	m
knauer	raTyAsu	raTyA	suffix-strip	1	5091	f
knauer	nagarasya	nagara	suffix-strip	1	808	mn
knauer	n	n	surface	1	17217	m
knauer	ma	ma	surface	1	12205	m
knauer	gaja	gaja	surface	1	482	m
knauer	narau	nara	suffix-strip	1	83	m
knauer	s	s	surface	1	14114	m
knauer	manu	manu	surface	1	780	m
knauer	y	y	surface	1	11591	m
