book	surface_slp1	first_lesson	rank_all	count_all	pos
buhler	tatra	1	30	13768	ind
buhler	tadA	1	60	7650	ind
buhler	atra	1	67	6130	ind
buhler	kaTam	1	139	3543	ind
buhler	adya	1	156	3268	ind
buhler	sadA	1	189	2946	ind
buhler	yadA	1	260	2425	ind
buhler	kva	1	783	915	ind
buhler	sarvatra	1	1098	649	ind
buhler	aDunA	1	1891	352	ind
buhler	yajati	1	35949	2	m
buhler	a	2	112	3970	ind
buhler	e	2	954	753	2.P.
buhler	kadA	2	3724	144	ind
buhler	he	2	4716	102	ind
buhler	pibati	2	82084		?
buhler	k	3	6664	60	m
buhler	mi	3	17217	10	5.Ā.
buhler	tizWati	3	82084		?
buhler	na	4	3	53981	ind
buhler	gam	4	25	15950	6.Ā.
buhler	ka	4	34	12187	pron
buhler	agni	4	45	9689	m
buhler	nara	4	83	5011	m
buhler	A	4	157	3267	ind
buhler	u	4	477	1417	ind
buhler	ruh	4	2079	310	6.Ā.
buhler	I	4	3181	180	Int.Ā.
buhler	vasati	4	4256	119	f
buhler	r	4	12205	20	m
buhler	ma	4	12205	20	m
buhler	tata	4	15149	13	m
buhler	ti	4	16413	11	mn
buhler	hati	4	16413	11	f
buhler	n	4	17217	10	m
buhler	pa	4	19118	8	m
buhler	p	4	20365	7	m
buhler	nfpA	4	26474	4	f
buhler	devA	4	35949	2	f
buhler	janA	4	59389		?
buhler	puna	4	59389		?
buhler	dahati	4	59389		?
buhler	mas	4	82084		?
buhler	ca	6	1	155088	ind
buhler	tu	6	10	35004	ind
buhler	jan	6	62	7380	4.P.
buhler	maDu	6	253	2490	n
buhler	ram	6	495	1376	4.Ā.
buhler	kram	6	2293	276	4.P.
buhler	t	6	2644	229	m
buhler	am	6	10649	26	m
buhler	s	6	14114	15	m
buhler	SAmyati	6	82084		?
buhler	ati	7	135	3619	ind
buhler	c	7	4022	130	m
buhler	l	7	5660	77	m
buhler	d	7	20365	7	m
buhler	h	7	21838	6	m
buhler	j	7	35949	2	m
buhler	g	7	82084		?
buhler	iti	8	7	44379	ind
buhler	evam	8	31	13163	ind
buhler	iha	8	73	5697	ind
buhler	i	8	307	2133	5.Ā.
buhler	gir	8	848	859	f
buhler	nad	8	1576	437	1.Ā.
buhler	no	8	2029	318	ind
buhler	vinaya	8	2099	307	m
buhler	kzatriyA	8	5613	78	f
buhler	m	8	11898	21	m
buhler	ju	8	30141	3	m
buhler	sa	9	32	13017	ind
buhler	vana	9	132	3658	n
buhler	ji	9	154	3273	9.P.
buhler	pra	9	423	1549	ind
buhler	pari	9	935	767	ind
buhler	upa	9	959	749	ind
buhler	pad	9	1761	382	m
buhler	SUdrA	9	5157	89	f
buhler	y	9	11591	22	m
buhler	SizyA	9	13704	16	f
buhler	v	9	18073	9	m
buhler	vihagA	9	35949	2	f
buhler	dayati	9	82084		?
buhler	da	10	367	1798	adj
buhler	vasu	10	458	1471	mn
buhler	BikzA	10	2437	255	f
buhler	han	11	55	8257	6.P.
buhler	vi	11	491	1386	ind
buhler	nagara	11	808	897	mn
buhler	naya	11	2795	213	m
buhler	Darma	12	36	11534	mn
buhler	makzikA	12	5559	79	f
buhler	aSvA	12	13286	17	f
buhler	nIcA	12	18073	9	ind
buhler	nis	13	21838	6	m
buhler	SriyA	13	47379	1	f
buhler	saha	14	71	5936	ind
buhler	mA	14	167	3119	ind
buhler	kutra	14	3847	138	ind
buhler	suKena	14	8536	39	ind
buhler	uc	14	12880	18	4.Ā.
buhler	vaDu	14	26474	4	f
buhler	paSyata	14	47379	1	adj
buhler	vad	15	179	3031	1.Ā.
buhler	prajA	15	293	2219	f
buhler	N	15	8280	41	m
buhler	kAlena	15	59389		?
buhler	dra	15	59389		?
buhler	yadi	16	88	4703	ind
buhler	man	16	108	4122	8.P.
buhler	samyak	16	377	1758	ind
buhler	gA	16	627	1115	2.P.
buhler	patnI	16	768	928	f
buhler	mud	16	824	883	1.P.
buhler	ta	16	8823	37	m
buhler	pitu	16	10858	25	mn
buhler	kAmaduGA	16	11317	23	f
buhler	tari	16	35949	2	f
buhler	vA	17	22	19249	ind
buhler	yaTA	17	35	11776	ind
buhler	vap	17	3640	149	1.Ā.
buhler	sUta	18	144	3455	mn
buhler	mAM	18	59389		?
buhler	tA	19	78	5284	f
buhler	yA	19	81	5103	2.Ā.
buhler	pArTiva	19	399	1628	m
buhler	tena	19	519	1324	ind
buhler	cit	19	554	1227	ind
buhler	vAri	19	973	741	n
buhler	sah	19	1303	541	1.P.
buhler	yena	19	1551	447	ind
buhler	vam	19	2920	202	1.Ā.
buhler	devakI	19	3390	165	f
buhler	yu	19	4753	101	3.Ā.
buhler	va	19	11317	23	m
buhler	vahati	19	35949	2	m
buhler	Bavati	19	35949	2	m
buhler	ki	19	35949	2	m
buhler	ko	19	47379	1	ind
buhler	me	19	82084		?
buhler	tava	19	82084		?
buhler	yatra	20	118	3831	ind
buhler	BAryA	20	402	1624	f
buhler	vinA	20	662	1048	ind
buhler	Sizya	20	679	1026	m
buhler	jIva	20	942	762	mn
buhler	jagatI	20	3354	167	f
buhler	sA	20	4845	98	6.Ā.
buhler	pApA	20	47379	1	f
buhler	siDyati	20	82084		?
buhler	te	20	82084		?
buhler	kOnteya	21	1041	690	m
buhler	du	21	6142	68	4.P.
buhler	svaj	21	8940	36	1.P.
buhler	D	21	35949	2	m
buhler	kAlidAsa	21	47379	1	m
buhler	diSi	21	82084		?
buhler	vE	22	40	10527	ind
buhler	ya	22	7019	55	m
buhler	sTAne	22	7871	45	ind
buhler	kadApi	22	19118	8	ind
buhler	puri	22	35949	2	f
buhler	sumana	22	35949	2	m
buhler	sumanasa	22	59389		?
buhler	hi	23	21	19452	ind
buhler	iva	23	24	16240	ind
buhler	kanyA	23	358	1853	f
buhler	Aditya	23	416	1574	m
buhler	mAtA	23	2936	201	f
buhler	vat	24	122	3773	ind
buhler	prAyeRa	24	4602	106	ind
buhler	BftyA	24	30141	3	f
buhler	var	24	82084		?
buhler	eva	25	5	45884	ind
buhler	nAma	25	102	4227	ind
buhler	vidyA	25	373	1779	f
buhler	aha	25	580	1179	mn
buhler	van	25	3242	174	6.P.
buhler	takzaSilA	25	19118	8	f
buhler	kASyA	25	35949	2	f
buhler	strI	26	124	3737	f
buhler	ap	26	230	2589	m
buhler	pfTivI	26	251	2494	f
buhler	sam	26	626	1122	ind
buhler	an	26	753	940	ind
buhler	yam	26	1066	669	6.P.
buhler	apa	26	1850	359	ind
buhler	kena	26	5613	78	ind
buhler	anas	26	8416	40	n
buhler	brahma	26	15149	13	m
buhler	do	26	21838	6	6.Ā.
buhler	taM	26	26474	4	ind
buhler	pum	26	30141	3	m
buhler	G	26	35949	2	m
buhler	ana	26	35949	2	m
buhler	kara	27	148	3384	adj
buhler	Bo	27	2267	280	ind
buhler	kzuDA	27	3556	154	f
buhler	maDuparka	27	6864	57	mn
buhler	gata	27	7176	53	n
buhler	tam	27	7790	46	4.Ā.
buhler	paSya	27	20365	7	adj
buhler	ena	27	23796	5	adj
buhler	anena	27	47379	1	adj
buhler	paya	27	82084		?
buhler	ha	28	131	3659	ind
buhler	vAcA	28	11898	21	f
buhler	paTi	28	26474	4	m
buhler	sEnya	29	469	1443	n
buhler	cyu	29	1170	607	1.P.
buhler	maruta	29	20365	7	m
buhler	AdAya	29	30141	3	adj
buhler	nivedya	29	35949	2	n
buhler	vac	30	15	30970	2.P.
buhler	yat	30	94	4488	ind
buhler	guh	30	1565	441	6.P.
buhler	samarTa	30	1621	425	adj
buhler	ava	30	2215	287	ind
buhler	rava	30	2324	271	m
buhler	tya	30	2398	260	pron
buhler	cora	30	4140	124	m
buhler	ru	30	5464	81	2.Ā.
buhler	deya	30	6436	63	n
buhler	kfzIvala	30	11317	23	m
buhler	jya	30	30141	3	m
buhler	um	30	35949	2	m
buhler	cur	30	82084		?
buhler	catur	31	163	3181	nr
buhler	traya	31	443	1502	n
buhler	nava	31	1016	703	adj
buhler	ni	31	1103	642	ind
buhler	SAKA	31	1421	492	f
buhler	sakft	31	1632	422	ind
buhler	zoqaSa	31	2115	304	adj
buhler	catura	31	6270	66	adj
buhler	ra	31	9529	32	m
buhler	at	31	18073	9	1.Ā.
buhler	divi	31	19118	8	m
buhler	paYca	31	47379	1	adj
buhler	kal	31	59389		?
buhler	api	32	11	34022	ind
buhler	bahu	32	89	4668	adj
buhler	yuvan	32	1505	463	m
buhler	rohiRI	32	2455	252	f
buhler	yas	32	35949	2	m
buhler	hita	33	212	2767	adj
buhler	purA	33	275	2316	ind
buhler	pakva	33	875	834	adj
buhler	puru	33	1743	388	adj
buhler	SakuntalA	33	5864	73	f
buhler	duhitA	33	26474	4	f
buhler	kftrimA	33	47379	1	f
buhler	taTA	34	19	22741	ind
buhler	aTa	34	29	14105	ind
buhler	bala	34	63	7315	mn
buhler	go	34	99	4319	mf
buhler	sma	34	232	2566	ind
buhler	prati	34	321	2063	ind
buhler	sahita	34	387	1674	adj
buhler	mah	34	1614	426	adj
buhler	asi	34	1656	412	m
buhler	BoH	34	3669	147	ind
buhler	SfgAla	34	6200	67	m
buhler	ri	34	7964	44	9.Ā.
buhler	cUqA	34	8940	36	f
buhler	prARayAtrA	34	15765	12	f
buhler	o	34	17217	10	ind
buhler	prativasati	34	59389		?
buhler	maGavan	35	1355	521	m
buhler	rAjan	36	23	17082	m
buhler	priya	36	113	3968	adj
buhler	sattama	36	438	1513	adj
buhler	kadAcana	36	1656	412	ind
buhler	saH	36	10858	25	ind
buhler	tra	36	23796	5	m
buhler	SUrA	36	59389		?
buhler	sUrya	37	236	2547	m
buhler	prasannA	37	11591	22	f
buhler	pu	37	18073	9	m
buhler	BAti	37	30141	3	f
buhler	kftvA	37	47379	1	ind
buhler	guRA	37	59389		?
buhler	mu	37	82084		?
buhler	vid	38	48	9384	6.Ā.
buhler	dvi	38	120	3788	nr
buhler	Bava	38	562	1206	m
buhler	jihvA	38	1004	710	f
buhler	yaTAviDi	38	1539	451	ind
buhler	Sarva	38	2825	210	m
buhler	cak	38	7964	44	1.P.
buhler	aj	38	9079	35	1.Ā.
buhler	jagat	38	13704	16	adj
buhler	yaM	38	15149	13	ind
buhler	mfdA	38	23796	5	f
buhler	hanti	38	26474	4	f
buhler	daSa	38	30141	3	m
buhler	stOti	38	35949	2	m
buhler	karoti	38	35949	2	m
buhler	iy	38	35949	2	m
buhler	yanti	38	47379	1	f
buhler	gAM	38	59389		?
buhler	vetti	38	82084		?
buhler	snAti	38	82084		?
buhler	vas	40	292	2220	2.P.
buhler	dih	40	3390	165	2.Ā.
buhler	se	40	23796	5	ind
buhler	atu	40	82084		?
buhler	vivAha	41	1698	400	m
buhler	rujA	41	1812	369	f
buhler	df	41	3981	132	9.P.
buhler	mahatI	41	11591	22	f
buhler	dadAti	41	30141	3	m
buhler	biBeti	41	82084		?
buhler	aho	42	1228	576	ind
buhler	dUta	42	1243	571	m
buhler	baDnAti	42	82084		?
buhler	ja	43	116	3924	adj
buhler	yaj	43	353	1887	2.P.
buhler	stu	43	432	1522	1.Ā.
buhler	vah	43	507	1346	2.P.
buhler	ci	43	2191	291	1.Ā.
buhler	lul	43	8416	40	1.P.
buhler	day	43	9223	34	1.Ā.
buhler	und	43	11898	21	6.P.
buhler	gar	43	82084		?
buhler	car	48	176	3059	1.Ā.
buhler	banD	48	296	2210	4.P.
buhler	rakz	48	400	1627	4.P.
buhler	akza	48	456	1474	n
buhler	SaMs	48	488	1393	2.Ā.
buhler	pakza	48	501	1363	m
buhler	anu	48	502	1359	ind
buhler	sev	48	536	1271	4.P.
buhler	ga	48	581	1176	adj
buhler	UrDva	48	630	1104	adj
buhler	utpad	48	707	996	4.P.
buhler	Bakta	48	718	986	m
buhler	id	48	728	971	ind
buhler	yakza	48	790	909	m
buhler	prapad	48	1199	590	4.P.
buhler	vand	48	1228	576	1.P.
buhler	prajan	48	1429	488	4.P.
buhler	ruc	48	1463	477	1.P.
buhler	lakza	48	1596	432	mn
buhler	ad	48	1789	376	2.Ā.
buhler	Ikz	48	1999	325	4.P.
buhler	nigrah	48	2106	306	9.Ā.
buhler	daMS	48	2307	274	1.Ā.
buhler	kamp	48	2727	220	1.P.
buhler	lag	48	3001	196	1.P.
buhler	ukti	48	3210	177	f
buhler	viram	48	3242	174	1.P.
buhler	zawtriMSat	48	5509	80	f
buhler	ara	48	5559	79	n
buhler	vivad	48	5713	76	1.Ā.
buhler	nah	48	5931	72	1.P.
buhler	Ba	48	8160	42	n
buhler	Ca	48	8940	36	m
buhler	utplu	48	9079	35	1.P.
buhler	vicyu	48	11898	21	1.P.
buhler	Sa	48	12205	20	m
buhler	za	48	12205	20	m
buhler	la	48	15765	12	m
buhler	prativad	48	17217	10	1.Ā.
buhler	qa	48	21838	6	m
buhler	kad	48	23796	5	ind
buhler	ba	48	35949	2	m
buhler	saMyukta	48	35949	2	m
buhler	cam	48	35949	2	m
buhler	ujjan	48	59389		?
knauer	ka	1	34	12187	pron
knauer	atra	1	67	6130	ind
knauer	a	1	112	3970	ind
knauer	pra	1	423	1549	ind
knauer	u	1	477	1417	ind
knauer	gaja	1	482	1401	m
knauer	gaNgA	1	737	959	f
knauer	manu	1	780	917	m
knauer	e	1	954	753	2.P.
knauer	param	1	1098	649	ind
knauer	sarvatra	1	1098	649	ind
knauer	ni	1	1103	642	ind
knauer	vinaya	1	2099	307	m
knauer	k	1	6664	60	m
knauer	anti	1	8823	37	ind
knauer	ra	1	9529	32	m
knauer	am	1	10649	26	m
knauer	y	1	11591	22	m
knauer	ma	1	12205	20	m
knauer	s	1	14114	15	m
knauer	ti	1	16413	11	mn
knauer	n	1	17217	10	m
knauer	p	1	20365	7	m
knauer	d	1	20365	7	m
knauer	hata	1	30141	3	n
knauer	var	1	82084		?
knauer	ca	2	1	155088	ind
knauer	na	2	3	53981	ind
knauer	tatra	2	30	13768	ind
knauer	putra	2	42	10176	m
knauer	jan	2	62	7380	4.P.
knauer	saha	2	71	5936	ind
knauer	iha	2	73	5697	ind
knauer	nara	2	83	5011	m
knauer	ati	2	135	3619	ind
knauer	vas	2	292	2220	2.P.
knauer	i	2	307	2133	5.Ā.
knauer	giri	2	447	1493	m
knauer	vi	2	491	1386	ind
knauer	gir	2	848	859	f
knauer	t	2	2644	229	m
knauer	vasati	2	4256	119	f
knauer	l	2	5660	77	m
knauer	du	2	6142	68	4.P.
knauer	ri	2	7964	44	9.Ā.
knauer	re	2	10027	29	ind
knauer	m	2	11898	21	m
knauer	r	2	12205	20	m
knauer	gur	2	12880	18	6.Ā.
knauer	aSvA	2	13286	17	f
knauer	v	2	18073	9	m
knauer	pa	2	19118	8	m
knauer	tra	2	23796	5	m
knauer	um	2	35949	2	m
knauer	yajati	2	35949	2	m
knauer	janA	2	59389		?
knauer	ir	2	82084		?
knauer	g	2	82084		?
knauer	aya	2	82084		?
knauer	ja	3	116	3924	adj
knauer	strI	3	124	3737	f
knauer	nagara	3	808	897	mn
knauer	sad	3	1178	601	6.P.
knauer	cira	3	1417	493	adj
knauer	mah	3	1614	426	adj
knauer	stotra	3	2576	237	n
knauer	ave	3	4687	103	1.Ā.
knauer	he	3	4716	102	ind
knauer	vaDu	3	26474	4	f
knauer	SriyA	3	47379	1	f
knauer	tizWati	3	82084		?
knauer	patnI	4	768	928	f
knauer	ya	4	7019	55	m
knauer	pu	4	18073	9	m
knauer	at	4	18073	9	1.Ā.
knauer	ena	4	23796	5	adj
knauer	nama	4	35949	2	m
knauer	praj	4	83260		?
knauer	iti	5	7	44379	ind
knauer	sa	5	32	13017	ind
knauer	su	5	37	11408	ind
knauer	nAma	5	102	4227	ind
knauer	dvi	5	120	3788	nr
knauer	da	5	367	1798	adj
knauer	pArTiva	5	399	1628	m
knauer	ga	5	581	1176	adj
knauer	puru	5	1743	388	adj
knauer	no	5	2029	318	ind
knauer	asta	5	2055	313	m
knauer	kzatriyA	5	5613	78	f
knauer	ta	5	8823	37	m
knauer	SizyA	5	13704	16	f
knauer	brahma	5	15149	13	m
knauer	o	5	17217	10	ind
knauer	takzaSilA	5	19118	8	f
knauer	vyan	5	23796	5	2.P.
knauer	jya	5	30141	3	m
knauer	puri	5	35949	2	f
knauer	yata	5	82084		?
knauer	mu	5	82084		?
knauer	eva	6	5	45884	ind
knauer	tva	6	46	9633	n
knauer	tri	6	65	6759	nr
knauer	man	6	108	4122	8.P.
knauer	vasu	6	458	1471	mn
knauer	payas	6	486	1397	n
knauer	nam	6	1208	583	1.Ā.
knauer	pur	6	3466	160	f
knauer	va	6	11317	23	m
knauer	kadApi	6	19118	8	ind
knauer	us	6	21838	6	m
knauer	devA	6	35949	2	f
knauer	urva	6	47379	1	m
knauer	mftA	6	59389		?
knauer	sen	6	82084		?
knauer	dad	6	82084		?
knauer	me	6	82084		?
knauer	as	7	17	24567	2.P.
knauer	gam	7	25	15950	6.Ā.
knauer	mA	7	167	3119	ind
knauer	sam	7	626	1122	ind
knauer	apa	7	1850	359	ind
knauer	mAtA	7	2936	201	f
knauer	yu	7	4753	101	3.Ā.
knauer	suKena	7	8536	39	ind
knauer	tara	7	10649	26	m
knauer	vidu	7	16413	11	4.P.
knauer	kASyA	7	35949	2	f
knauer	yan	7	35949	2	m
knauer	j	7	35949	2	m
knauer	nya	7	59389		?
knauer	gar	7	82084		?
knauer	tad	8	2	151248	pron
knauer	tu	8	10	35004	ind
knauer	yadi	8	88	4703	ind
knauer	ha	8	131	3659	ind
knauer	an	8	753	940	ind
knauer	brAhma	8	1698	400	adj
knauer	aDunA	8	1891	352	ind
knauer	zoqaSa	8	2115	304	adj
knauer	divi	8	19118	8	m
knauer	h	8	21838	6	m
knauer	taya	8	26474	4	m
knauer	ro	8	59389		?
knauer	idam	9	9	36787	pron
knauer	vA	9	22	19249	ind
knauer	yA	9	81	5103	2.Ā.
knauer	yat	9	94	4488	ind
knauer	cit	9	554	1227	ind
knauer	SradDA	9	967	744	f
knauer	nivas	9	1797	375	1.Ā.
knauer	yati	9	2131	301	m
knauer	devakI	9	3390	165	f
knauer	ve	9	8661	38	4.P.
knauer	mi	9	17217	10	5.Ā.
knauer	pum	9	30141	3	m
knauer	Bavati	9	35949	2	m
knauer	rakzitA	9	35949	2	f
knauer	ki	9	35949	2	m
knauer	sti	9	35949	2	m
knauer	ko	9	47379	1	ind
knauer	smin	9	82084		?
knauer	mas	9	82084		?
knauer	im	9	82084		?
knauer	vik	9	83260		?
knauer	pati	10	145	3430	m
knauer	adya	10	156	3268	ind
knauer	ap	10	230	2589	m
knauer	hara	10	327	2018	adj
knauer	citta	10	343	1924	n
knauer	mati	10	515	1326	f
knauer	sahas	10	1002	717	n
knauer	kutra	10	3847	138	ind
knauer	c	10	4022	130	m
knauer	num	10	20365	7	m
knauer	in	10	21838	6	m
knauer	pApA	10	47379	1	f
knauer	tirya	10	47379	1	adj
knauer	SAmyati	10	82084		?
knauer	mahat	11	16	24957	adj
knauer	hi	11	21	19452	ind
knauer	han	11	55	8257	6.P.
knauer	guru	11	84	4857	m
knauer	svayam	11	247	2508	ind
knauer	svarga	11	344	1917	m
knauer	tan	11	1567	440	8.Ā.
knauer	pArvatI	11	2402	259	f
knauer	it	11	4716	102	m
knauer	tam	11	7790	46	4.Ā.
knauer	la	11	15765	12	m
knauer	tisf	11	35949	2	f
knauer	yas	11	35949	2	m
knauer	laka	11	47379	1	n
knauer	yanti	11	47379	1	f
knauer	mAM	11	59389		?
knauer	gAM	11	59389		?
knauer	te	11	82084		?
knauer	yaTA	12	35	11776	ind
knauer	muni	12	96	4416	m
knauer	vana	12	132	3658	n
knauer	soma	12	201	2841	m
knauer	kuru	12	340	1947	m
knauer	yaj	12	353	1887	2.P.
knauer	aho	12	1228	576	ind
knauer	av	12	1313	534	1.P.
knauer	abda	12	1883	353	mn
knauer	ina	12	10449	27	adj
knauer	kta	12	11317	23	m
knauer	ala	12	35949	2	n
knauer	vaya	12	35949	2	m
knauer	kru	12	82084		?
knauer	vetti	12	82084		?
knauer	vin	12	82084		?
knauer	pratik	12	83260		?
knauer	taTA	13	19	22741	ind
knauer	yatra	13	118	3831	ind
knauer	prati	13	321	2063	ind
knauer	ced	13	407	1608	ind
knauer	kzipram	13	824	883	ind
knauer	ayi	13	9223	34	ind
knauer	apeya	13	10649	26	adj
knauer	cari	13	13704	16	f
knauer	rAjendra	13	15149	13	m
knauer	gami	13	19118	8	m
knauer	taM	13	26474	4	ind
knauer	bahir	13	82084		?
knauer	kva	14	783	915	ind
knauer	sya	14	21838	6	m
knauer	vara	15	82	5055	adj
knauer	praBfti	15	860	847	f
knauer	nala	15	2115	304	m
knauer	varay	15	2936	201	10.Ā.
knauer	sA	15	4845	98	6.Ā.
knauer	damana	15	5864	73	m
knauer	ay	15	30141	3	m
knauer	sadA	16	189	2946	ind
knauer	yena	16	1551	447	ind
knauer	ci	16	2191	291	1.Ā.
knauer	pan	16	19118	8	1.P.
knauer	cinti	16	47379	1	m
knauer	may	16	59389		?
knauer	A	17	157	3267	ind
knauer	yam	17	1066	669	6.P.
knauer	tya	17	2398	260	pron
knauer	sasya	17	2901	204	mn
knauer	SASvatam	17	23796	5	ind
knauer	ayati	17	35949	2	m
knauer	mahya	17	47379	1	m
knauer	vapu	17	47379	1	m
knauer	prajA	18	293	2219	f
knauer	ud	18	1427	489	ind
knauer	yavana	18	4753	101	m
knauer	gata	18	7176	53	n
knauer	kartu	18	9699	31	m
knauer	paty	18	11092	24	Denom.Ā.
knauer	patita	18	11092	24	adj
knauer	si	18	15149	13	9.P.
knauer	hati	18	16413	11	f
knauer	yuDi	18	35949	2	m
knauer	jita	18	59389		?
knauer	anu	19	502	1359	ind
