const	name	number	sutra	kind	n_members	members_slp1
SARVADI	sarvAdiH	1	1.1.27	basic	35	sarva|viSva|uBa|uBaya|qatara|qatama|anya|anyatara|itara|tvat|tva|nema|sama|sima|pUrva|para|avara|dakziRa|uttara|apara|aDara|sva|antara|tyad|tad|yad|etad|idam|adas|eka|dvi|yuzmad|asmad|Bavatu|kim
SVARADI	svarAdiH	2	1.1.37	akrti	160	svar|antar|prAtar|punar|sanutar|uccEs|nIcEs|SanEs|fDak|fte|yugapat|ArAt|antikAt|pfTak|hyas|Svas|divA|rAtrO|sAyam|ciram|manAk|Izat|SaSvat|jozam|tUzRIm|bahis|aDas|avas|samayA|nikazA|svayam|mfzA|naktam|naY|hetO|he|hE|idDA|adDA|sAmi|sanA|sanat|sanAt|upaDA|tiras|antarA|antodAttAH|antareRa|mak|jyok|yok|nak|kam|Sam|sanA|sahasA|SradDA|alam|svaDA|vazaw|vinA|nAnA|svasti|anyat|asti|upAMSu|kzamA|vihAyasA|dozA|mfzA|muDA|dizwyA|vfTA|miTyA|purA|miTo|miTas|prAyas|muhus|pravAhukam|pravAhikA|Aryahalam|aBIkzRam|sAyam|sAkam|sArDam|sArTam|satram|samam|namas|hiruk|aTa|am|Am|pratAm|pratAn|praSAn|taTAhi|mA|mAN|Sram|kAmam|prakAmam|BUyas|param|sAkzAt|sAci|sAvi|satyam|maMkzu|saMvat|avaSyam|sapadi|prAdus|Avis|aniSam|nityam|nityadA|sadA|ajasram|santatam|uzA|om|BUr|Buvar|Jawiti|tarasA|suzWu|ku|aYjasA|a|miTu|amiTu|viTak|BAjak|anvak|cirAya|ciram|cirarAtrAya|cirasya|cireRa|cirAt|astam|Anuzak|anuzak|anuzaw|amnas|amBas|amnar|amBar|sTAne|varam|duzWu|balAt|Su|arvAk|Sudi|vadi|ityAdi|nAnAYO
CADI	cAdiH	3	1.4.57	akrti	155	ca|vA|ha|aha|eva|evam|nUnam|SaSvat|yugapat|BUyas|sUpat|kUpat|kuvit|net|cet|caR|kaccit|yatra|tatra|naha|hanta|mAkim|mAkIm|mAkir|nakim|nakIm|nakir|AkIm|mANa|naY|tAvat|yAvat|tvA|tvE|dvE|nvE|rE|re|SrOzaw|vOzaw|svAhA|vazaw|svaDA|om|taTA|taTAhi|Kalu|kila|aTa|suzwu|sma|a|i|u|f|x|u|e|E|o|O|Adaha|uY|ukaY|velAyAm|mAtrAyAm|yaTA|yat|tat|kim|purA|vaDA|vaDvA|Dik|hAhA|hehE|hahe|pAw|pyAw|Aho|utAho|ho|aho|no|nO|aTo|nanu|manye|miTyA|asi|brUhi|tu|nu|iti|iva|vat|vAt|vana|bata|sam|vaSam|Sikam|dikam|sanukaM|CaMvaw|CaMbaw|SaNke|Sukam|Kam|sanAt|sanutar|nahikam|satyam|ftam|adDA|idDA|nocet|nacet|nahi|jAtu|kaTam|kutaH|kutra|ava|anu|hA|he|hE|Ahosvit|Sam|kam|Kam|dizwyA|paSu|naw|saha|Anuzaw|Anuzak|aNga|Paw|tAjak|BAjak|aye|are|vAw|cAwu|kum|Kum|Gum|am|Im|sIm|sim|si|vE
PRADI	prAdiH	4	1.4.58	basic	22	pra|parA|apa|sam|anu|ava|nis|nir|dus|dur|vi|AN|ni|aDi|api|ati|su|ud|aBi|prati|pari|upa
URYADI	UryAdiH	5	1.4.61	basic	39	UrI|urarI|tanTI|tAlI|AttAlI|vetAlI|DUlI|DUsa|SakalA|saMSakalA|DvaMsakalA|BraMsakalA|guluguDA|sajUs|Pala|PalI|viklI|AklI|AlozWI|kevAlI|kevAsI|sevAsI|paryAlI|SevAlI|varzAlI|atyUmaSA|maSmaSA|masmasA|masamasA|Ozaw|SrOzaw|vOzaw|vazaw|svAhA|svaDA|vanDA|prAdus|Srat|Avis
SAKSHATPRABHRTI	sAkzAtpraBftiH	6	1.4.74	akrti	27	sAkzAt|miTyA|cintA|BadrA|rocanA|AsTA|amA|SradDA|prAjaryA|prAjaruhA|bIjaryA|bIjaruhA|saMsaryA|arTe|lavaRam|uzRam|SItam|udakam|Ardram|agnO|vaSe|vihasane|prasahane|pratapane|prAdus|namas|Avis
TISHTHADGUPRABHRTI	tizWadgupraBftiH	7	2.1.17	basic	34	tizWadgu|vahadgu|AyatIgavam|Kaleyavam|Kalebusam|lUnayavam|lUyamAnayavam|pUtayavam|pUyamAnayavam|saMhftayavam|saMhriyamARAyavam|saMhftabusam|saMhriyamARAbusam|samaBUmi|samapadAti|suzamam|vizamam|duHzamam|niHzamam|aparasamam|AyatIsamam|prOQam|pApasamam|puRyasamam|prAhRam|praraTam|praBfgam|pradakziRam|aparadakziRam|saMprati|asaMprati|4|4|128]]
SHAUNDADI	SORqAdiH	8	2.1.40	basic	13	SORqa|DUrta|kitava|vyAqa|pravIRa|saMvIta|antar|aDi|pawu|paRqita|kuSala|capala|nipuRa
PATRESAMITADI	pAtresamitAdiH	9	2.1.48	akrti	33	pAtresamitAH|pAtrebahulAH|udumbaramaSakAH|udarakfmiH|kUpakacCapaH|avawakacCapaH|kUpamaRqUkaH|kumBamaRqUkaH|udapAnamaRqUkaH|nagarakAkaH|nagaravAyasaH|mAtarizuruzaH|piRqISUraH|pitariSUraH|geheSUraH|gehenardI|gehekzveqI|gehevijitI|gehevyAqaH|gehemehI|gehedAhI|gehedfptaH|geheDfzwaH|garBetfptaH|AKanikavakaH|gozWeSUraH|gozWevijitI|gozWekzveqI|gozWepawu|gozWepaRqitaH|gozWepragalBaH|karRewiriwirA|karRecuracurA
VYAGHRADI	vyAGrAdiH	10	2.1.56	akrti	20	vyAGra|siMha|fkza|fzaBa|candana|vfka|vfza|varAha|hastin|taru|kuYjara|ruru|pfzat|puRqarIka|palASa|kitava|muKapadmam|muKakamalam|karakisalayam|pArTivacandraH
SHRENYADI	SreRyAdiH	11	2.1.59	basic	25	SreRi|eka|pUga|mukunda|rASi|nicaya|vizaya|niDana|para|indra|deva|muRqaBUta|SravaRa|vadAnya|aDyApaka|aBirUpaka|brAhmaRa|kzatriya|viSizwa|pawu|paRqita|kuSala|capala|nipuRa|kfpaRa
KRTADI	kftAdiH	12	2.1.59	basic	22	kfta|mita|mata|BUta|ukta|yukta|samAjYAta|samAmnAta|samAKyAta|samBAvita|saMsevita|avaDArita|avakalpita|nirAkfta|upakfta|upAkfta|dfzwa|kalita|dalita|udAhfta|viSruta|udita
SHAKAPARTHIVADI	SAkapArTivAdiH	13	2.1.60	akrti	30	SAkapArTivaH|kutapasOSruta|ajAtOlvali|kftAkfta|BuktaviBukta|pItavipIta|gatapratyAgata|yAtAnuyAta|krayAkrayikA|puwApuwikA|PalAPalikA|mAnonmAnikA|SAkapArTivAdInAmupasaNKyAnam|SramaRAdiH|2.1.70|SramaRA|pravrajitA|kulawA|garBiRI|tApasI|dAsI|banDakI|aDyApaka|aBirUpaka|paRqita|pawu|mfdu|kuSala|capala|nipuRA
MAYURAVYAMSAKADI	mayUravyaMsakAdiH	15	2.1.72	akrti	83	mayUravyaMsaka|CAtravyaMsaka|kambojamuRqa|yavanamuRqa|hastagfhya|pAdegfhya|pAdagfhya|lANgUlegfhya|lANgUlagfhya|punardAya|ehIqam|ehiyavam|apehivARijA|prehivARijA|ehisvAgatA|apohisvAgatA|prehisvAgatA|ehidvitIyA|apehidvitIyA|prehidvitIyA|ehikawA|apohakawA|prohakawA|AharakawA|prohikardamA|prohakardamA|viDamacUqA|udDamacUqA|udDaracUqA|AharacelA|haravasana|AharavanitA|hatavinata|kfntavicakzaRA|udDarotsfjA|udDarAvasfjA|udDamaviDamA|utpacanipacA|utpatanipatA|uccAvacam|uccanIcam|acopacam|AparAcam|Kapracama|niScapracam|akiMcana|snAtvAkAlaka|pItvAsTiraka|BuktvAsuhita|prozyapApIyAn|utpatyapAkalA|nipatyarohiRI|nizaRRASyAmA|aprehipraGasA|prehipraGasA|ihapaYcamI|ihadvitIyA|jahijoqa|jahijoqam|jahistambaH|jjahistambama|aSnItapibatA|pacataBfjjatA|KAdatamodatA|KAdatavamatA|KAdatAcamatA|AharanivapA|AvapanizkirA|utpacacvipacA|BinDilavaRA|kfnDivicakzanA|pacalavaRA|pacaprakUwA|akutoBayaH|kAndiSIkaH|kAndoSIkaH|strAhopuruzikA|ahamahamikA|yadfcCA|ehireyAhirA|unmfjAvamfjA|dravyAntaram|avaSyakAryam
YAJAKADI	yAjakAdiH	16	2.2.9	basic	13	yAjaka|pUjaka|paricAraka|parivezaka|parizecaka|snAtaka|aDyApaka|utsAha|udvartaka|hotf|Batf|raTagaRaka|pattigaRaka
RAJADANTADI	rAjadantAdiH	17	2.2.31	basic	57	rAjadantaH|agrevaRam|liptavAsitam|nagnamuzitam|siktasaMmfzwam|mfzwaluYcitam|avaklinnapakvam|arpitoptam|uptagAQam|ulUKalamusalam|taRqulakiRvam|dfzadupalam|AraqvAyani|AragvAyanabanDakI|citraraTavAhlIkam|AvantyaSmakam|SUdrAryam|snAtakarAjAnO|vizvaksenArjunO|akziBruvam|dAragavam|SabdArTO|DarmArTO|kAmArTO|arTaSabdO|arTaDarmO|arTakAmO|vEkArimatam|gAjavAjam|gopAlaDAnapUlAsam|gopAlaDAnIpUlAsam|pUlAsakAraRqam|pUlAsakakuraRqam|sTUlAsama|sTUlapUlAsam|uSIrabIjam|jijYAsTi|siYjAsTam|siYjASvatTam|citrAsvAtI|citrasvAtI|BAryApatI|daMpatI|jaMpatI|jAyApatI|putrapatI|putrapaSU|keSaraSmaSrU|Sirobiju|SirobIjama|SirojAnu|sarpirmaDuna|maDusarpizI|AdyantO|antAdI|guRavfdDI|vfdDiguRO
AHITAGNYADI	AhitAgnyAdiH	18	2.2.37	akrti	13	AhitAgniH|jAtapUtraH|jAtadanta|jAtaSamaSru|tElapIta|GftapIta|dyapI|UQaBArya|gatArTa|gaqukaRWa|asyudyata|aramudyata|daRqapARi
KADARADI	kaqArAdiH	19	2.2.38	basic	19	kaqAra|guqula|KaYja|Koqa|kARa|kuRWa|Kalati|gOra|vfdDa|Bikzuka|piNgula|piNgala|taqa|tanu|Wa|baDira|maWara|kaYja|barbara
NAVADI	nAvAdiH	20	2.3.17	basic	16	nO|kAka|anna|Suka|SfgAla|nOkAkAnnaSukaSfgAlavarjezu|prakftyAdiH|2.3.18|prakfti|prAya|gotra|sama|vizama|dvidroRa|paYcaka|sAhasra
PRATYADI	pratyAdiH	22	2.3.43	basic	35	prati|pari|anu|apratyAdiBiriti vaktavyam|gavASvAdiH|2.4.11|gavASvam|gavAvikam|gavEqakam|ajAvikam|ajEqakam|kubjavAmanam|kubjakirAtam|putrapOtram|SvacaRqAlam|strIkumAram|dAsImARavakam|SAwIpawIram|SAwIpacCakam|SAwIpawwIkam|uzwraKaram|uzwraSaSam|mUtraSakft|mUtrapurIzam|yakfnmedaH|mAMsaSoRitam|darBaSaram|darBapUtIkam|arjunaSirIzam|arjunapuruzam|tfRopalam|tfRolapama|dAsIdAsam|kuwIkuwam|BAgavatIBAgavatam
DADHIPAYASYADI	daDipayasyAdiH	24	2.4.14	basic	19	daDipayasI|sarpirmaDunI|maDusapizI|brahmaprajApatI|SivavESravaRO|skandaviSAKO|parivrAjakakOSikO|pravargyopasadO|SuklakfzRO|iDmAbarhizI|dIkzAtapasI|SradDAtapasI|meDAtapasI|aDyayanatapasI|ulUKalamusale|AdyAvasAne|SradDAmeDe|fksAme|vANmanase
ARDHARCADI	arDarcAdiH	25	2.4.31	basic	241	arDarca|gomaya|kazAya|kArzApaRa|kutapa|kusapa|kuRapa|kapAwa|SaNKa|gUTa|yUTa|Dvaja|kabanDa|padma|gfha|saraka|kaMsa|divasa|yUza|anDakAra|daRqa|kamaRqalu|manqa|BUta|dvIpa|dyUta|cakra|Darma|karman|modaka|SatamAna|yAna|naKa|naKara|caraRa|pucCa|dAqima|hima|rajata|saktu|piDAna|sAra|pAtra|Gfta|sEnDava|OzaDa|AQaka|cazaka|droRa|KalIna|pAtrIva|zazwika|vArabARa|vAravAraRa|proTa|kapitTa|Suzka|SAla|SIla|Sukla|Sulka|SIDu|kavaca|reRu|fRa|kapawa|SIkara|musala|suvarRa|varRa|pUrva|camasa|kzIra|karza|AkASa|azwApada|maNgala|niDana|niryAsa|jfmBa|vftta|pusta|busta|kzveqita|SfNga|nigaqa|Kala|mUlaka|maDu|mUla|sTUla|SarAva|nAla|vapra|vimAna|muKa|pragrIva|SUla|vajra|kawaka|kaRwaka|karpawa|SiKara|kalka|valkala|nawamastaka|nAwamastaka|valaya|kusuma|tfRa|paNka|kuRqala|kirIwa|kumuda|arbuda|aNkuSa|timira|ASraya|BUzaRa|ikkasa|izvAsa|mukula|vasanta|tawAka|taqAga|piwaka|viwaNka|viqaNga|piRyAka|mAza|koSa|Palaka|dina|dEvata|pinAka|samara|sTARu|anIka|upavAsa|SAka|karpAsa|viSAla|cazAla|caKAla|KaRqa|dara|viwapa|raRa|bala|maka|mfRAla|hasta|Ardra|hala|sUtra|tARqava|gARqIva|maRqapa|pawaha|sODa|yoDa|pArSva|SarIra|Pala|Cala|pura|purA|rAzwra|ambara|bimba|kuwwima|maRqala|kukkuwa|kuqapa|kakuda|KaRqala|tomara|toraRa|maYcaka|puNKa|maDya|bAla|CAla|valmIka|varza|vastra|vasu|deha|udyAna|udyoga|sneha|stena|Kana|svara|saNgama|nizka|kzema|SUka|kzatrapavitra|yOvana|kalaha|mAlaka|pAlaka|mUzika|maRqala|valkala|kuja|kuYja|vihAra|lohita|vizARa|Bavana|araRya|pulina|dfQa|Asana|ErAvata|SUrpa|tIrTa|lomana|lomaSa|tamAla|loha|daRqaka|SapaTa|pratisara|dAru|Danus|mAna|varcaska|kUrca|taRqaka|maWa|sahasra|odana|pravAla|Sakawa|aparAhRa|nIqa|Sakala|taRqula
PAILADI	pElAdiH	26	2.4.59	akrti	22	pEla|SAlaNki|sAtyaki|sAtyakAmi|rAhavi|rAvaRi|OdaYco|Odavraji|OdameGi|Odavyajri|Odamajji|Odamfjji|dEvasTAni|pENgalOdAyani|rAhakzati|BOliNgi|Odanyi|OdgAhamAni|OjjihAni|OdaSudDi|tadrAjAccARaH|tadrAja
TAULVALYADI	tOlvalyAdiH	27	2.4.61	basic	36	tOlvali|DAraRi|pAraRi|rAvaRi|dElIpi|dEvati|vArkali|nEvati|nEvaki|dEvamitri|dEvamati|dEvayajYi|cAPawwaki|bElvaki|vEki|vENki|AnuhArati|AnurAhati|pOzkarasAdi|Anurohati|Anuti|prAdohani|nEmiSri|prAqAhati|bAnDaki|vESIti|AsinAsi|AMhisi|AsurI|nEmizi|AsibanDaki|pOzpi|kAreRupAli|vEkarRi|vEraki|vEhati
YASKADI	yaskAdiH	28	2.4.63	basic	39	yaska|lahya|duhya|ayasTURa|ayaHsTURa|tfRakar|sadAmatta|kambalahAra|bahiryoga|parRAQaka|karRAQaka|piRqIjaNGa|bakasakTa|vakasakTa|voSri|kudri|ajavasti|mitrayu|rakzomuKa|jaNGAraTa|utkAsa|kawukamaTaka|manTaka|puzkaraw|puzkarasad|vizapuwa|uparimeKala|krozwukamAna|krozwumAna|krozwupAda|krozwumAya|SIrzamAya|Karapa|padaka|varzuka|Balandana|Baqila|BaRqila|Baqita
GOPAVANADI	gopavanAdiH	29	2.4.67	basic	12	gOpavana|Seyu|Sipru|bindu|BAjana|aSvAvatAna|SyAmAka|SyonAka|SyAmaka|SyAparRa|1|104]])
TIKAKITAVADI	tikakitavAdiH	30	2.4.68	basic	11	tikakitavAH|vaNKaraBaRqIraTAH|upakalamakAH|paPakanarakAH|bakanaKagudapariRadDAH|ubjakakuBAH|laNkaSAntamuKAH|uttaraSalaNkawAH|kfzRAjinakfzRasundarAH|BrazwakakapizWalAH|agniveSadaSerukAH
UPAKADI	upakAdiH	31	2.4.69	basic	51	upakalamaka|BrAzwraka|kapizWala|kfzRAjina|kfzRasundara|cUqAraka|AqAraka|gaquka|udaNka|suDAyuka|avanDaka|piNgalaka|pizwaka|supizwa|supizWa|mayUrakarRa|KArIjaNGa|SalATala|pataYjala|padaYjala|kaWeraRi|kuzItaka|kASakftsna|kASakftsna|nidAGa|kalaSIkaRWa|dAmakaR|kfzRapiNgala|karRa|parRaka|jawiraka|baDiraka|jantuka|anuloma|anupada|pratiloma|apajagDa|pratA|anaBihita|kamaka|karAwaka|leKAmra|kamandaka|piYjalaka|karRaka|mayUrakarRa|nadAGa|kavantaka|kamantaka|kadAmata|dAmakaRWa
BHRSHADI	BfSAdiH	32	3.1.12	basic	25	BfSa|SIGra|capala|manda|paRqita|utsuka|sumanas|durmanas|aBimanas|unmanas|rahas|rohat|rehat|saMScat|tfpat|SaSvat|Bramat|vehat|Sucis|Sucivarcas|aRqara|varcas|ojas|surajas|arajas
LOHITADI	lohitAdiH	33	3.1.13	akrti	8	lohita|carita|nIla|Pena|madra|hari|dAsa|man
SUKHADI	suKAdiH	34	3.1.18	basic	11	suKa|duHKa|tfpta|kfcCra|asra|Asra|aloka|pratIpa|karuRa|kfpaRa|so
KANDVADI	kaRqvAdiH	35	3.1.27	akrti	60	kaRqUY|mantu|hfRIN|valgu|asu|nasa|mahIN|low|lew|iras|iraj|iraY|uvas|uzas|vew|meDA|kuzuBa|namas|magaDa|tantas|pampas|papas|suKa|duHKa|Bikza|caraRa|carama|avara|sapara|arara|arar|Bizaj|BizRuj|apara|Ara|izuDa|varaRa|curaRa|curaRa|BuraRa|gadgada|elA|kelA|KelA|velA|SelA|liw|lAw|leKA|leKa|reKA|dravas|tiras|agada|uras|taraRa|tariRa|payas|saMBUyas|sambara
NANDYADI	nandyAdiH	36	3.1.134	basic	25	nandanaH|vASanaH|madanaH|dUzaRaH|sADanaH|varDanaH|SoBanaH|rocanaH|sahanaH|tapanaH|damanaH|jalpanaH|ramaRaH|darpaRaH|saNkrandanaH|saNkarzaRaH|saMharzaRaH|janArdanaH|yavanaH|maDusUdanaH|viBIzaRaH|lavaRaH|cittavinASanaH|kuladamanaH|SatrudamanaH
GRAHYADI	grahyAdiH	37	3.1.134	basic	26	grAhI|utsAhI|uddAso|udBAsI|sTAyI|mantrI|saMmardI|nirakzI|niSrAvI|nivApO|niSAyI|ayAcI|avyAhArI|asaMvyAhArI|avrAjI|avAdI|avAsI|akArI|ahArI|avinAyI|viSAyI|vizAyI|aparADI|uparoDI|pariBavI|pariBAvI
PACADI	pacAdiH	38	3.1.134	akrti	36	paca|vaca|vapa|vada|cala|pata|nadaw|Bazaw|plavaw|caraw|garaw|taraw|coraw|gAhaw|saraw|devaw|dozaw|jara|raja|mara|mada|kzama|kzapa|seva|meza|kopa|koza|meDA|narta|vraRa|darSa|sarpa|damBa|darpa|jAraBara|Svapaca
MULAVIBHUJADI	mUlaviBujAdiH	39	3.2.5	akrti	27	mUlaviBuja|naKamuca|kAkaguha|kumuda|mahIDra|kuDra|giGra|kaprakaraRe mUlaviBujAdiBya upasaMKyAnam|pArSvAdiH|3.2.15|pArSva|udara|pfzWa|uttAna|avamUrDana|pArSvAdizUpasaNKyAnam|gamyAdiH|3.3.3|gamI|AgamI|BAvI|prasTAyI|pratiroDI|pratiyoDI|pratiboDI|pratiyAyI|pratiyogI
BHIDADI	BidAdiH	42	3.3.104	basic	14	vidA|kzipA|SradDA|meDA|goDA|hArA|kziyA|reKA|cUqA|pIqA|vapA|vasA|sfjA|kfpA
SAMPADADI	saMpadAdiH	43	3.3.108	basic	26	saMpad|vipad|Apad|pratipad|parizad|saMpadAdiByaH kvip|BImAdiH|3.4.74|BIma|BIzma|BayAnaka|vahacara|vahacaru|praskandana|pratapana|prapatana|samudra|sruva|sruk|vfzwI|vfzwI|rakzaH|saMkasuka|SaNkusuka|mUrKa|Kalati
AJADI	ajAdiH	45	4.1.4	basic	23	ajA|eqakA|kokilA|cawakA|aSvA|mUzikA|bAlA|hoqA|pAkA|vatsA|mandA|vilAtA|pUrvApihARA|pUrvApahARA|aparApahARA|kruYcA|uzRihA|devaviSA|jyezWA|kanizWA|maDyamA|puMyoge'pi|daMzwrA
SVASRADI	svasrAdiH	46	4.1.10	basic	7	svasf|duhitf|nanAndf|yAtf|mAtf|tisf|catasf
SAMANADI	samAnAdiH	47	4.1.35	basic	9	samAna|eka|vIra|piRqa|Sva|SirI|BrAtf|Badra|putra
GAURADI	gOrAdiH	48	4.1.41	basic	147	gOra|matsya|manuzya|SfNga|piNgala|haya|gavaya|mukaya|fzya|puwa|dURa|druRa|droRa|hariRa|kokaRa|kAkaRa|pawara|uRaka|Amala|Amalaka|kubala|bimba|badara|Parkaraka|karkaraka|tarkAra|SarkAra|puzkara|SiKaRqa|sala|SazkaRqa|sananda|suzama|suzava|alinda|gaqu|zARqaSa|AQaka|Ananda|ASvatTa|sfpAwa|AKaka|Apaccika|Sazkula|sUrya|sUrma|SUrpa|sUpa|vfsa|atasa|Ba|BfNga|maha|maWa|Ceda|peSa|meda|Svan|takzan|anaquhI|anaqvAhI|deha|dehala|kAkAdana|gavAdana|tejana|rajana|lavaRa|OdgAhamAni|AdgAhamAni|gOtama|gotama|pAraka|AyasTURa|ayaHsTURa|BOrika|BOliki|BOliNgi|yAna|meGa|Alambi|Alaji|AlabDi|Alakzi|kevAla|Apaka|Arawa|nawa|wowa|nowa|mUlAwa|SAtana|potana|pAtana|pAWana|pAnaWa|AstaraRa|aDikaraRa|aDikAra|AgrahAyaRI|AgrahAyaRI|pratyavarohiRI|secana|aRqara|sundara|maRqala|manTara|maNgala|pawa|piRwa|zaRqa|urda|garda|Sama|sUd|Oqa|Ardra|hfda|hrada|pARqa|BARqala|BARqa|lohARqa|kadara|kandara|kadala|taruRa|taluna|kalmAza|bfhat|mahat|soma|sODarma|vikala|nizPala|puzkala|pippalI|haritakI|harItakI|koSAtakI|SamI|varI|SarI|pfTivI|krozwu|mAtAmaha|pitAmaha
BAHVADI	bahvAdiH	49	4.1.45	akrti	41	bahu|padDati|aYcati|aNkati|aMhata|Sakawi|Sakati|SaktiH|Sastre|SAri|vAri|rAti|rADi|SADi|ahi|kapi|yazwi|muni|caRqa|arAla|kfpARa|kamala|vikawa|viSAla|viSaNkawa|Baruja|Dvaja|candraBAgAnadyAm|kalyARa|udAra|purARa|ahan|koqa|naKa|SiKA|bAla|SaPa|guda|Baga|gala|rAga
KRODADI	kroqAdiH	50	4.1.56	akrti	11	kroqA|KurA|UKA|bAlA|SaPA|gudA|GoRA|naKA|muKA|suBagA|sugalA
SHARNGARAVADI	SArNgaravAdiH	51	4.1.73	basic	25	SArNgarava|kApawava|gOggulava|brAhmaRa|bEda|gOta|kAmaRqaleya|brAhamakfteya|nice|AniDe|ASokeya|vAtsyAyana|mOYjAyana|kEkasa|kApya|kAvya|SEvya|ehi|paryehi|ASmaraTya|OdapAna|arAla|caRqAla|vataRqa|3
KRAUDYADI	krOqyAdiH	52	4.1.80	basic	22	kOqi|lAqi|vyAqi|ApiSali|Apakziti|cOpayata|cEwayata|vEwayata|sEkayata|bElvayata|sODAtaki|sUtayuvatyAm|Boja|kzatriye|yOtaki|kOwi|BOriki|BOliki|lmala|SAlAsTali|kApizWali|gOkakzya
ASHVAPATYADI	aSvapatyAdiH	53	4.1.84	basic	18	aSvapati|jYAnapati|Satapati|Danapati|gaRapati|sTAnapati|yajYapata|rAzwrapati|kulapati|gfhapati|Supata|DAnyapati|Danvapati|nDupati|Darmapata|saBApati|prARapati|kzetrapati
UTSADI	utsAdiH	54	4.1.86	basic	34	utsa|udapAna|vikara|vinada|mahAnada|mahAnasa|mahAprARa|taruRa|taluna|pfTivI|Denu|paNkti|jagatI|trizwup|anuzwup|janapada|Barata|uSInara|grIzma|pIlukuRa|pfzadaMSa|BallakIya|raTaMtara|maDyaMdina|bfhat|mahat|sattvat|kuru|paYcAla|indrAvasAna|uzRih|kakuB|suvarRa|deva
BAAHVADI	bAhvAdiH	55	4.1.96	akrti	57	bAhu|upabAhu|upavAku|nivAku|SivAku|vawAku|upanindu|pabinda|vfzalI|vfkalA|cUqA|balAkA|mUzikA|kuSalA|BagalA|CagalA|GruvakA|DuvakA|sumitrA|durmitrA|puzkarasad|anuharat|devaSarman|agniSarman|draSarmana|suSarman|kunAman|sunAman|paYcan|saptan|azwan|amitOjasaH|salopaSca|suDAvat|udaYcu|Siras|mAza|SarAvin|kzemavfdDin|SfNKalatodin|KaranAdin|nagaramardin|prAkAramardin|loman|ajIgarta|kfzRa|yuDizWira|arjuna|sAmba|gada|pradyumna|rAma|udaNka|sAttvakiH|jANGiH|EndaSarmiH|AjaDenaviH
KUNJADI	kuYjAdiH	56	4.1.98	basic	13	kuYja|braDna|SaNKa|Basman|gaRa|lomana|SaWa|SAka|SuRqA|SuBa|vipASa|skanda|skamBa
NADADI	naqAdiH	57	4.1.99	basic	73	naqa|cara|vara|baka|muYja|itika|itiSa|upaka|eka|lamaka|saptala|vAjapya|tika|prARa|nara|sAyaka|dAsa|mitra|dvIpa|piNgara|piNgala|kiNkara|kiNkala|kAtara|kAtala|kASyapa|kuSyapa|kASya|kAlya|kAvya|aja|amuzya|amuzma|amitra|ligu|citra|kumAra|loha|durga|stamBa|SiMSapA|agra|tfRa|Sakawa|sumanas|sumata|mimata|fc|jalaMDara|aDvara|yugaMDara|haMsaka|daRqin|hastin|iR|paYcAla|camasin|sukftya|sTiraka|brAhmaRa|cawaka|badara|aSvala|Karapa|laNka|inDa|astra|kAmuka|vrahmadatta|udumbara|SoRa|aloha|daRqapa
