const	name	number	sutra	kind	n_members	members_slp1
BIDADI	bidAdiH	58	4.1.104	basic	53	bida|urva|kaSyapa|kuSika|BaradvAja|upamanyu|kilAta|kandarpa|kidarBa|viSvAnara|fzizeRa|fzwizeRa|ftaBAga|haryaSva|priyaka|Apastamba|kUcavAra|Saradvat|Sunaka|Sunak|Denu|gopavana|Sigru|bindu|oga|BAjana|Samika|aSvAvatAna|SyAmAka|SyAmaka|SyAvali|SyAparRa|harita|kidAsa|vahyaska|arkalUza|vaDyoga|vizRuvfdDa|pratiboDa|racita|raTantara|gavizWira|nizAda|Sabra|alasa|maWara|mfqAku|sfpAku|mfda|punarBU|putra|duhitf|nanAndf
GARGADI	gargAdiH	59	4.1.105	basic	104	garga|vatsa|vAjAse|saMkfti|aja|vyAGrapAt|vidaBft|prAcInayoga|agasti|pulasti|reBa|agniveSa|SaNKa|Sawa|Saka|eka|GUma|avawa|manas|DanaMjaya|viSvAvasu|jaramARa|lohita|SaMsita|baBru|valgu|maRqu|SaNku|ligu|guhalu|mantu|maNkzu|aligu|jigIzu|manu|tantu|manAyIsUnu|kaTaka|kanTaka|fkza|tfkza|vfkza|tanu|tarukza|talukza|taRqa|vataRqa|kapikata|kapi|kata|kurukata|anaquh|kaRva|Sakala|gokakza|agastya|kaRqinI|yajYavalka|parRavalka|aBayajAta|virohita|vfzagaRa|rahUgaRa|SaRqila|varRaka|caRaka|culuka|mudgala|musala|jamadagni|parASara|jatUkarRa|jAtUkarRa|mahita|mantrita|aSmaraTa|SarkarAkza|pUtimAza|sTUrA|adaraka|araraka|elAka|piNgala|kfzRa|golanda|ulUka|titikza|Bizaja|Bizaj|BizRaja|Baqita|BaRqita|dalBa|cekita|cikitsita|devahU|indrahU|ekalu|pippalu|bfhadagni|sulohina|sulABin|ukTa|kuwIgu
ASHVADI	aSvAdiH	60	4.1.110	basic	75	aSva|aSman|SaNKa|SUdaka|vida|puwa|rohiRa|KarjUra|KajUra|YjAra|vas|pijUra|Baqila|BaRqila|Baqita|BaRqita|prakfta|rAmoda|kzAnta|kASa|tIkzRa|golANka|arka|svara|sPuwa|cakra|Sraviz|pavinda|pavitra|gomin|SyAma|DUma|DUmra|vAgmin|viSvAnara|kuwa|Sapa|atreye|jana|jaqa|Kaqa|grIzma|arha|kita|viMSapa|viSAla|giri|capala|cupa|dAsaka|vElya|bElva|prAcya|Darmya|Anaquhya|arjuna|prahfta|sumanas|durmanas|mana|manana|prAnta|Dvana|Atreya|BaradvAje|BaradvAja|Atreye|itsa|Atava|kitava|vada|Danya|pAda|Siva|Kadira
SHIVADI	SivAdiH	61	4.1.112	akrti	77	Siva|prozWa|prozWika|caRqa|jamBa|BUri|daRqa|kuWAra|kakuB|kakuBA|anaBimlAna|kohita|suKa|saMDi|muni|kakutsTa|kahoqa|kohaqa|kahUya|kahaya|roda|kapiYjala|kupiYjala|KaYjana|vataRqa|tfRakarRa|kzIrahrada|jalahrada|parila|paTika|pizwa|hEhaya|Arzika|gopikA|kapilikA|jawilikA|aleKana|viSravaRa|ravaRa|vartanAkza|grIvAkza|piwaka|viwapa|piwAka|tfkzAka|naBaka|UrRanABa|caratkAru|pfTA|utkzepa|purohitikA|surohitikA|surohikA|AryaSveta|aryaSveta|supizwa|masurakarRa|mayUrakarRa|rjUrakar|kadUraka|takzan|fzwizeRa|gaNgA|vipASa|maska|lahya|druhya|ayasTURa|tfRakarRa|tfRa|karRa|parRa|Balandana|virUpAkza|BUmi|ilA|sapatnI
SHUBHRADI	SuBrAdiH	62	4.1.123	akrti	84	SuBra|vizwa|pura|vizwapura|brahmakfta|SatadvAra|SalATala|SalAkABrU|leKABrU|leKAmra|vikasA|vikAsa|rohiRI|rukmiRI|DarmiRI|diS|SAlUka|ajabasti|SakaMDi|vimAtf|viDavA|Suka|viSa|devatara|Sakuni|Suka|amra|jYAtala|Satala|banDakI|sfkaRqu|visri|atiTi|godanta|kuSAmba|makuRqa|SAtAhara|pavazwurika|sunAman|lakzmaRaSyAmayorvAsizWe|goDA|kfkalAsa|aRIva|pravAhaRa|Barata|BArata|Barama|mukaRqa|karpUra|itara|anyatara|AliQa|sudanta|sucakza|sucakzas|sudAmana|kadru|tuda|akaSAya|kumArIkA|kuWArikA|kiSorikA|ambikA|jihmASin|pariDi|vAyudatta|Sakala|SalAkA|KaqUra|kuberikA|aSokA|ganDapiNgalA|KaqonmattA|anudfzwin|anudfzwi|jaratin|balIvardin|vipra|vIja|jIva|Svana|aSman|aSva|ajira
KALYANYADI	kalyARyAdiH	63	4.1.126	basic	12	kalyARI|suBagA|durBagA|banDakI|anudfzwi|anusfzwi|jaratI|balIvardI|jyezWA|kanizWA|maDyamA|parastrI
GRSHTYADI	gfzwyAdiH	64	4.1.136	basic	8	gfzwi|hfzwi|bali|hali|viSri|kudri|ajabasti|mitrayu
REVATYADI	revatyAdiH	65	4.1.146	basic	12	revatI|aSvapAlI|maRipAlI|dvArapAlI|vfkavaYcin|vfkabanDu|vfkagrAha|karRagrAha|daRqagrAha|kukkuwAkza|kakudAkza|cAmaragrAha
KURVADI	kurvAdiH	66	4.1.151	basic	48	kuru|gargara|maNguza|ajamAra|raTakAra|vAvadUka|samrAjaH|kzatriye|kavi|mati|vimati|kApiYjalAdi|vAk|vAmaraTa|pitfmat|indrajAlA|eji|vAtaki|dAmozRIzi|gaRakAri|kESori|kuwa|SAlAkA|SalAkA|mura|pura|erakA|SuBra|aBra|darBa|keSinI|SUrpaRAya|SyAvanAya|SyAvaraTa|SyAvaputra|satyaNkAra|vaqaBIkAra|paTikAra|mU|SakanDu|SaNku|SAka|SAlin|kartf|hartf|ina|piRqI|takzan
TIKADI	tikAdiH	67	4.1.154	basic	40	tika|kitava|saMjYA|bAlA|SiKA|uras|SAWya|sEnDava|yamunda|rUpya|grAmya|nIla|amitra|gokakzya|gOkakzya|kuru|devaraTa|tEtila|Orasa|kOravya|BEriki|BOliki|cOpayata|cEtayata|cEwayata|SEkayata|kzEtayata|vAjavata|candramas|SuBa|gaNgA|vareRya|supAman|ArabDa|vAhyaka|svalpaka|vfza|lomaka|udranya|yajYa
VAKINADI	vAkinAdiH	68	4.1.158	basic	5	vAkina|gADera|kArkaSa|kAka|laMkA
KAMBOJADI	kambojAdiH	69	4.1.175	basic	5	kamboja|cola|kerala|Saka|yavana
BHARGADI	BargAdiH	70	4.1.178	basic	8	Barga|karUza|kekaya|kaSmIra|sAlva|susTAla|uras|kOravya
YAUDHEYADI	yODeyAdiH	71	4.1.178	basic	9	yODeya|SOkreya|SOBreya|jyAvAReya|DOrteya|DArteya|trigarta|Barata|uSInara
BHIKSHADI	BikzAdiH	72	4.2.38	basic	16	BikzAgarBiRI|kzetra|karIza|aNkAra|aNgAra|carmin|Darmin|sahasra|yuvati|padAti|padDati|aTarvan|dakziRA|BUta|vizaya|Srotra
KHANDIKADI	KaRqikAdiH	73	4.2.45	basic	11	KaRqikA|vaqavA|Bikzuka|Suka|ulUka|Svan|ahan|yugavaratrA|yugavaratra|halabanDA|halabanDa
PASHADI	pASAdiH	74	4.2.49	basic	14	pASa|tfRa|DUma|vAta|aNgAra|pAwala|pota|gala|piwaka|piwAka|Sakawa|hala|nawa|vana
KHALADI	KalAdiH	75	4.2.51	akrti	31	Kala|qAka|kuwumba|SAka|kuRqalinI|KalAdiBya inirvaktavyaH|rAjanyAdiH|4.2.53|rAjanya|Anfta|bABravya|SAlaNkAyana|dEvayAtava|dEvayAta|vrIqa|varatra|jAlaMDarAyaRa|rAjAyana|telu|AtmakAmeya|ambarIzaputra|vasAti|bElvavana|SElUza|udumbara|tIvra|bElvala|ArjunAyana|saMpriya|dakzi|UrRanABa
BHAURIKYADI	BOrikyAdiH	77	4.2.54	basic	11	BOriki|vEpeya|BOliki|cEpayata|cEwayata|kAReya|vARijaka|vARikAjya|vAlikAjya|sEkayata|vEkayata
AISHUKARYADI	EzukAryAdiH	78	4.2.54	basic	31	EzukAri|sArasyAyana|sArasAyana|cAndrAyaRa|dvyAkzAyaRa|tryAkzAyaRa|OqAyana|jOlAyana|KAqAyana|dAsamitri|dAsamitrAyaRa|SOdrAyaRa|dAkzAyaRa|SayaRqAyana|SAyaRqAyana|tArkzyAyaRa|SOBrAyaRa|sOvIra|sOvIrAyaRa|SapaRqa|SayaRqa|SORqa|SayARqi|SayARqa|vESvamAnava|vESvaDyenava|vESvaDenava|naqa|tuRqadeva|viSvadeva|sApiRqi
UKTHADI	ukTAdiH	79	4.2.60	basic	28	ukTa|lokAyata|nyAsa|nyAya|punarukta|nirukta|nimitta|dvipadA|jyotiza|anupada|anukalpa|yajYa|Darma|carcA|ametara|Slakza|SlakzRa|saMhitA|padakrama|saGawa|saMGawwa|vftti|parizad|saMgraha|gaRa|guRa|Ayurdeva|Ayurveda
KRAMADI	kramAdiH	80	4.2.61	basic	5	krama|pada|SikzA|mImAMsA|sAman
VASANTADI	vasantAdiH	81	4.2.63	basic	13	vasanta|pIzma|varzA|Sarad|Sarat|hemanta|SiSira|praTama|guRa|carama|anuguRa|aTarvan|ATarvaR
SANKALADI	saNkalAdiH	82	4.2.75	basic	39	saMkala|puzkala|uttama|uqupa|udvepa|utpuwa|kumBa|viDAna|sudakza|sudatta|suBUta|sunetra|sumaNgala|supiNgala|sUta|sikata|pUtIkA|pUtika|pUlAsa|kUlAsa|palASa|niveSa|gaveSa|gamBIra|itara|An|ahan|loman|veman|caraRa|varuRa|bahula|sadyoja|aBizikta|goBft|rAjaBft|Balla|malla|mAla
SUVASTVADI	suvAstvAdiH	83	4.2.77	basic	16	suvAstu|suvastu|varRu|BaRqu|KaRqu|sevAnin|karpUrin|SiKaRqin|garta|karkaSa|SakawIkarRa|kfzRakarRa|karka|karkanDumatI|goha|ahisakTa
ARIHANADI	arIhaRAdiH	84	4.2.80	basic	53	arIhaRa|ahIraRa|druGaRa|druhaRa|Balaga|Bagala|ulanda|kiraRa|sAmparAyaRa|krOzwrAyana|krOzwrAyaRa|OzwrAyaRa|trEgartAyana|mEtrAyaRa|BAstrAyaRa|vEmatAyaRa|vEmatAyana|gOmatAyana|sOmatAyana|sOsAyana|DOmatAyana|sOmAyana|EndrAyaRa|kOdrAyaRa|kOndrAyaRa|KAqAyana|SARqilyAyana|rAyaspoza|vipaTa|vipASa|uddaRqa|udaYcana|KARqavIraRa|vIraRa|kASakftsna|kaSakftsna|jAmbavat|SiMSapA|rEvata|revata|bilva|suyujYa|SirIza|baDira|jambu|suSarman|saSarman|halatf|Balandana|KaRqu|kalana|kanala|yajYadatta
KRSHASHVADI	kfSASvAdiH	85	4.2.80	basic	33	kfSASva|arizwa|ArISma|veSman|viSAla|lomaSa|romaSa|lomaka|romaka|Sabala|kUwa|varcala|suvarcala|sukara|sUkara|prAtara|pratara|sadfSa|puraga|purAga|suKa|DUma|ajina|vinatA|avanata|vikuGAsa|kuviwyAsa|parASara|arus|ayas|mOdralyAkara|mOdgalya|yukara
RSHYADI	fSyAdiH	86	4.2.80	basic	34	fSya|fzya|nyagroDa|Sara|nilIna|nivAsa|nivAta|niDAna|nibadDana|nibanDa|vibadDa|parigUQa|upagUQa|asanI|sita|mat|veSman|uttarASman|aSman|sTUla|bAhu|Kadira|SarkarA|anaquha|anaquh|araqu|parivaMSa|veRu|vIraRa|KaRqa|daRqa|parivftta|kardama|aMSu
KUMUDADI	kumudAdiH	87	4.2.80	basic	21	kumuda|SarkarA|nyagroDa|itkawa|saMkawa|kaMkawa|garta|bIja|parivApa|niryAsa|Sakawa|kaca|maDu|SirIza|aSva|aSvatTa|balvaja|yavAsa|kUpa|vikaNkata|daSagrAma
KASHADI	kASAdiH	88	4.2.80	basic	22	kASa|pASa|aSvatTa|palASa|pIyUkza|varaRa|vAsa|naqa|vana|kardama|kacCUla|vaNkawa|gfha|bisa|tfRa|karpUra|barbara|maDura|graha|kapitTa|jatu|sIpAla
TRNADI	tfRAdiH	89	4.2.80	basic	16	tfRa|naqa|mUla|vana|parRa|varRa|varARa|bila|pula|Pala|arjuna|arRa|suvarRa|bala|caraRa|busa
PREKSHADI	prekzAdiH	90	4.2.80	basic	22	prekzA|PalakA|halakA|banDukA|DruvakA|kzipakA|nyagroDa|ikkawa|kaNkaka|saMkawa|kawa|kUpa|buka|puka|puwa|maha|parivApa|yavAza|DruvakA|garta|kUpaka|hiraRya
ASHMADI	aSmAdiH	91	4.2.80	basic	21	aSman|yUTa|Uza|mIna|mada|darBa|vfnda|guda|KaRqa|naga|SiKA|kowa|pAma|kanda|kAnda|kula|gahva|guqa|kuRqala|pIna|guha
SAKHYADI	saKyAdiH	92	4.2.80	basic	29	saKi|agnidatta|vAyudatta|saKidatta|gopila|BallapAla|Balla|pAla|cakta|cakravAka|Cagala|aSoka|karavIra|vAsava|vIra|pUra|vajra|kuSIraka|SIhara|sIhara|saraka|sarasa|saMmara|samala|surasa|roha|tamAla|kadala|saptala
SANKASHADI	saNkASAdiH	93	4.2.80	basic	39	saMkASa|kapila|kaSmIra|samIra|surasena|saraka|sUra|yUpa|yUTa|aMSa|aNka|nAsA|palita|anu|nASa|aSman|kUwa|malina|daSa|kumBa|SIrza|ciranta|virata|samala|sIra|paYjara|manTa|nala|roman|loman|pulina|supari|kawipa|sakarRaka|vfzwi|tIrTa|agasti|vikara|nAsikA
BALADI	balAdiH	94	4.2.80	basic	15	bala|cula|nala|dala|vawa|lakula|urala|puKa|pula|mUla|ulaqula|ula|qula|vana|kula
PAKSHADI	pakzAdiH	95	4.2.80	basic	37	pakza|tukza|tuza|kuRqa|aRqa|kambalikA|valika|citra|asti|kumBa|sIraka|saraka|sakala|sarasa|samala|atiSvan|roman|loman|hastin|maka|lomaka|SIrza|nivAta|pAka|sahaka|siMhaka|aNkuSa|suvarRaka|haMsaka|hiMsaka|kutsa|bila|Kila|yamala|hasta|kalA|sakarRaka
KARNADI	karRAdiH	96	4.2.80	basic	20	karRa|vasizWa|arka|arkalUza|drupada|anaquhya|pAYcajanya|sPiga|sPij|kumBI|kuntI|jitvan|jIvanta|kuliSa|aRqIvat|ARaqIvata|java|jEtra|Akana|anaka
SUTANGAMADI	sutaNgamAdiH	97	4.2.80	basic	20	suMtagama|municita|vipracitta|mahAcitta|mahAputra|svana|Sveta|gaqika|Kaqika|Sukra|vigra|bIjAvApin|bIjavApin|arjuna|Svan|ajira|jIva|KaRqina|karRa|vigraha
PRAGADYADI	pragadyAdiH	98	4.2.80	basic	9	pragadin|magadin|maMdadin|kavila|KaRqita|gadita|cUqAra|mandAra|kovidAra
VARAHADI	varAhAdiH	99	4.2.80	basic	16	varAha|palASA|palASa|Seriza|SirIza|pinadDa|nibadDa|balAha|sTUla|vidagDa|vijagDa|viBagna|nimagna|bAhu|Kadira|SarkarA
KUMUDADI_4	kumudAdiH	100	4.2.80	basic	13	kumuda|gomaTa|raTakAra|daSagrAma|aSvatTa|SAlmalI|SirIza|munisTala|kuRqala|kUwa|muDukarRa|GAsakunda|SucikarRa
VARANADI	varaRAdiH	101	4.2.82	basic	23	varaRA|SfNgI|SAlmali|SuRqi|SayARqI|parRI|tAmraparRI|goda|AliNgyAyana|jAlapadI|jAnapadI|jambU|puzkara|sampA|pampA|valgu|ujjayinI|gayA|maTurA|takzaSilA|urasA|gomatI|valaBI
MADHVADI	maDvAdiH	102	4.2.86	basic	28	maDu|bisa|sTARu|veRu|karkanDu|SamI|karIra|hima|kiSarA|SaryARA|marut|vArdAlI|Sara|izwakA|Asuti|Sakti|AsandI|Sakala|SalAkA|AmizI|ikzu|roman|ruzwi|ruzya|takzaSilA|kaqa|vawa|vewa
UTKARADI	utkarAdiH	103	4.2.90	basic	57	utkara|saMPala|SaPara|pippala|pippalImUla|aSman|suvarRa|svalAjina|tika|kitava|aRaka|trEvaRa|picuka|aSvatTa|kASa|kzudra|BastrA|SAla|janyA|ajira|carman|utkroSa|kzAnta|Kadira|SUrpaRAya|SyAvanAya|nEvAkava|tfRa|vfkza|SAka|palASa|vijigIzA|aneka|Atapa|Pala|saMpara|arka|garta|agni|vErARaka|iqA|araRya|niSAnta|paRa|nIcAyaka|SaMkara|avarohita|kzAra|viSAla|vetra|arIhaRa|KaRqa|vAtAgAra|indravfkza|nitAntavfkza|nitAntAvfkza|Ardravfkza
NADADI_4	naqAdiH	104	4.2.91	basic	10	naqa|plakza|bilva|veRu|vetra|vetasa|ikzu|kAzWa|kapota|tfRa
KATRYADI	katryAdiH	105	4.2.95	basic	14	katri|umBi|puzkara|puzkala|modana|kumBI|kuRqina|nagarI|mAhizmatI|varmatI|uKyA|grAma|kuqyAyA|yalopaSca
NADYADI	nadyAdiH	106	4.2.97	basic	19	nadI|mahI|vArARasI|SrAvastI|kOSAmbI|vanakOSAmbI|vanakoSAmbI|kASaparI|kASaPArI|kASaParI|KAdirI|pUrvanagarI|pAWA|mAyA|SAlvA|dArvA|setakI|vaqavAyA|vfze
PALADYADI	paladyAdiH	107	4.2.110	basic	18	paladI|parizad|romaka|vAhIka|kalakIwa|bahukIwa|jAlakIwa|kamalakIwa|kamalakIkara|kamalaBidA|gozWI|nEkatI|pariKA|SUrasena|gomatI|pawaccara|udapAna|yakflloma
KASHYADI	kASyAdiH	108	4.2.116	basic	33	kASi|cedi|vedi|sAMyAti|saMvAha|acyuta|modamAna|SakulAda|hastikarzU|kunAman|hiraRyA|karaRa|govAsana|BAraNgI|ariMdama|aritra|devadatta|daSagrAma|SOvAvatAna|yuvarAja|uparAja|devarAja|modana|sinDumitra|dAsamitra|suDAmitra|somamitra|CAgamitra|sADamitra|saDamitra|ApatkAla|UrDvakAla|tatkAla
DHUMADI	DUmAdiH	109	4.2.127	basic	47	DUma|zaqaRqa|SaSAdana|arjunAva|mAhakasTalI|AnakasTalI|mAhizasTalI|mAnasTalI|awwasTalI|madrakasTalI|samudrasTalI|dARqAyanasTalI|rAjasTalI|videha|rAjagfha|sAtrAsAha|Sazpa|mitravarDra|mitravarDa|BakzAlI|madrakUla|AjIkUla|dvyAhava|dvyAhAva|tryahava|tryAhAva|saMsPAya|barbara|varjya|garta|Anarta|mAWara|pATeya|Goza|pallI|ArAjYI|DArtarAjYI|Avaya|tIrTa|kukzi|antarIpa|dvIpa|aruRa|ujjayanI|pawwAra|dakziRApaTa|sAketa
KACCHADI	kacCAdiH	110	4.2.133	basic	16	kacCa|sinDu|varRu|ganDAra|maDumat|kamboja|kaSmIra|sAlva|kuru|anuSaRqa|dvIpa|anUpa|ajavAha|vijApaka|kalUtara|raNku
GAHADI	gahAdiH	111	4.2.138	akrti	59	gaha|antaHsTa|sama|vizama|maDya|maDyaMdina|caraRe|uttama|aNga|vaNga|magaDa|pUrvapakza|aparapakza|aDamaSAKa|uttamaSAKa|samAnagrAma|ekagrAma|ekavfkza|ekapalASa|izvagra|izvanIka|avasyandan|kAmaprasTa|SAqikAqAyani|KAqAyana|kAWeraRi|lAveraRi|sOmitri|SESiri|Ayuta|dEvaSarmi|SrOti|AhiMsi|Amitri|vyAqi|vEji|ADyaSvi|sOmitri|vyAqi|vEji|ADyaSvi|AnfSasi|AnfSaMsi|agniSarmi|BOji|vArAwaki|vAlmiki|vAlmIki|kzEmavfdDi|ASvatTi|OdgAhamAni|ekavindavi|dantAgra|haMsa|tatvagra|tantvagra|uttara|antara|anantara
SANDHIVELADI	sanDivelAdiH	112	4.3.16	basic	8	sanDivelA|saMDyA|amAvAsyA|trayodaSI|caturdaSI|paYcadaSI|pOrRamasI|pratipat
DIGADI	digAdiH	113	4.3.54	basic	28	diS|varga|pUga|gaRa|pakza|DAyyA|mitra|meDA|antara|paTin|rahas|alIka|uKA|sAkzin|Adi|deSa|Adi|anta|muKa|jaGana|meGa|yUTa|jYAya|nyAya|vaMSa|veSa|kAla|AkASa
PARIMUKHADI	parimuKAdiH	114	4.3.59	basic	51	parimuKa|parihanu|paryozWa|paryulUKala|parisIra|upasIra|upasTURa|upakalApa|anupaTa|anugaqga|anutila|anusIta|aDusAya|anusIra|anumAza|anuyava|anuyUpa|anuvaMSa|pratiSAKa|parimuKAdiByaSca|aDyAtmAdiH|4.3.60|aDyAtma|aDideva|aDiBUta|ihaloka|paraloka|aDyAtmAdiByaSca|fgayanAdiH|4.3.73|fgayana|padavyAKyAna|CandomAna|CagdoBAzA|Candoviciti|nyAya|punarukta|vyAkaraRa|nigama|vAstuvidyA|kzatravidyA|aNgavidyA|vidyA|utpAda|utpAta|saMvatsara|muhUrta|upanizad|nimitta|SikzA|BikzA
SHUNDIKADI	SuRqikAdiH	117	4.3.76	basic	10	SuRqika|kfkaRa|kfpaRa|sTaRqila|udapAna|upala|tIrTa|BUmi|tfRa|parRa
SHANDIKADI	SaRqikAdiH	118	4.3.92	basic	8	SaRqika|sarvasena|sarvakeSa|Saka|Sawa|raka|SaNKa|boDa
SINDHVADI	sinDvAdiH	119	4.3.93	basic	12	sinDu|varRu|maDumat|kamboja|sAlva|kaSmIra|ganDAra|kizkinDA|urasA|darada|darad|gandikA
TAKSHASHILADI	takzaSilAdiH	120	4.3.93	basic	14	takzaSilA|vatsodDaraRa|kOmedura|grAmaRI|Cagala|kozwukarRa|siMhakarRa|saMkucita|kinnara|kARqaDAra|parvata|avasAna|barbara|kaMsa
SHAUNAKADI	SOnakAdiH	121	4.3.106	basic	16	SOnaka|vAjasaneya|SArNgarava|SAzpeya|KAqAyana|stamBa|skanDa|devadarSana|rajjuBAra|rajjukaRWa|kaWaSAWa|kazAya|tala|daRqa|puruzAMsaka|aSvapeja
KULALADI	kulAlAdiH	122	4.3.118	basic	20	kulAla|varuqa|cARqAla|nizAda|karmAra|senA|sirinDra|siriGri|sErinDra|devarAja|parzat|parizat|vaDU|maDU|ruhU|rudra|anaquH|brahman|kumBakAra|SvapAka
RAIVATIKADI	rEvatikAdiH	123	4.3.131	basic	7	rEvatika|svApiSi|gOragrIva|gOragrIvi|OdameGi|OdavApi|bejavApi
BILVADI	bilvAdiH	124	4.3.136	basic	13	bilva|vrIhi|kARqa|mudga|masUra|goDUma|ikzu|veRu|gaveDukA|karpAsI|pAwalI|karkanDU|kuwIra
PALASHADI	palASAdiH	125	4.3.141	basic	9	palASa|Kadira|SiMSapA|spandana|pUlAka|karIra|SirIza|yavAsa|vikaNkata
SHARADI	SarAdiH	126	4.3.144	basic	8	Sara|darBa|mfd|mft|kuwI|tfRa|soma|balvaja
TALADI	tAlAdiH	127	4.3.152	basic	9	tAlAdDanuzi|bArhiRa|indrAliSa|indrAdfSa|indrASiza|indrAyuDa|caya|SyAmAka|pIyUkzA
RAJATADI	rajatAdiH	128	4.3.154	basic	12	rajata|sIsa|loha|udumbara|nIpa|dAru|rohitaka|biBItaka|pItadAru|tIvradAru|trikaRwaka|kaRwakAra
PLAKSHADI	plakzAdiH	129	4.3.164	basic	8	plakza|nyagroDa|aSvatTa|iNgudI|Sigru|ruru|kakzatu|bfhatI
HARITAKYADI	harItakyAdiH	130	4.3.167	basic	17	harItakI|koSAtakI|naKaraYjanI|SazkaRqI|dAqI|doqI|SvetapAkI|arjunapAkI|drAkzA|kAlA|DvAkzA|gamIkA|kaRwakArikA|pippalI|cimpA|ciYcA|SePAlikA
MASHABDADI	mASabdAdiH	131	4.4.1	basic	31	mASabdaH|nityaSabdaH|kAryaSabdaH|mASabdAdiBya upasaMKyAnam|praBftAdiH|4.4.1|praBUta|paryApta|AhO praBUtAdiByaH|susnAtAdiH|4.4.1|susnAta|suKarAtri|suKaSayana|pfcCatO susnAtAdiByaH|paradArAdiH|4.4.1|paradAra|gurutalpa|gacCatO paradArAdiByaH|parpAdiH|4.4.10|parpa|aSva|aSvatTa|raTa|jAla|nyAsa|vyAla|pAda|paYca
VETANADI	vetanAdiH	136	4.4.12	basic	20	vetana|vAhana|arDavAhana|DanurdaRqa|jAla|veSa|upaveSa|prezaRa|upavasti|suKa|SayyA|Sakti|upanizat|upadeSa|sPij|sPija|pAda|upasTa|upasTAna|upahasta
UTSANGADI	utsaNgAdiH	137	4.4.15	basic	7	utsaNga|uqupa|utpUta|utpanna|utpuwa|piwaka|piwAka
BHASTRADI	BastrAdiH	138	4.4.16	basic	7	BastrA|Barawa|BaraRa|SIrza|SIrzeBAra|aMsaBAra|aMseBAra
AKSHADYUTADI	akzadyUtAdiH	139	4.4.19	basic	10	akzadyUta|jAnuprahfta|jaNGAprahfta|jaNGAprahata|pAdaKedana|kaRwakamardana|gatAnugata|gatAgata|yAtopayAta|anugata
MAHISHYADI	mahizyAdiH	140	4.4.48	basic	12	mahizI|prajApatI|prajAvatI|pralepikA|vilepikA|anulepikA|purohitA|maRipAlI|anuvAraka|nucAra|hotf|yajamAna
KISARADI	kisarAdiH	141	4.4.53	basic	11	kisara|narada|nalada|sTAgala|tagara|guggulu|uSIra|haridrA|haridru|pargI|parRI
CHATRADI	CatrAdiH	142	4.4.62	basic	21	Catra|SikzA|prarohasTA|buBukzA|carA|titikzA|upasTAna|fzi|karman|viSvaDA|tapas|satya|anfta|viSiKA|viSikA|BakzA|udasTAna|paroqA|vikzA|cukzA|mandra
PRATIJANADI	pratijanAdiH	143	4.4.99	basic	12	pratijana|idaMyuga|saMyuga|samayuga|parayuga|parakula|parasyakula|amuzyakula|sarvajana|viSvajana|mahAjana|paYcajana
KATHADI	kaTAdiH	144	4.4.102	basic	14	kaTA|vikaTA|viSvakaTA|saMkaTA|vitaRqA|kuzwavid|kuzWavid|janavAda|janevAda|janovAda|vftti|saMgfha|guRagaRa|Ayurveda
