const	name	number	sutra	kind	n_members	members_slp1
GUDADI	guqAdiH	145	4.4.103	basic	14	guqa|kulmAza|saktu|apUpa|mAMsOdana|ikzu|veRu|saNgrAma|saMGAta|saMkAma|saMvAha|pravAsa|nivAsa|upavAsa
GAVADI	gavAdiH	146	5.1.2	basic	21	go|havis|akzara|viza|barhis|azwakA|svadA|yuga|meDA|srac|kUpa|Kada|dara|asura|aDvan|aDvana|kzara|veda|bIja|dIsa|dIpta
APUPADI	apUpAdiH	147	5.1.4	basic	23	apUpa|taRqula|aByuza|aByUza|aByoza|avoza|aByeza|pfTuka|odana|sUpa|pUpa|kiRva|pradIpa|musala|kawaka|karRavezwaka|irgala|argala|yUpa|sTURA|dIpa|aSva|patra
NISHKADI	nizkAdiH	148	5.1.20	basic	7	nizka|paRa|pAda|mAza|vAha|droRa|zazwi
ASHVADI_5	aSvAdiH	149	5.1.39	basic	10	aSva|aSman|gaRa|UrRA|urma|umA|BaNgA|gaNgA|varzA|vasu
VAMSHADI	vaMSAdiH	150	5.1.50	basic	12	vaMSa|kuwaja|balvaja|mUla|sTURA|sTURa|akza|aSman|aSva|SlakzaRa|ikzu|KawvA
CHEDADI	CedAdiH	151	5.1.64	basic	19	Ceda|Beda|droha|doha|narti|narta|karza|tIrTa|saMprayoga|viprayoga|prayoga|viprakarza|prezaRa|saMpraSna|vipraSna|vikarza|virAga|viraNgaM|ca
DANDADI	daRqAdiH	152	5.1.66	basic	15	daRqa|musala|maDuparka|kaSA|arGa|meGa|meDA|suvarRa|udaka|vaDa|yuga|guhA|BAga|iBa|BaNga
MAHANAMNYADI	mahAnAmnyAdiH	153	5.1.94	basic	21	mahAnAmnI|Adityavrata|godAna|mahAnAmnyAdiByaH zazWayanteBya upasaMKyAnam|avAntaradIkzAdiH|5.1.94|avAntaradIkzA|tilavrata|devavrata|avAntaradIkzAdiByo qernirvaktavyaH|vyuzwAdiH|5.1.97|vyuzwa|nitya|nizkramaRa|praveSana|upasaNkramaRa|tIrTa|AstaraRa|saNgrAma|saNGAta
AGNIPADADI	agnipadAdiH	156	5.1.97	akrti	5	agnipada|pIlupada|pIlumUla|pravAsa|upavAsa
SAMTAPADI	saMtApAdiH	157	5.1.101	basic	19	saMtApa|saMnAha|saMgrAma|saMyoga|saMparAya|saMveSana|saMpeza|nizpeza|sarga|nisarga|visarga|upasarga|pravAsa|upavAsa|saNGAsa|saMveza|saMvAsa|samodana|saktu
UPAVASTRADI	upavastrAdiH	158	5.1.105	basic	20	upavastf|prASitf|cUqA|SradDA|ftoraR prakaraRe upavastrAdiBya upasaMKyAnam|anupravacanAdiH|5.1.111|anupravacana|utTApana|upasTApana|saMveSana|praveSana|anupraveSana|anuvAsana|anuvacana|anuvAcana|anvArohaRa|prAramBaRa|AramBaRa|ArohaRa
SVARGADI	svargAdiH	160	5.1.111	basic	45	svarRa|yaSas|Ayus|kAma|Dana|svargAdiByo yadvaktavyaH|puRyAhavAcanAdiH|5.1.111|puRyAhavAcana|svastivAcana|SAntivAcana|puRyAhavAcanAdiByo lugvaktavyaH|pfTvAdiH|5.1.122|pfTu|mfdu|mahat|pawu|tanu|laGu|bahu|sADu|ASu|uru|guru|bahula|KaRqa|daRqa|caRqa|akiMcana|bAla|hoqa|pAka|vatsa|manda|svAdu|hrasva|dIrGa|priya|vfza|fju|kzipra|kzupra|kzudra|aRu
VARNADRDHADI	varRadfQAdiH	163	5.1.123	basic	21	dfQa|vfQa|parivfQa|BfSa|kfSa|vakra|Amra|kfzwa|lavaRa|tAmra|SIta|SIta|uzRa|jaqa|baDira|paRqita|maDura|mUrKa|mUka|sTira|javana
BRAHMANADI	brAhmaRAdiH	164	5.1.124	akrti	45	brAhmaRa|vAqava|mARava|cora|DUrta|ArADaya|virADaya|aparADaya|uparADaya|ekaBAva|dviBAva|triBAva|anyaBAva|akzetrajYa|saMvAdin|saMveSin|saMBAzin|bahuBAzin|SIrzapAtin|viGAtin|samasTa|vizamasTa|paramasTa|maDyamasTa|anISvara|kuSala|capala|nipuRa|piSuna|kutUhala|kzetrajYa|niSna|bAliSa|alasa|duHpuruza|kApuruza|rAjan|gaRapati|aDipati|gaqula|dAyAda|viSasti|vizama|vipAta|SOwIra
CATURVEDADI	caturvedAdiH	165	5.1.124	basic	53	caturveda|caturvarRa|caturASrama|sarvaviDa|triloka|trisvara|zaqguRa|senA|anantara|saMniDi|samIpa|upamA|muKa|tadarTa|itiha|maRika|caturvedAdiBya uBayapadavfdDiSca|purohitAdiH|5.1.128|purohita|grAmika|piRqika|suhita|vAlamanda|bAlamanda|KaRqika|daRqika|varmika|karmika|Carmika|Sitika|mUtika|mUlika|tilaka|aYjalika|antalika|rUpika|fzika|patrika|paTika|carmika|pratika|sAraTi|AsTika|sUcika|saMrakza|sUcaka|saMrakzasUcaka|nAstika|ajAnika|SAkvara|nAgara|cUqika
UDGATRADI	udgAtrAdiH	167	5.1.129	basic	15	udgAtf|unnetf|pratihartf|praSastf|hotf|potf|hartf|raTagaRaka|pakzigaRaka|suzWu|duzWu|aDvaryu|vaDU|suBaga|mantre
YUVADI	yuvAdiH	168	5.1.130	basic	30	yuvan|sTavira|hotf|yajamAna|BrAtf|kutuka|SramaRa|SravaRa|kawuka|kamaRqalu|kustrI|sustri|daHstrI|suhfdaya|durhfdaya|suhfd|durhft|suBrAtf|durBrAtf|vfzala|parivrAjaka|sabrahmacArin|anfSaMsa|hfdayAse|kuSala|capala|nipuRa|piSuna|kutUhala|kzetrajYa
MANOJNADI	manojYAdiH	169	5.1.133	basic	27	manojYa|priyarUpa|aBirUpa|kalyARa|meDAvin|AQaya|kulaputra|CAndasa|CAtra|Srotriya|cora|DUrta|viSvadeva|yuvan|kuputra|grAmaputra|grAmakulAla|grAmaqa|grAmazaRqa|grAmakumAra|sukumAra|bahula|avaSyaputra|amuzyaputra|amuzyakula|sAraputra|Sataputra
PILVADI	pIlvAdiH	170	5.2.24	basic	10	pIlu|karkanDU|karkanDu|SamI|karIra|bala|kuvala|badara|aSvatTa|Kadira
KARNADI_5	karRAdiH	171	5.2.24	basic	13	karRa|akzi|naKa|muKa|maKa|keSa|pAda|gulPa|BrUBaNga|danta|ozWa|pfzWa|aNguzWa
TARAKADI	tArakAdiH	172	5.2.36	basic	89	tArakA|puzpa|karRaka|maYjarI|fjIza|kzaRa|sUtra|mUtra|nizkramaRa|purIza|uccAra|pracAra|vicAra|kuqmala|kaRwaka|musala|mukula|kusuma|kutUhala|stabaka|stavaka|kisalaya|pallava|KaRqa|vega|nidrA|mudrA|buBukzA|DenuzyA|pipAsA|SradDA|aBra|pulaka|aNgAraka|varRaka|droha|doha|suKa|duHKa|utkaRWA|Bara|vyADi|varman|vraRa|gOrava|SAstra|taraNga|tilaka|candraka|anDakAra|garva|kumura|mukura|harza|utkarza|raRa|kuvalaya|garGa|kzuD|sImanta|jvara|gara|roga|romAYca|paRqA|kujjala|tfz|koraka|kallola|sTapuwa|Pala|kaYcuka|SfNgAra|aNkura|SEvala|bakula|Svamra|ArAla|kalaNka|kardama|kandala|mUrcCA|aNgAra|hastaka|pribimba|viGnatantra|pratyaya|dIkzA|garja
VIMUKTADI	vimuktAdiH	173	5.2.61	basic	26	vimukta|devAsura|rakzosura|upasad|suvarRa|parisAraka|sadasat|vasu|marut|patnIvat|vasumat|mahIyas|satvat|barhavat|daSArRa|daSArha|vayas|havirDAna|patatrin|mahitrI|asyahatya|somApUzan|iqA|agnAvizRU|urvaSI|vftrahan
GOSHADADI	gozadAdiH	174	5.2.62	basic	16	gozada|gozad|izetvA|mAtariSvan|devasyatvA|devIrApaH|devIMDiyA|devIMDiya|rakzohaRa|yuYjAna|aYjana|prasUta|praBUta|pratUrta|kfSAnu|kfSAku
AKARSHADI	AkarzAdiH	175	5.2.64	basic	19	Akarza|Akaza|tsaru|piSAca|picaRqa|aSani|aSman|nicaya|caya|vijaya|jaya|Acaya|naya|pAda|dIpahrada|hrAda|hlAda|gadgada|Sakuni
ISHTADI	izwAdiH	176	5.2.88	basic	32	izwa|pUrta|upAsAdita|nigadita|parigAdita|parivAdita|nikaTita|nizAdita|nipaWita|sakalita|parikalita|saMrakzita|parirakzita|Arcita|gaRita|avakIrRa|Ayukta|gfhIta|AAmnAta|Sruta|aDIta|avaDAna|Asevita|avaDArita|avakalpita|nirAkfta|upakfta|upAkfta|anuyukta|anugaRita|anupaWita|vyAkulita
RASADI	rasAdiH	177	5.2.95	basic	10	rasa|rUpa|varRa|ganDa|sparSa|Sabda|sneha|BAva|guRAt|ekAcaH
SIDHMADI	siDmAdiH	178	5.2.97	basic	44	siDma|gaqu|maRi|nABi|bIja|vIRA|kfzRa|nizpAva|pAMsu|pArSva|parSu|hanu|saktu|mAsa|mAMsa|parRa|udaka|prajA|sakTi|karRa|sneha|SIta|SyAma|piNga|pitta|puzPa|pfTu|mfdu|maYju|gaRqa|patra|cawu|kapi|kaRqu|granTi|SrI|kuSa|DArA|varzman|pakzman|Slezman|peSa|nizpAd|kuRqa
LOMADI	lomAdiH	179	5.2.100	basic	9	loman|roman|baBru|hari|giri|karka|kapi|muni|taru
PAMADI	pAmAdiH	180	5.2.100	basic	11	pAman|vAman|veman|heman|Slezman|kadru|kadrU|bali|sAman|Uzman|kfmi
PICCHADI	picCAdiH	181	5.2.100	basic	8	picCa|uras|Duvaka|Druvaka|varRa|udaka|paNka|prajYA
JYOTSNADI	jyotsnAdiH	182	5.2.103	basic	29	jyotsnA|tamisnA|kuRqala|kutapa|visarpa|vipAdikA|jyotsnAdiBya upasaMKyAnam|vrIhyAdiH|5.2.116|vrIhI|mAyA|SAlA|SiKA|mAlA|meKalA|kekA|azwakA|patAkA|carman|karman|varmin|daMzwrA|saMjYA|vaqavA|kumArI|nO|vIRA|balAkA|yavaKada
TUNDADI	tundAdiH	184	5.2.117	basic	5	tunda|udara|picaRqa|yava|vrIhi
ARSHAADI	arSaAdiH	185	5.2.127	basic	14	arSas|uras|tunda|catura|kalita|jawA|GawA|GAwA|aBra|aGa|kardama|amla|lavaRa|varRAt
SUKHADI_5	suKAdiH	186	5.2.131	basic	21	suKa|duHKa|tfpta|tfpra|kfcCra|asna|ASra|Asna|alIka|kaWiRa|soQa|pratIpa|SIla|hala|mAlA|kzepe|kfpaRa|praRAya|praRaya|dala|kakza
PUSHKARADI	puzkarAdiH	187	5.2.135	basic	32	puzkara|padma|utpala|tamAla|kumuda|naqa|kapitTa|bisa|mfRAla|kardama|SAlUka|vigarha|karIza|SirIza|yavAsa|pravAsa|hiraRya|kErava|kallola|tawa|taraNga|paNkaja|saroja|rAjIva|saroruha|puwaka|aravinda|amBoja|abja|kamala|kallola|payas
BALADI_5	balAdiH	188	5.2.136	basic	17	bala|utsAha|udBAva|udvAsa|udvAma|SiKA|kula|cUqA|sula|kUla|AyAma|vyAyAma|upayAma|Aroha|avaroha|pariRAha|yudDa
BHAVADADI	BavadAdiH	189	5.3.14	basic	26	BavAn|dIrGAyuH|devAnAMpriyaH|AyuzmAn|dfSigrahaRAdBavadAdiyoga eva|devapaTAdiH|5.3.100|devapaTa|haMsapaTa|vAripaTa|raTapaTa|sTalapaTa|karipaTa|ajapaTa|rAjapaTa|SatapaTa|SaNkupaTa|minDupaTa|sidDagati|uzwragrIvA|vAmarajju|hasta|indra|daRqa|puzpa|matsya
SHAKHADI	SAKAdiH	191	5.3.103	basic	15	SAKA|muKa|jaGana|SfNga|meGa|aBra|caraRa|skanDa|skada|skanda|uras|Siras|agra|SARa|SaraRa
SHARKARADI	SarkarAdiH	192	5.3.107	basic	13	SarkarA|kapAlikA|kapAwikA|kapizWikA|kanizWikA|puRqarIka|Satapatra|goloman|loman|gopucCa|narAcI|nakula|sikatA
ANGULYADI	aNgulyAdiH	193	5.3.108	basic	16	aNguli|Baruja|baBru|valgu|maRqara|maRqala|SazkulI|hari|kapi|muni|ruha|Kala|udaSvit|goRI|uras|kuliSa
DAMANYADI	dAmanyAdiH	194	5.3.116	basic	23	dAmanI|Olapi|bEjavApi|Odaki|OdaNki|acyutanti|Acyutanti|acyutadanti|Acyutadanti|SAkuntaki|AkidantI|Akvidanti|Oqavi|kAkadantaki|SatruMtapi|sArvaseni|bindu|bEndavi|tulaBa|mOYjAyana|kAkandi|ulaBa|sAvitrIputra
PARSHVADI_5	parSvAdiH	195	5.3.117	basic	12	parSu|asura|rakzas|bAhlIka|vayas|vasu|marut|satvat|daSArha|piSAca|aSani|kArzApaRa
YAUDHEYADI_5	yODeyAdiH	196	5.3.117	basic	10	yODeya|krOSeya|SOkeya|SOBreya|DArteya|GArteya|jyAvAReya|trigarta|Barata|uSInara
STHULADI	sTUlAdiH	197	5.4.3	basic	7	sTUla|aRu|mAza|izu|kumArIputra|kumArISvaSura|maRi
YAVADI	yAvAdiH	198	5.4.29	basic	10	yAva|maRi|asTi|tAlu|jAnu|sAndra|pIta|stamba|jYAta|ajYAta
VINAYADI	vinayAdiH	199	5.4.34	basic	19	vinaya|samaya|upAyo|hrasvatvaM|ca|saMprati|saMgati|kaTaMcit|akasmAt|samAcAra|upacAra|samAya|samayAcAra|vyavahAra|saMpradAna|samutkarza|samUha|viSeza|atyaya
PRAJNADI	prajYAdiH	200	5.4.38	basic	35	prajYa|vaRij|uSij|uzRij|pratyakza|vidvas|vidan|zoqan|vidyA|manas|Srotra|SarIre|juhvat|kfzRa|mfge|cikIrzat|cora|Satra|yoDa|cakzus|vasu|enas|marut|kruYca|sattvat|daSArha|vayas|vyAkfta|asura|rakzas|piSAca|aSani|kArzApaRa|devatA|banDu
ADYADI	AdyAdiH	201	5.4.44	basic	29	Adi|maDya|anta|pfzWa|pArSva|AdyAdiBya upasaMKyAnam|SaradAdiH|5.4.107|Sarad|vipAS|anas|manas|upAnah|anaquh|div|himavat|hiruk|vid|sad|diS|dfS|viS|catur|tyad|tad|yad|etad|kiyat|paTin
DVIDANDYADI	dvidaRqyAdiH	203	5.4.128	basic	22	dvidaRqi|dvimusali|uBAYjali|uBayAYjali|uBAdanti|uBayAdanti|uBAhasti|uBayAhasti|uBAkarRi|uBayAkarRi|uBApARi|uBayApARi|uBAbAhu|uBayAbAhu|ekapadI|prozWapadI|AcyapadI|AQayapadi|sapati|nikucyakarRi|saMhatapucCi|antekasI
HASTYADI	hastyAdiH	204	5.4.138	basic	19	hastin|kuddAla|aSva|kaSika|kuruta|kawola|kawolaka|gaRqola|gaRqolaka|kaRqola|kaRqolaka|aja|kapota|jAla|gaRqa|mahilA|dAsI|gaRikA|kusUla
KUMBHAPADYADI	kumBapadyAdiH	205	5.4.139	basic	33	kumBapadI|ekapadI|jAlapadI|SUlapadI|munipadI|guRapadI|SatapadI|sUtrapadI|goDApadI|kalaSIpadI|vipadI|tfRapadI|dvipadI|tripadI|zawpadI|dAsIpadI|SitipadI|vizRupadI|supadI|nizpadI|ArdrapadI|kuRipadI|kfzRapadI|SucipadI|droRIpadI|droRapadI|drupadI|sUkarapadI|SakftpadI|azwApadI|sTURapadI|apadI|sUcIpadI
URAHPRABHRTAYAH	uraHpraBftayaH	206	5.4.151	basic	12	uras|sarpiz|upAnaqa|pumAn|anaqvAn|payaH|nOH|lakzmIH|daDi|maDu|SAlI|SAliH
SHAKANDHVADI	SakanDvAdiH	207	6.1.94	basic	14	SakanDu|karkanDu|kulawA|sImantaH|keSaveSe|halIzA|manIzA|lANgalIzA|pataYjaliH|sAraNgaH|paSupakziRoH|SakanDvAdizu pararUpaM vAcyam|pAraskarAdiH|6.1.157
UNCHADI	uYCAdiH	209	6.1.160	basic	7	uYCa|mlecCa|jaYja|talpa|jalpa|japa|vaDa
VRSHADI	vfzAdiH	210	6.1.203	basic	25	vfzaH|janaH|jvaraH|grahaH|hayaH|mayaH|gayaH|tAyaH|tayaH|cayaH|amaH|vedaH|sUdaH|aMSaH|guhA|mantraH|SAntiH|kAmaH|yAmaH|ArA|DArA|kArA|vahaH|kalpaH|pAdaH
VISPASHTADI	vispazwAdiH	211	6.2.24	basic	10	vispazwa|vicitra|vicitta|vyakta|sampanna|pawu|paRqita|kuSala|capala|nipuRa
KARTAKAUJAPADI	kArtakOjapAdiH	212	6.2.37	basic	27	kArtakOjapO|sAvarRimARqakeyO|sAvarRimARqUkeyO|avantyaSmakAH|pElaSyAparReyAH|kapiSyAparReyAH|SEtikAkzapAYcAleyAH|kawukavADUleyAH|SAkalaSunakAH|SAkalaSaRakAH|SaRakabABravAH|ArcABimOdgalAH|kuntisurAzwrAH|cintisurAzwrAH|taRqavataRqAH|avimattakAmavidDAH|bABravaSAlaNkAyanAH|bABravadAnacyutAH|kaWakAlApAH|kaWakOTumAH|kOTumalOkAkzAH|strIkumAram|mOdapEppalAdAH|vatsajarantaH|sOSrutapArTavAH|jarAmftyU|yAjyAnuvAkye
KURUGARHAPATADI	kurugArhapatAdiH	213	6.2.42	basic	8	dAsIBAraH|devahUtiH|devaBItiH|devalAtiH|vasunItiH|vasUnitiH|OzaDiH|candramAH
YUKTAROHYADI	yuktArohyAdiH	214	6.2.81	akrti	15	yuktArohI|AnatarohI|AgatayoDI|AgatavaYcI|AgatanandI|AgataprahArI|AgatamatsyaH|kzIrahotA|BaginIBartA|grAmagoDuk|aSvatrirAtraH|gargatrirAtraH|vyuzwatrirAtraH|gaRapAdaH|ekaSitipAd
GHOSHADI	GozAdiH	215	6.2.85	basic	21	Goza|Gawa|kawa|vallaBa|hfda|badari|piNgala|piNgalI|piSaNga|mAlA|rakzA|SAlA|vfw|kUwa|SAlmalI|aSvatTa|tfRa|SilpI|muni|prekzAka|prekzA
CHATRYADI	CAtryAdiH	216	6.2.86	basic	7	CAtri|peli|BARqi|vyAqi|AKaRqi|Awi|gomi
KARKYADI	karkyAdiH	217	6.2.87	basic	11	karki|karkI|makarI|karkanDu|SamI|karIri|karIra|kanduka|kuvala|kavala|badarI
MALADI	mAlAdiH	218	6.2.88	basic	10	mAlA|SAlA|SoRA|SoRa|drAkzA|srAkzA|kzAmA|kAYcI|eka|kAma
KRATVADI	kratvAdiH	219	6.2.118	basic	7	kratu|dfSIka|pratIka|pratUrti|havya|Bavya|Baga
CIHANADI	cihaRAdiH	220	6.2.125	basic	10	cihaRa|madura|madugura|vEtula|pawatka|vEqAlikarRaka|vEqAlikarRi|kukkuwa|cikkaRa|citkaRa
VARGYADI	vargyAdiH	221	6.2.131	basic	0	
CURNADI	cUrRAdiH	222	6.2.134	basic	12	cUrRa|kariza|karIza|SAkina|SAkawa|drAkzA|tUsta|kundama|dalapa|camasI|cakkana|cOla
KANDADI	kARqAdiH	223	6.2.135	basic	6	kARqa|cIra|palala|sUza|SAka|kUla
VANASPATYADI	vanaspatyAdiH	224	6.2.140	basic	10	vanaspatiH|bfhaspatiH|SacIpatiH|tanUnapAt|narASaMsaH|SunaHSepaH|SaRqAmarkO|tfzRAvarUtri|lambAviSvavayasO|marmftyuH
ACITADI	AcitAdiH	225	6.2.146	basic	11	Acita|paryAcita|AsTApita|parigfhIta|nirukta|pratipanna|apaSlizwa|praSlizwa|upahita|upasTita|saMhitAgavi
PRAVRDDHADI	pravfdDAdiH	226	6.2.147	akrti	2	KawvArUQaH|kaviSastaH
CARVADI	cArvAdiH	227	6.2.160	basic	9	cAru|sADu|yODika|yODaki|anaNgamejaya|vadAnya|akasmAt|gfhapati|gfhapatika
GUNADI	guRAdiH	228	6.2.176	akrti	5	guRa|akzara|aDyAya|sUkka|CandomAna
NIRUDAKADI	nirudakAdiH	229	6.2.184	akrti	14	nirudaka|nirupala|nirmakzika|nirmaSaka|nizkAlaka|nizkAlika|nizpeza|dustarIpa|nistarIpa|nistarIka|nirajina|udajina|upAjina|parihastapAdakeSakarzAH
AMSHVADI	aMSvAdiH	230	6.2.193	basic	10	aMSu|jana|rAjan|uzwra|Kewaka|ajira|ArdrA|SravaRa|kfttikA|arDapura
GAURADI_6	gOrAdiH	231	6.2.194	basic	11	gOra|tEza|tEla|lewa|lowa|jihvA|kfzRA|kanyA|guDa|kalya|pAda
TRICAKRADI	tricakrAdi	232	6.2.129	akrti	23	tricakra|trivft|trivaNkara|tricakrAdInAM CandasyupasaMKyAnam|priyAdiH|6.3.34|priyA|manojYA|kalyARI|suBagA|durBagA|BaktiH|sAcavA|svasA|svA|kAntA|kzAntA|samA|capalA|duhitA|vAmA|abalA|tanayA
TASILADI	tasilAdiH	234	6.3.35	basic	15	tasil|trat|tarap|tamap|caraw|jAtIyar|kalpap|deSIyar|rUpap|pASap|Tal|TAl|dArhil|til|Tyan
KUKKUTYADI	kukkuwyAdiH	235	6.3.42	basic	20	kukkuwI|mfgI|kAkI|aRqa|pada|SAva|BrukuMsa|BrukuwI|kukkuwyAdInAmaRqAdizu|pfzodarAdiH|6.3.109|pfzodara|pfzotTAna|balAhaka|jImUta|SmaSAna|ulUKala|piSAca|bfsI|mayUra
KOTARADI	kowarAdiH	237	6.3.117	basic	6	kowara|miSraka|siGraka|puraga|sArika|SArika
KIMSHULUKADI	kiMSulukAdiH	238	6.3.117	basic	7	kiMSuluka|SAlva|naqa|aYjana|BaYjana|lohita|kukkuwa
AJIRADI	ajirAdiH	239	6.3.119	basic	8	ajira|Kadira|pulina|haMsaka|haMsa|kAraRqa|kAraRqava|cakravAka
SHARADI_6	SarAdiH	240	6.3.120	basic	9	Sara|vaMSa|DUma|ahi|kapi|maRi|muni|Suci|hanu
PILVADI_6	pIlvAdiH	241	6.3.121	basic	19	pIlu|dAru|ruci|cAru|gam|kam|apIlvAdInAmiti vaktavyam|bilvakAdiH|6.4.153|bilvaka|veRu|vetra|vetasa|tfRa|ikzu|kAzWa|kapota|kruYcA|takzan
SNATVYADI	snAtvyAdiH	243	7.1.49	akrti	17	snAtvI|pItvI|dvArAdiH|7.3.4|dvAra|svara|svagrAma|svADyAya|vyalkaSa|svasti|svar|sPyakft|svAdu|mfdu|Svas|Svan|sva
SVAGATADI	svAgatAdiH	245	7.3.7	basic	8	svAgata|svaDvara|svaNga|vyaNga|vyaqa|vyavahAra|svapati|svapiti
ANUSHATIKADI	anuSatikAdiH	246	7.3.20	akrti	27	anuSatika|anuhoqa|anusaMvaraRa|anusaMcaraRa|anusaMvatsara|aNgAraveRu|asihatya|syahat|asyaheti|vaDyoga|puzkarasad|anuharat|kurukata|kurupaYcAla|udakaSudDa|ihaloka|paraloka|sarvaloka|sarvapuruza|sarvaBUmi|prayoga|parastrI|sUtranaqa|aBigama|aDiBUta|aDideva|caturvidyA
KSHIPAKADI	kzipakAdiH	247	7.3.45	akrti	41	kzipakA|DruvakA|carakA|sevakA|karakA|cawakA|avakA|lahakA|alakA|kanyakA|DruvakA|eqakA|kzipakAdInAM copasaMKyAnam|nyaNkvAdiH|7.3.53|nyaNku|madgu|Bfgu|dUrepAka|valepAka|kzaRepAka|dUrepAkA|PalepAkA|dUrepAku|PalapAku|takra|tatra|vakra|cakra|vyatizaNga|anuzaNga|avasarga|upasarga|SvapAka|mAMsapAka|mAsapAka|kapotapAka|ulUkapAka|saMjYAyAM|nyagroDa|vIrut
KANADI	kaRAdiH	249	7.4.3	basic	31	kaRa|raRa|BaRa|SraRa|lupa|heWa|vhAyi|vARi|cARi|lowi|loWi|lopi|kARAdInAM ceti vaktavyam|gotrAdiH|8.1.27|gotra|bruva|pravacana|prahasana|prakaTana|pratyayana|prapaYca|prAya|nyAya|pracakzaRa|vicakzaRa|avacakzaRa|svADyAya|BUyizWa|BUyizwa|vAnAma
KASHTHADI	kAzWAdiH	251	8.1.67	basic	16	kAzWa|dAruRa|amAtAputra|veSa|anAjYAta|anujYAta|aputra|ayuta|adButa|anukta|BfSa|Gora|suKa|parama|su|ati
YAVADI_8	yavAdiH	252	8.2.9	akrti	22	yava|dalmi|Urmi|urmi|BUmi|kfmi|kruYcA|vaSA|drAkzA|DrAkzA|Graji|vraji|Dvaji|niji|siji|saYji|harit|kakuda|marut|garut|ikzudru|maDu
KAPILAKADI	kapilakAdiH	253	8.2.18	akrti	43	kapilaka|nirvilIka|lomAni|pAMsula|kalpa|Sukla|kapilakA|tarpilikA|tarpili|kapilakAdInAM saMjYACandasorveti vAcyam|aharAdiH|8.2.70|ahar|gIr|Dur|aharAdInAM patyAdizu vA rePaH|patyAdiH|8.2.70|pati|gaRa|putra|aharAdInAM patyAdizu vA rePaH|kaskAdiH|8.3.48|kaskaH|kOtaskutaH|BrAtuzputraH|SunaskarRaH|sadyaskAlaH|sadyaskIH|sAdyaskaH|kAMskAn|sarpizkuRqikA|DanuzkapAlam|bahizpalam|barhizpalam|yajuzpAtram|ayaskAntaH|tamaskARqaH|ayaskARqaH|medaspiRqaH|BAskaraH|ahaskaraH
SUSHAMADI	suzAmAdiH	257	8.3.98	akrti	22	suzAmA|niHzAmA|duHzAmA|suzeDaH|nizeDaH|niHzeDaH|duHzeDaH|suzaMDiH|niHzaMDiH|duHzaMDiH|suzWu|duzWu|gOrizakTaH|saMjYAyAm|pratizRikA|jalAzAham|jalAzAqam|nOzecanam|dunduBizevaRam|dunduBizecanam|harizeRaH|rohiRIzeRaH
SAVANADI	savanAdiH	258	8.3.110	basic	4	anusavanamanusavanam|aSvasanimaSvasanim|Sakunisavanam|gosanimaSvasanim
IRIKADI	irikAdiH	259	8.4.6	akrti	45	irikA|mirikA|timirA|irikAdiByaH pratizeGo vaktavyaH|girinadyAdiH|8.4.10|girinadI|girinaKa|girinadDa|girinitamba|cakranadI|cakranitamba|taryamAna|mAzona|Argayana|vAprakaraRegirinadyAdInAM copasaMKyAnam|yuvAdiH|8.4.11|yuvan|pakva|ahan|paripakvAni|dIrGAhnI|yuvAderna|kzuBnAdiH|8.4.39|harinandI|harinandanaH|girinagaram|narInftyata|parinartanam|parigahanam|parinandanam|SaraniveSaH|SaranivAsaH|SarAgniH|darBAnUpa|AcAryaBogInaH|caturhAyana|irikA|timira|samIra|kubera|hari|karmAra
